; Candidate 7666
; ADRP+ADD at VM 0xfffffff008877a14 (fileoff 0x1873a14): page=0x1fe972000 add_imm=0xe80

0xfffffff008877994: e83740f9  ldr	x8, [sp, #0x68]
0xfffffff008877998: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff00887799c: a80b8052  mov	w8, #0x5d
0xfffffff0088779a0: a04dff90  adrp	x0, #0xfffffff00722b000
0xfffffff0088779a4: 00400c91  add	x0, x0, #0x310
0xfffffff0088779a8: e80700f9  str	x8, [sp, #8]
0xfffffff0088779ac: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0088779b0: e80300f9  str	x8, [sp]
0xfffffff0088779b4: abfed497  bl	#0xfffffff007db7460
0xfffffff0088779b8: ea000014  b	#0xfffffff008877d60
0xfffffff0088779bc: fcf10094  bl	#0xfffffff0088b41ac
0xfffffff0088779c0: f90300aa  mov	x25, x0
0xfffffff0088779c4: 80008052  mov	w0, #4
0xfffffff0088779c8: a20f0094  bl	#0xfffffff00887b850
0xfffffff0088779cc: f6e305a9  stp	x22, x24, [sp, #0x58]
0xfffffff0088779d0: e80317aa  mov	x8, x23
0xfffffff0088779d4: f5a304a9  stp	x21, x8, [sp, #0x48]
0xfffffff0088779d8: f3d303a9  stp	x19, x20, [sp, #0x38]
0xfffffff0088779dc: a84dff90  adrp	x8, #0xfffffff00722b000
0xfffffff0088779e0: 0a250891  add	x10, x8, #0x209
0xfffffff0088779e4: c80e8052  mov	w8, #0x76
0xfffffff0088779e8: c94cffd0  adrp	x9, #0xfffffff007211000
0xfffffff0088779ec: 29892c91  add	x9, x9, #0xb22
0xfffffff0088779f0: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088779f4: a84dff90  adrp	x8, #0xfffffff00722b000
0xfffffff0088779f8: 08053c91  add	x8, x8, #0xf01
0xfffffff0088779fc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008877a00: a80b8052  mov	w8, #0x5d
0xfffffff008877a04: 034fffd0  adrp	x3, #0xfffffff007259000
0xfffffff008877a08: 63d03891  add	x3, x3, #0xe34
0xfffffff008877a0c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008877a10: f90300f9  str	x25, [sp]
0xfffffff008877a14: 804bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008877a18: 00003a91  add	x0, x0, #0xe80
0xfffffff008877a1c: 818cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008877a20: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008877a24: 02008052  mov	w2, #0
0xfffffff008877a28: c2edea97  bl	#0xfffffff008333130
0xfffffff008877a2c: 197d8012  mov	w25, #-0x3e9
0xfffffff008877a30: a1835af8  ldur	x1, [x29, #-0x58]
0xfffffff008877a34: 810000b4  cbz	x1, #0xfffffff008877a44
0xfffffff008877a38: e00315aa  mov	x0, x21
0xfffffff008877a3c: b4810094  bl	#0xfffffff00889810c
0xfffffff008877a40: bf831af8  stur	xzr, [x29, #-0x58]
0xfffffff008877a44: a00b8052  mov	w0, #0x5d
0xfffffff008877a48: c1008052  mov	w1, #6
0xfffffff008877a4c: 610f0094  bl	#0xfffffff00887b7d0
0xfffffff008877a50: 20060034  cbz	w0, #0xfffffff008877b14
0xfffffff008877a54: a00b8052  mov	w0, #0x5d
0xfffffff008877a58: 700f0094  bl	#0xfffffff00887b818
0xfffffff008877a5c: fb0300aa  mov	x27, x0
0xfffffff008877a60: d3f10094  bl	#0xfffffff0088b41ac
0xfffffff008877a64: fa0300aa  mov	x26, x0
0xfffffff008877a68: c0008052  mov	w0, #6
0xfffffff008877a6c: 790f0094  bl	#0xfffffff00887b850
0xfffffff008877a70: 3b020034  cbz	w27, #0xfffffff008877ab4
0xfffffff008877a74: e80319aa  mov	x8, x25
0xfffffff008877a78: f82305a9  stp	x24, x8, [sp, #0x50]
0xfffffff008877a7c: f75b04a9  stp	x23, x22, [sp, #0x40]
0xfffffff008877a80: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff008877a84: c84cffd0  adrp	x8, #0xfffffff007211000
0xfffffff008877a88: 08892c91  add	x8, x8, #0xb22
0xfffffff008877a8c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008877a90: a84dff90  adrp	x8, #0xfffffff00722b000
