; Candidate 7483
; ADRP+ADD at VM 0xfffffff00886fad4 (fileoff 0x186bad4): page=0x1fe9a4000 add_imm=0xe0f

0xfffffff00886fa54: 00008052  mov	w0, #0
0xfffffff00886fa58: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00886fa5c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00886fa60: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00886fa64: ff830191  add	sp, sp, #0x60
0xfffffff00886fa68: ff0f5fd6  retab	
0xfffffff00886fa6c: 7f2303d5  pacibsp	
0xfffffff00886fa70: ff0302d1  sub	sp, sp, #0x80
0xfffffff00886fa74: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00886fa78: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00886fa7c: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00886fa80: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00886fa84: fdc30191  add	x29, sp, #0x70
0xfffffff00886fa88: f30300aa  mov	x19, x0
0xfffffff00886fa8c: 600b8052  mov	w0, #0x5b
0xfffffff00886fa90: 01018052  mov	w1, #8
0xfffffff00886fa94: 4f2f0094  bl	#0xfffffff00887b7d0
0xfffffff00886fa98: a0040034  cbz	w0, #0xfffffff00886fb2c
0xfffffff00886fa9c: 600b8052  mov	w0, #0x5b
0xfffffff00886faa0: 5e2f0094  bl	#0xfffffff00887b818
0xfffffff00886faa4: f50300aa  mov	x21, x0
0xfffffff00886faa8: c1110194  bl	#0xfffffff0088b41ac
0xfffffff00886faac: f40300aa  mov	x20, x0
0xfffffff00886fab0: 00018052  mov	w0, #8
0xfffffff00886fab4: 672f0094  bl	#0xfffffff00887b850
0xfffffff00886fab8: 75010034  cbz	w21, #0xfffffff00886fae4
0xfffffff00886fabc: c84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff00886fac0: 08052291  add	x8, x8, #0x881
0xfffffff00886fac4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00886fac8: 680b8052  mov	w8, #0x5b
0xfffffff00886facc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886fad0: f40300f9  str	x20, [sp]
0xfffffff00886fad4: 204dff90  adrp	x0, #0xfffffff007213000
0xfffffff00886fad8: 003c3891  add	x0, x0, #0xe0f
0xfffffff00886fadc: 611ed597  bl	#0xfffffff007db7460
0xfffffff00886fae0: 13000014  b	#0xfffffff00886fb2c
0xfffffff00886fae4: b2110194  bl	#0xfffffff0088b41ac
0xfffffff00886fae8: f40300aa  mov	x20, x0
0xfffffff00886faec: 00018052  mov	w0, #8
0xfffffff00886faf0: 582f0094  bl	#0xfffffff00887b850
0xfffffff00886faf4: c84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff00886faf8: 08052291  add	x8, x8, #0x881
0xfffffff00886fafc: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00886fb00: 680b8052  mov	w8, #0x5b
0xfffffff00886fb04: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886fb08: f40300f9  str	x20, [sp]
0xfffffff00886fb0c: c04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886fb10: 00003a91  add	x0, x0, #0xe80
0xfffffff00886fb14: c18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00886fb18: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886fb1c: 434fffb0  adrp	x3, #0xfffffff007258000
0xfffffff00886fb20: 631c2d91  add	x3, x3, #0xb47
0xfffffff00886fb24: 02008052  mov	w2, #0
0xfffffff00886fb28: 820deb97  bl	#0xfffffff008333130
0xfffffff00886fb2c: e00313aa  mov	x0, x19
0xfffffff00886fb30: 21008052  mov	w1, #1
0xfffffff00886fb34: 02098052  mov	w2, #0x48
0xfffffff00886fb38: 0208a072  movk	w2, #0x40, lsl #16
0xfffffff00886fb3c: 73550094  bl	#0xfffffff008885108
0xfffffff00886fb40: f50300aa  mov	x21, x0
0xfffffff00886fb44: 1f040072  tst	w0, #3
0xfffffff00886fb48: 14009f1a  csel	w20, w0, wzr, eq
0xfffffff00886fb4c: 600b8052  mov	w0, #0x5b
0xfffffff00886fb50: 01018052  mov	w1, #8
