; Candidate 2105
; ADRP+ADD at VM 0xfffffff00855a030 (fileoff 0x1556030): page=0x1feb87000 add_imm=0xdd8

0xfffffff008559fb0: fd430091  add	x29, sp, #0x10
0xfffffff008559fb4: f30300aa  mov	x19, x0
0xfffffff008559fb8: 009040f9  ldr	x0, [x0, #0x120]
0xfffffff008559fbc: 400100b4  cbz	x0, #0xfffffff008559fe4
0xfffffff008559fc0: 100040f9  ldr	x16, [x0]
0xfffffff008559fc4: f10300aa  mov	x17, x0
0xfffffff008559fc8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008559fcc: 301ac1da  autda	x16, x17
0xfffffff008559fd0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008559fd4: e90310aa  mov	x9, x16
0xfffffff008559fd8: f10309aa  mov	x17, x9
0xfffffff008559fdc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008559fe0: 11093fd7  blraa	x8, x17
0xfffffff008559fe4: 7f9200f9  str	xzr, [x19, #0x120]
0xfffffff008559fe8: e00313aa  mov	x0, x19
0xfffffff008559fec: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008559ff0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008559ff4: ff2303d5  autibsp	
0xfffffff008559ff8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008559ffc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00855a004
0xfffffff00855a000: 208e38d4  brk	#0xc471
0xfffffff00855a004: 5270fe17  b	#0xfffffff0084f614c
0xfffffff00855a008: 5f2403d5  bti	c
0xfffffff00855a00c: 000080d2  mov	x0, #0
0xfffffff00855a010: c0035fd6  ret	
0xfffffff00855a014: 5f2403d5  bti	c
0xfffffff00855a018: b729f617  b	#0xfffffff0082e46f4
0xfffffff00855a01c: 5f2403d5  bti	c
0xfffffff00855a020: b529f617  b	#0xfffffff0082e46f4
0xfffffff00855a024: 7f2303d5  pacibsp	
0xfffffff00855a028: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00855a02c: fd030091  mov	x29, sp
0xfffffff00855a030: 205cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855a034: 00603791  add	x0, x0, #0xdd8
0xfffffff00855a038: 803cf797  bl	#0xfffffff008329238
0xfffffff00855a03c: e8eb0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855a040: 00b503f9  str	x0, [x8, #0x768]
0xfffffff00855a044: 205cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855a048: 00083891  add	x0, x0, #0xe02
0xfffffff00855a04c: 7b3cf797  bl	#0xfffffff008329238
0xfffffff00855a050: e8eb0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855a054: 00b903f9  str	x0, [x8, #0x770]
0xfffffff00855a058: 205cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855a05c: 00883891  add	x0, x0, #0xe22
0xfffffff00855a060: 763cf797  bl	#0xfffffff008329238
0xfffffff00855a064: e8eb0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855a068: 00bd03f9  str	x0, [x8, #0x778]
0xfffffff00855a06c: 205cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855a070: 00e43891  add	x0, x0, #0xe39
0xfffffff00855a074: 713cf797  bl	#0xfffffff008329238
0xfffffff00855a078: e8eb0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855a07c: 00c103f9  str	x0, [x8, #0x780]
0xfffffff00855a080: 205cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855a084: 004c3991  add	x0, x0, #0xe53
0xfffffff00855a088: 6c3cf797  bl	#0xfffffff008329238
0xfffffff00855a08c: e8eb0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855a090: 00c503f9  str	x0, [x8, #0x788]
0xfffffff00855a094: 205cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855a098: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00855a09c: 673cf797  bl	#0xfffffff008329238
0xfffffff00855a0a0: e8eb0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855a0a4: 00c903f9  str	x0, [x8, #0x790]
0xfffffff00855a0a8: e0eb0090  adrp	x0, #0xfffffff00a2d6000
0xfffffff00855a0ac: 00c01f91  add	x0, x0, #0x7f0
