; Candidate 1405
; ADRP+ADD at VM 0xfffffff0083a6db4 (fileoff 0x13a2db4): page=0x1e72000 add_imm=0xe68

0xfffffff0083a6d34: a80000b4  cbz	x8, #0xfffffff0083a6d48
0xfffffff0083a6d38: a0aefff0  adrp	x0, #0xfffffff00797d000
0xfffffff0083a6d3c: 00c02a91  add	x0, x0, #0xab0
0xfffffff0083a6d40: b38be997  bl	#0xfffffff007e09c0c
0xfffffff0083a6d44: 07000014  b	#0xfffffff0083a6d60
0xfffffff0083a6d48: a8aefff0  adrp	x8, #0xfffffff00797d000
0xfffffff0083a6d4c: 08dd4ab9  ldr	w8, [x8, #0xadc]
0xfffffff0083a6d50: 025d4092  and	x2, x8, #0xffffff
0xfffffff0083a6d54: 20acfff0  adrp	x0, #0xfffffff00792d000
0xfffffff0083a6d58: 00c01c91  add	x0, x0, #0x730
0xfffffff0083a6d5c: 44ffe797  bl	#0xfffffff007da6a6c
0xfffffff0083a6d60: 08008092  mov	x8, #-1
0xfffffff0083a6d64: 680200f9  str	x8, [x19]
0xfffffff0083a6d68: e00313aa  mov	x0, x19
0xfffffff0083a6d6c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0083a6d70: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0083a6d74: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0083a6d78: ff0f5fd6  retab	
0xfffffff0083a6d7c: e10314aa  mov	x1, x20
0xfffffff0083a6d80: 02008052  mov	w2, #0
0xfffffff0083a6d84: 5d13e897  bl	#0xfffffff007dabaf8
0xfffffff0083a6d88: 87ffff17  b	#0xfffffff0083a6ba4
0xfffffff0083a6d8c: e10314aa  mov	x1, x20
0xfffffff0083a6d90: 7516e897  bl	#0xfffffff007dac764
0xfffffff0083a6d94: 35f5ffb5  cbnz	x21, #0xfffffff0083a6c38
0xfffffff0083a6d98: ccffff17  b	#0xfffffff0083a6cc8
0xfffffff0083a6d9c: e10314aa  mov	x1, x20
0xfffffff0083a6da0: 7116e897  bl	#0xfffffff007dac764
0xfffffff0083a6da4: c9ffff17  b	#0xfffffff0083a6cc8
0xfffffff0083a6da8: 7f2303d5  pacibsp	
0xfffffff0083a6dac: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0083a6db0: fd030091  mov	x29, sp
0xfffffff0083a6db4: 80f300d0  adrp	x0, #0xfffffff00a218000
0xfffffff0083a6db8: 00a03991  add	x0, x0, #0xe68
0xfffffff0083a6dbc: c167ffb0  adrp	x1, #0xfffffff00709f000
0xfffffff0083a6dc0: 21202e91  add	x1, x1, #0xb88
0xfffffff0083a6dc4: a2f30090  adrp	x2, #0xfffffff00a21a000
0xfffffff0083a6dc8: 42602191  add	x2, x2, #0x858
0xfffffff0083a6dcc: 03048052  mov	w3, #0x20
0xfffffff0083a6dd0: 5af3fc97  bl	#0xfffffff0082e3b38
0xfffffff0083a6dd4: 50acfff0  adrp	x16, #0xfffffff007931000
0xfffffff0083a6dd8: 10e20d91  add	x16, x16, #0x378
0xfffffff0083a6ddc: 10420091  add	x16, x16, #0x10
0xfffffff0083a6de0: f10300aa  mov	x17, x0
0xfffffff0083a6de4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083a6de8: 300ac1da  pacda	x16, x17
0xfffffff0083a6dec: 100000f9  str	x16, [x0]
0xfffffff0083a6df0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0083a6df4: ff0f5fd6  retab	
0xfffffff0083a6df8: 7f2303d5  pacibsp	
0xfffffff0083a6dfc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0083a6e00: fd030091  mov	x29, sp
0xfffffff0083a6e04: c167ffb0  adrp	x1, #0xfffffff00709f000
0xfffffff0083a6e08: 21202e91  add	x1, x1, #0xb88
0xfffffff0083a6e0c: a2f30090  adrp	x2, #0xfffffff00a21a000
0xfffffff0083a6e10: 42602191  add	x2, x2, #0x858
0xfffffff0083a6e14: 03048052  mov	w3, #0x20
0xfffffff0083a6e18: 48f3fc97  bl	#0xfffffff0082e3b38
0xfffffff0083a6e1c: 50acfff0  adrp	x16, #0xfffffff007931000
0xfffffff0083a6e20: 10e20d91  add	x16, x16, #0x378
0xfffffff0083a6e24: 10420091  add	x16, x16, #0x10
0xfffffff0083a6e28: f10300aa  mov	x17, x0
0xfffffff0083a6e2c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083a6e30: 300ac1da  pacda	x16, x17
