; Candidate 3456
; ADRP+ADD at VM 0xfffffff00873f8ac (fileoff 0x173b8ac): page=0x1fe9f2000 add_imm=0xd90

0xfffffff00873f82c: 9f02166b  cmp	w20, w22
0xfffffff00873f830: 42030054  b.hs	#0xfffffff00873f898
0xfffffff00873f834: 800c8052  mov	w0, #0x64
0xfffffff00873f838: ec5df097  bl	#0xfffffff008356fe8
0xfffffff00873f83c: 94060011  add	w20, w20, #1
0xfffffff00873f840: 609e40f9  ldr	x0, [x19, #0x138]
0xfffffff00873f844: 100040f9  ldr	x16, [x0]
0xfffffff00873f848: f10300aa  mov	x17, x0
0xfffffff00873f84c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00873f850: 301ac1da  autda	x16, x17
0xfffffff00873f854: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff00873f858: e90310aa  mov	x9, x16
0xfffffff00873f85c: 100000d0  adrp	x16, #0xfffffff008741000
0xfffffff00873f860: 10e20891  add	x16, x16, #0x238
0xfffffff00873f864: 31a897d2  mov	x17, #0xbd41
0xfffffff00873f868: 3002c1da  pacia	x16, x17
0xfffffff00873f86c: e10310aa  mov	x1, x16
0xfffffff00873f870: a39300d1  sub	x3, x29, #0x24
0xfffffff00873f874: c2018052  mov	w2, #0xe
0xfffffff00873f878: 040080d2  mov	x4, #0
0xfffffff00873f87c: 050080d2  mov	x5, #0
0xfffffff00873f880: f10309aa  mov	x17, x9
0xfffffff00873f884: f13ffff2  movk	x17, #0xf9ff, lsl #48
0xfffffff00873f888: 11093fd7  blraa	x8, x17
0xfffffff00873f88c: 1f00156b  cmp	w0, w21
0xfffffff00873f890: e0fcff54  b.eq	#0xfffffff00873f82c
0xfffffff00873f894: 0e000014  b	#0xfffffff00873f8cc
0xfffffff00873f898: 880c8052  mov	w8, #0x64
0xfffffff00873f89c: f42301a9  stp	x20, x8, [sp, #0x10]
0xfffffff00873f8a0: c850ff90  adrp	x8, #0xfffffff007157000
0xfffffff00873f8a4: 08812d91  add	x8, x8, #0xb60
0xfffffff00873f8a8: e85700a9  stp	x8, x21, [sp]
0xfffffff00873f8ac: 804fffd0  adrp	x0, #0xfffffff007131000
0xfffffff00873f8b0: 00403691  add	x0, x0, #0xd90
0xfffffff00873f8b4: e195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873f8b8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873f8bc: e34fffd0  adrp	x3, #0xfffffff00713d000
0xfffffff00873f8c0: 639c0b91  add	x3, x3, #0x2e7
0xfffffff00873f8c4: 02008052  mov	w2, #0
0xfffffff00873f8c8: 1aceef97  bl	#0xfffffff008333130
0xfffffff00873f8cc: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00873f8d0: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00873f8d4: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00873f8d8: ff830191  add	sp, sp, #0x60
0xfffffff00873f8dc: ff0f5fd6  retab	
0xfffffff00873f8e0: 7f2303d5  pacibsp	
0xfffffff00873f8e4: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00873f8e8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00873f8ec: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00873f8f0: fd830091  add	x29, sp, #0x20
0xfffffff00873f8f4: f50300aa  mov	x21, x0
0xfffffff00873f8f8: 93578052  mov	w19, #0x2bc
0xfffffff00873f8fc: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff00873f900: c050ff90  adrp	x0, #0xfffffff007157000
0xfffffff00873f904: 00203291  add	x0, x0, #0xc88
0xfffffff00873f908: 010080d2  mov	x1, #0
0xfffffff00873f90c: e129f197  bl	#0xfffffff00838a090
0xfffffff00873f910: e00200b4  cbz	x0, #0xfffffff00873f96c
0xfffffff00873f914: f40300aa  mov	x20, x0
0xfffffff00873f918: 01008092  mov	x1, #-1
0xfffffff00873f91c: 1c29f197  bl	#0xfffffff008389d8c
0xfffffff00873f920: 000100b4  cbz	x0, #0xfffffff00873f940
0xfffffff00873f924: e895ffd0  adrp	x8, #0xfffffff0079fd000
0xfffffff00873f928: 08ad41f9  ldr	x8, [x8, #0x358]
