; Candidate 7077
; ADRP+ADD at VM 0xfffffff008855c2c (fileoff 0x1851c2c): page=0x1fe994000 add_imm=0xe80

0xfffffff008855bac: f55b06a9  stp	x21, x22, [sp, #0x60]
0xfffffff008855bb0: f92b05a9  stp	x25, x10, [sp, #0x50]
0xfffffff008855bb4: f42704a9  stp	x20, x9, [sp, #0x40]
0xfffffff008855bb8: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008855bbc: a8df8052  mov	w8, #0x6fd
0xfffffff008855bc0: 894effb0  adrp	x9, #0xfffffff007226000
0xfffffff008855bc4: 29492791  add	x9, x9, #0x9d2
0xfffffff008855bc8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008855bcc: 884effd0  adrp	x8, #0xfffffff007227000
0xfffffff008855bd0: 08811191  add	x8, x8, #0x460
0xfffffff008855bd4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008855bd8: 880c8052  mov	w8, #0x64
0xfffffff008855bdc: 804effb0  adrp	x0, #0xfffffff007226000
0xfffffff008855be0: 00ac2791  add	x0, x0, #0x9eb
0xfffffff008855be4: f72300a9  stp	x23, x8, [sp]
0xfffffff008855be8: 1e86d597  bl	#0xfffffff007db7460
0xfffffff008855bec: 72000014  b	#0xfffffff008855db4
0xfffffff008855bf0: 6f790194  bl	#0xfffffff0088b41ac
0xfffffff008855bf4: f60300aa  mov	x22, x0
0xfffffff008855bf8: e0008052  mov	w0, #7
0xfffffff008855bfc: 15970094  bl	#0xfffffff00887b850
0xfffffff008855c00: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008855c04: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008855c08: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008855c0c: 884effb0  adrp	x8, #0xfffffff007226000
0xfffffff008855c10: 09492791  add	x9, x8, #0x9d2
0xfffffff008855c14: 884effd0  adrp	x8, #0xfffffff007227000
0xfffffff008855c18: 08811191  add	x8, x8, #0x460
0xfffffff008855c1c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008855c20: 880c8052  mov	w8, #0x64
0xfffffff008855c24: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008855c28: f60300f9  str	x22, [sp]
0xfffffff008855c2c: a04cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008855c30: 00003a91  add	x0, x0, #0xe80
0xfffffff008855c34: 818dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008855c38: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008855c3c: e34fffd0  adrp	x3, #0xfffffff007253000
0xfffffff008855c40: 638c2c91  add	x3, x3, #0xb23
0xfffffff008855c44: 02008052  mov	w2, #0
0xfffffff008855c48: 3a75eb97  bl	#0xfffffff008333130
0xfffffff008855c4c: 74f8ffb5  cbnz	x20, #0xfffffff008855b58
0xfffffff008855c50: 800c8052  mov	w0, #0x64
0xfffffff008855c54: 81008052  mov	w1, #4
0xfffffff008855c58: de960094  bl	#0xfffffff00887b7d0
0xfffffff008855c5c: e0060034  cbz	w0, #0xfffffff008855d38
0xfffffff008855c60: 800c8052  mov	w0, #0x64
0xfffffff008855c64: ed960094  bl	#0xfffffff00887b818
0xfffffff008855c68: f70300aa  mov	x23, x0
0xfffffff008855c6c: 50790194  bl	#0xfffffff0088b41ac
0xfffffff008855c70: f60300aa  mov	x22, x0
0xfffffff008855c74: 80008052  mov	w0, #4
0xfffffff008855c78: f6960094  bl	#0xfffffff00887b850
0xfffffff008855c7c: 97020034  cbz	w23, #0xfffffff008855ccc
0xfffffff008855c80: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008855c84: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff008855c88: 894effb0  adrp	x9, #0xfffffff007226000
0xfffffff008855c8c: 2af10c91  add	x10, x9, #0x33c
0xfffffff008855c90: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008855c94: 88de8052  mov	w8, #0x6f4
0xfffffff008855c98: 894effb0  adrp	x9, #0xfffffff007226000
0xfffffff008855c9c: 29492791  add	x9, x9, #0x9d2
0xfffffff008855ca0: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008855ca4: 884effd0  adrp	x8, #0xfffffff007227000
0xfffffff008855ca8: 08811191  add	x8, x8, #0x460
