; Candidate 5320
; ADRP+ADD at VM 0xfffffff0087e69e4 (fileoff 0x17e29e4): page=0x1fea03000 add_imm=0xe80

0xfffffff0087e6964: 00050034  cbz	w0, #0xfffffff0087e6a04
0xfffffff0087e6968: 600e8052  mov	w0, #0x73
0xfffffff0087e696c: ab530294  bl	#0xfffffff00887b818
0xfffffff0087e6970: f70300aa  mov	x23, x0
0xfffffff0087e6974: 0e360394  bl	#0xfffffff0088b41ac
0xfffffff0087e6978: f60300aa  mov	x22, x0
0xfffffff0087e697c: c0008052  mov	w0, #6
0xfffffff0087e6980: b4530294  bl	#0xfffffff00887b850
0xfffffff0087e6984: 97010034  cbz	w23, #0xfffffff0087e69b4
0xfffffff0087e6988: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff0087e698c: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e6990: 08393591  add	x8, x8, #0xd4e
0xfffffff0087e6994: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087e6998: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087e699c: 680e8052  mov	w8, #0x73
0xfffffff0087e69a0: 6051ffb0  adrp	x0, #0xfffffff007213000
0xfffffff0087e69a4: 00b43791  add	x0, x0, #0xded
0xfffffff0087e69a8: f62300a9  stp	x22, x8, [sp]
0xfffffff0087e69ac: ad42d797  bl	#0xfffffff007db7460
0xfffffff0087e69b0: 15000014  b	#0xfffffff0087e6a04
0xfffffff0087e69b4: fe350394  bl	#0xfffffff0088b41ac
0xfffffff0087e69b8: f60300aa  mov	x22, x0
0xfffffff0087e69bc: c0008052  mov	w0, #6
0xfffffff0087e69c0: a4530294  bl	#0xfffffff00887b850
0xfffffff0087e69c4: e80315aa  mov	x8, x21
0xfffffff0087e69c8: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0087e69cc: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e69d0: 08393591  add	x8, x8, #0xd4e
0xfffffff0087e69d4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087e69d8: 680e8052  mov	w8, #0x73
0xfffffff0087e69dc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e69e0: f60300f9  str	x22, [sp]
0xfffffff0087e69e4: 0050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e69e8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e69ec: 0191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e69f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e69f4: c352ff90  adrp	x3, #0xfffffff00723e000
0xfffffff0087e69f8: 63001a91  add	x3, x3, #0x680
0xfffffff0087e69fc: 02008052  mov	w2, #0
0xfffffff0087e6a00: cc31ed97  bl	#0xfffffff008333130
0xfffffff0087e6a04: e00315aa  mov	x0, x21
0xfffffff0087e6a08: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0087e6a0c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0087e6a10: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0087e6a14: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0087e6a18: ff030291  add	sp, sp, #0x80
0xfffffff0087e6a1c: ff0f5fd6  retab	
0xfffffff0087e6a20: 7f2303d5  pacibsp	
0xfffffff0087e6a24: ff8301d1  sub	sp, sp, #0x60
0xfffffff0087e6a28: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087e6a2c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0087e6a30: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0087e6a34: fd430191  add	x29, sp, #0x50
0xfffffff0087e6a38: f30300aa  mov	x19, x0
0xfffffff0087e6a3c: 600e8052  mov	w0, #0x73
0xfffffff0087e6a40: c1008052  mov	w1, #6
0xfffffff0087e6a44: 63530294  bl	#0xfffffff00887b7d0
0xfffffff0087e6a48: 40020034  cbz	w0, #0xfffffff0087e6a90
0xfffffff0087e6a4c: 600e8052  mov	w0, #0x73
0xfffffff0087e6a50: 72530294  bl	#0xfffffff00887b818
0xfffffff0087e6a54: f50300aa  mov	x21, x0
0xfffffff0087e6a58: d5350394  bl	#0xfffffff0088b41ac
0xfffffff0087e6a5c: f40300aa  mov	x20, x0
0xfffffff0087e6a60: c0008052  mov	w0, #6
