; Candidate 4328
; ADRP+ADD at VM 0xfffffff00879f22c (fileoff 0x179b22c): page=0x1fe992000 add_imm=0xd90

0xfffffff00879f1ac: 0c008052  mov	w12, #0
0xfffffff00879f1b0: 8e008052  mov	w14, #4
0xfffffff00879f1b4: f6000014  b	#0xfffffff00879f58c
0xfffffff00879f1b8: e84dffd0  adrp	x8, #0xfffffff00715d000
0xfffffff00879f1bc: 08fd1a91  add	x8, x8, #0x6bf
0xfffffff00879f1c0: e80300f9  str	x8, [sp]
0xfffffff00879f1c4: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f1c8: 00403691  add	x0, x0, #0xd90
0xfffffff00879f1cc: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f1d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f1d4: 434dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff00879f1d8: 632c0e91  add	x3, x3, #0x38b
0xfffffff00879f1dc: 02008052  mov	w2, #0
0xfffffff00879f1e0: d44fee97  bl	#0xfffffff008333130
0xfffffff00879f1e4: 0c000014  b	#0xfffffff00879f214
0xfffffff00879f1e8: e84dffd0  adrp	x8, #0xfffffff00715d000
0xfffffff00879f1ec: 08fd1a91  add	x8, x8, #0x6bf
0xfffffff00879f1f0: e80300f9  str	x8, [sp]
0xfffffff00879f1f4: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f1f8: 00403691  add	x0, x0, #0xd90
0xfffffff00879f1fc: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f200: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f204: 434dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff00879f208: 63f40e91  add	x3, x3, #0x3bd
0xfffffff00879f20c: 02008052  mov	w2, #0
0xfffffff00879f210: c84fee97  bl	#0xfffffff008333130
0xfffffff00879f214: 14268052  mov	w20, #0x130
0xfffffff00879f218: 08008052  mov	w8, #0
0xfffffff00879f21c: ddffff17  b	#0xfffffff00879f190
0xfffffff00879f220: 884dffd0  adrp	x8, #0xfffffff007151000
0xfffffff00879f224: 08491591  add	x8, x8, #0x552
0xfffffff00879f228: e87f00a9  stp	x8, xzr, [sp]
0xfffffff00879f22c: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f230: 00403691  add	x0, x0, #0xd90
0xfffffff00879f234: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f238: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f23c: 434dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff00879f240: 63e40191  add	x3, x3, #0x79
0xfffffff00879f244: 02008052  mov	w2, #0
0xfffffff00879f248: ba4fee97  bl	#0xfffffff008333130
0xfffffff00879f24c: 08008052  mov	w8, #0
0xfffffff00879f250: b7feff17  b	#0xfffffff00879ed2c
0xfffffff00879f254: ef0311aa  mov	x15, x17
0xfffffff00879f258: 083c0c0e  mov	w8, v0.s[1]
0xfffffff00879f25c: f04701a9  stp	x16, x17, [sp, #0x10]
0xfffffff00879f260: f95740f9  ldr	x25, [sp, #0xa8]
0xfffffff00879f264: e90319aa  mov	x9, x25
0xfffffff00879f268: e93f00a9  stp	x9, x15, [sp]
0xfffffff00879f26c: e81300f9  str	x8, [sp, #0x20]
0xfffffff00879f270: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f274: 00403691  add	x0, x0, #0xd90
0xfffffff00879f278: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f27c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f280: 434dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff00879f284: 63240491  add	x3, x3, #0x109
0xfffffff00879f288: 02008052  mov	w2, #0
0xfffffff00879f28c: a94fee97  bl	#0xfffffff008333130
0xfffffff00879f290: 08008052  mov	w8, #0
0xfffffff00879f294: dcfaff17  b	#0xfffffff00879de04
0xfffffff00879f298: 08008052  mov	w8, #0
0xfffffff00879f29c: d4328052  mov	w20, #0x196
0xfffffff00879f2a0: bbffff17  b	#0xfffffff00879f18c
0xfffffff00879f2a4: eb3f00a9  stp	x11, x15, [sp]
0xfffffff00879f2a8: 804cffd0  adrp	x0, #0xfffffff007131000
