; Candidate 5100
; ADRP+ADD at VM 0xfffffff0087d8e14 (fileoff 0x17d4e14): page=0x1fea11000 add_imm=0xe80

0xfffffff0087d8d94: f70300aa  mov	x23, x0
0xfffffff0087d8d98: 056d0394  bl	#0xfffffff0088b41ac
0xfffffff0087d8d9c: f60300aa  mov	x22, x0
0xfffffff0087d8da0: 00018052  mov	w0, #8
0xfffffff0087d8da4: ab8a0294  bl	#0xfffffff00887b850
0xfffffff0087d8da8: d7010034  cbz	w23, #0xfffffff0087d8de0
0xfffffff0087d8dac: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087d8db0: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d8db4: 08710791  add	x8, x8, #0x1dc
0xfffffff0087d8db8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087d8dbc: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d8dc0: 081d0291  add	x8, x8, #0x87
0xfffffff0087d8dc4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d8dc8: 280a8052  mov	w8, #0x51
0xfffffff0087d8dcc: c051ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087d8dd0: 00a42d91  add	x0, x0, #0xb69
0xfffffff0087d8dd4: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d8dd8: a279d797  bl	#0xfffffff007db7460
0xfffffff0087d8ddc: 16000014  b	#0xfffffff0087d8e34
0xfffffff0087d8de0: f36c0394  bl	#0xfffffff0088b41ac
0xfffffff0087d8de4: f60300aa  mov	x22, x0
0xfffffff0087d8de8: 00018052  mov	w0, #8
0xfffffff0087d8dec: 998a0294  bl	#0xfffffff00887b850
0xfffffff0087d8df0: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087d8df4: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d8df8: 08710791  add	x8, x8, #0x1dc
0xfffffff0087d8dfc: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087d8e00: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d8e04: 081d0291  add	x8, x8, #0x87
0xfffffff0087d8e08: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d8e0c: 280a8052  mov	w8, #0x51
0xfffffff0087d8e10: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d8e14: 8050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d8e18: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d8e1c: 8191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d8e20: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d8e24: 0353fff0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d8e28: 63c02f91  add	x3, x3, #0xbf0
0xfffffff0087d8e2c: 02008052  mov	w2, #0
0xfffffff0087d8e30: c068ed97  bl	#0xfffffff008333130
0xfffffff0087d8e34: a81a40f9  ldr	x8, [x21, #0x30]
0xfffffff0087d8e38: 021140b9  ldr	w2, [x8, #0x10]
0xfffffff0087d8e3c: 97088052  mov	w23, #0x44
0xfffffff0087d8e40: d774a572  movk	w23, #0x2ba6, lsl #16
0xfffffff0087d8e44: 80088052  mov	w0, #0x44
0xfffffff0087d8e48: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff0087d8e4c: 41008052  mov	w1, #2
0xfffffff0087d8e50: 03008092  mov	x3, #-1
0xfffffff0087d8e54: 040080d2  mov	x4, #0
0xfffffff0087d8e58: 050080d2  mov	x5, #0
0xfffffff0087d8e5c: 2a94e697  bl	#0xfffffff00817df04
0xfffffff0087d8e60: a11a40f9  ldr	x1, [x21, #0x30]
0xfffffff0087d8e64: a22e40f9  ldr	x2, [x21, #0x58]
0xfffffff0087d8e68: e00313aa  mov	x0, x19
0xfffffff0087d8e6c: 43000094  bl	#0xfffffff0087d8f78
0xfffffff0087d8e70: fa6c0394  bl	#0xfffffff0088b4258
0xfffffff0087d8e74: f60300aa  mov	x22, x0
0xfffffff0087d8e78: a81a40f9  ldr	x8, [x21, #0x30]
0xfffffff0087d8e7c: 021140b9  ldr	w2, [x8, #0x10]
0xfffffff0087d8e80: e0120011  add	w0, w23, #4
0xfffffff0087d8e84: 41008052  mov	w1, #2
0xfffffff0087d8e88: 03008092  mov	x3, #-1
0xfffffff0087d8e8c: 040080d2  mov	x4, #0
0xfffffff0087d8e90: 050080d2  mov	x5, #0
