; Candidate 3935
; ADRP+ADD at VM 0xfffffff008774e40 (fileoff 0x1770e40): page=0x1fe9bd000 add_imm=0xd90

0xfffffff008774dc0: e00313aa  mov	x0, x19
0xfffffff008774dc4: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008774dc8: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008774dcc: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008774dd0: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008774dd4: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff008774dd8: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff008774ddc: ff030291  add	sp, sp, #0x80
0xfffffff008774de0: ff0f5fd6  retab	
0xfffffff008774de4: 204fff90  adrp	x0, #0xfffffff007158000
0xfffffff008774de8: 00d82d91  add	x0, x0, #0xb76
0xfffffff008774dec: 91030094  bl	#0xfffffff008775c30
0xfffffff008774df0: c04efff0  adrp	x0, #0xfffffff00714f000
0xfffffff008774df4: 00981191  add	x0, x0, #0x466
0xfffffff008774df8: 8e030094  bl	#0xfffffff008775c30
0xfffffff008774dfc: c04efff0  adrp	x0, #0xfffffff00714f000
0xfffffff008774e00: 00041891  add	x0, x0, #0x601
0xfffffff008774e04: 8b030094  bl	#0xfffffff008775c30
0xfffffff008774e08: c04efff0  adrp	x0, #0xfffffff00714f000
0xfffffff008774e0c: 00cc1391  add	x0, x0, #0x4f3
0xfffffff008774e10: 88030094  bl	#0xfffffff008775c30
0xfffffff008774e14: 7f2303d5  pacibsp	
0xfffffff008774e18: ffc300d1  sub	sp, sp, #0x30
0xfffffff008774e1c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008774e20: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008774e24: fd830091  add	x29, sp, #0x20
0xfffffff008774e28: 084040f9  ldr	x8, [x0, #0x80]
0xfffffff008774e2c: e80300b4  cbz	x8, #0xfffffff008774ea8
0xfffffff008774e30: f30300aa  mov	x19, x0
0xfffffff008774e34: 284fffd0  adrp	x8, #0xfffffff00715a000
0xfffffff008774e38: 08110991  add	x8, x8, #0x244
0xfffffff008774e3c: e80300f9  str	x8, [sp]
0xfffffff008774e40: e04dffb0  adrp	x0, #0xfffffff007131000
0xfffffff008774e44: 00403691  add	x0, x0, #0xd90
0xfffffff008774e48: 4194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008774e4c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008774e50: 834eff90  adrp	x3, #0xfffffff007144000
0xfffffff008774e54: 63d41191  add	x3, x3, #0x475
0xfffffff008774e58: 02008052  mov	w2, #0
0xfffffff008774e5c: b5f8ee97  bl	#0xfffffff008333130
0xfffffff008774e60: 68c20091  add	x8, x19, #0x30
0xfffffff008774e64: 69420191  add	x9, x19, #0x50
0xfffffff008774e68: 290108eb  subs	x9, x9, x8
0xfffffff008774e6c: c3030054  b.lo	#0xfffffff008774ee4
0xfffffff008774e70: 2afd60d3  lsr	x10, x9, #0x20
0xfffffff008774e74: 8a0300b5  cbnz	x10, #0xfffffff008774ee4
0xfffffff008774e78: 3f717df2  tst	x9, #0xfffffff8
0xfffffff008774e7c: a0030054  b.eq	#0xfffffff008774ef0
0xfffffff008774e80: 604240f9  ldr	x0, [x19, #0x80]
0xfffffff008774e84: 010140f9  ldr	x1, [x8]
0xfffffff008774e88: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008774e8c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008774e90: ffc30091  add	sp, sp, #0x30
0xfffffff008774e94: ff2303d5  autibsp	
0xfffffff008774e98: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008774e9c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008774ea4
0xfffffff008774ea0: 208e38d4  brk	#0xc471
0xfffffff008774ea4: 807a4d14  b	#0xfffffff009ad38a4
0xfffffff008774ea8: 284fffd0  adrp	x8, #0xfffffff00715a000
0xfffffff008774eac: 08110991  add	x8, x8, #0x244
0xfffffff008774eb0: e80300f9  str	x8, [sp]
0xfffffff008774eb4: e04dffb0  adrp	x0, #0xfffffff007131000
0xfffffff008774eb8: 00403691  add	x0, x0, #0xd90
0xfffffff008774ebc: 4194ffb0  adrp	x1, #0xfffffff0079fd000
