; Candidate 7898
; ADRP+ADD at VM 0xfffffff00888679c (fileoff 0x188279c): page=0x1fe963000 add_imm=0xe80

0xfffffff00888671c: 3fd4ff97  bl	#0xfffffff00887b818
0xfffffff008886720: f401f837  tbnz	w20, #0x1f, #0xfffffff00888675c
0xfffffff008886724: 96021b12  and	w22, w20, #0x20
0xfffffff008886728: 17000052  eor	w23, w0, #1
0xfffffff00888672c: a0b60094  bl	#0xfffffff0088b41ac
0xfffffff008886730: f40300aa  mov	x20, x0
0xfffffff008886734: e00315aa  mov	x0, x21
0xfffffff008886738: 46d4ff97  bl	#0xfffffff00887b850
0xfffffff00888673c: e816562a  orr	w8, w23, w22, lsr #5
0xfffffff008886740: 08020037  tbnz	w8, #0, #0xfffffff008886780
0xfffffff008886744: e8830091  add	x8, sp, #0x20
0xfffffff008886748: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888674c: f44f00a9  stp	x20, x19, [sp]
0xfffffff008886750: 404cfff0  adrp	x0, #0xfffffff007211000
0xfffffff008886754: 009c1491  add	x0, x0, #0x527
0xfffffff008886758: 08000014  b	#0xfffffff008886778
0xfffffff00888675c: 20030034  cbz	w0, #0xfffffff0088867c0
0xfffffff008886760: e803144b  neg	w8, w20
0xfffffff008886764: e8022837  tbnz	w8, #5, #0xfffffff0088867c0
0xfffffff008886768: e8830091  add	x8, sp, #0x20
0xfffffff00888676c: e80300f9  str	x8, [sp]
0xfffffff008886770: 204dfff0  adrp	x0, #0xfffffff00722d000
0xfffffff008886774: 00e42091  add	x0, x0, #0x839
0xfffffff008886778: 3ac3d497  bl	#0xfffffff007db7460
0xfffffff00888677c: 1b000014  b	#0xfffffff0088867e8
0xfffffff008886780: 8bb60094  bl	#0xfffffff0088b41ac
0xfffffff008886784: f40300aa  mov	x20, x0
0xfffffff008886788: e00315aa  mov	x0, x21
0xfffffff00888678c: 31d4ff97  bl	#0xfffffff00887b850
0xfffffff008886790: e8830091  add	x8, sp, #0x20
0xfffffff008886794: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008886798: f44f00a9  stp	x20, x19, [sp]
0xfffffff00888679c: 004bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088867a0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088867a4: 018cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088867a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088867ac: a34effd0  adrp	x3, #0xfffffff00725c000
0xfffffff0088867b0: 635c2091  add	x3, x3, #0x817
0xfffffff0088867b4: 02008052  mov	w2, #0
0xfffffff0088867b8: 5eb2ea97  bl	#0xfffffff008333130
0xfffffff0088867bc: 0b000014  b	#0xfffffff0088867e8
0xfffffff0088867c0: e8830091  add	x8, sp, #0x20
0xfffffff0088867c4: e80300f9  str	x8, [sp]
0xfffffff0088867c8: 004bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088867cc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088867d0: 018cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088867d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088867d8: a34effd0  adrp	x3, #0xfffffff00725c000
0xfffffff0088867dc: 63502091  add	x3, x3, #0x814
0xfffffff0088867e0: 02008052  mov	w2, #0
0xfffffff0088867e4: 53b2ea97  bl	#0xfffffff008333130
0xfffffff0088867e8: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088867ec: 098cffd0  adrp	x9, #0xfffffff007a08000
0xfffffff0088867f0: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff0088867f4: 290140f9  ldr	x9, [x9]
0xfffffff0088867f8: 3f0108eb  cmp	x9, x8
0xfffffff0088867fc: 41010054  b.ne	#0xfffffff008886824
0xfffffff008886800: 00008052  mov	w0, #0
0xfffffff008886804: fd7b50a9  ldp	x29, x30, [sp, #0x100]
0xfffffff008886808: f44f4fa9  ldp	x20, x19, [sp, #0xf0]
0xfffffff00888680c: f6574ea9  ldp	x22, x21, [sp, #0xe0]
0xfffffff008886810: f85f4da9  ldp	x24, x23, [sp, #0xd0]
0xfffffff008886814: fa674ca9  ldp	x26, x25, [sp, #0xc0]
0xfffffff008886818: fc6f4ba9  ldp	x28, x27, [sp, #0xb0]
