; Candidate 12187
; ADRP+ADD at VM 0xfffffff009067124 (fileoff 0x2063124): page=0x1fe3eb000 add_imm=0xda5

0xfffffff0090670a4: e00317aa  mov	x0, x23
0xfffffff0090670a8: fd7b56a9  ldp	x29, x30, [sp, #0x160]
0xfffffff0090670ac: f44f55a9  ldp	x20, x19, [sp, #0x150]
0xfffffff0090670b0: f65754a9  ldp	x22, x21, [sp, #0x140]
0xfffffff0090670b4: f85f53a9  ldp	x24, x23, [sp, #0x130]
0xfffffff0090670b8: fc6f52a9  ldp	x28, x27, [sp, #0x120]
0xfffffff0090670bc: ffc30591  add	sp, sp, #0x170
0xfffffff0090670c0: ff0f5fd6  retab	
0xfffffff0090670c4: 97578052  mov	w23, #0x2bc
0xfffffff0090670c8: 1700bc72  movk	w23, #0xe000, lsl #16
0xfffffff0090670cc: ddffff17  b	#0xfffffff009067040
0xfffffff0090670d0: 17730011  add	w23, w24, #0x1c
0xfffffff0090670d4: dbffff17  b	#0xfffffff009067040
0xfffffff0090670d8: 5ddbb397  bl	#0xfffffff007d5de4c
0xfffffff0090670dc: 7f2303d5  pacibsp	
0xfffffff0090670e0: ff4303d1  sub	sp, sp, #0xd0
0xfffffff0090670e4: e923066d  stp	d9, d8, [sp, #0x60]
0xfffffff0090670e8: fc6f07a9  stp	x28, x27, [sp, #0x70]
0xfffffff0090670ec: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff0090670f0: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff0090670f4: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff0090670f8: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff0090670fc: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff009067100: fd030391  add	x29, sp, #0xc0
0xfffffff009067104: fc0301aa  mov	x28, x1
0xfffffff009067108: f60300aa  mov	x22, x0
0xfffffff00906710c: d4578052  mov	w20, #0x2be
0xfffffff009067110: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff009067114: 20018052  mov	w0, #9
0xfffffff009067118: 0628ca97  bl	#0xfffffff0082f1130
0xfffffff00906711c: 003500b4  cbz	x0, #0xfffffff0090677bc
0xfffffff009067120: f30300aa  mov	x19, x0
0xfffffff009067124: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067128: 00943691  add	x0, x0, #0xda5
0xfffffff00906712c: daffca97  bl	#0xfffffff008327094
0xfffffff009067130: f45f00b9  str	w20, [sp, #0x5c]
0xfffffff009067134: 003300b4  cbz	x0, #0xfffffff009067794
0xfffffff009067138: fa0300aa  mov	x26, x0
0xfffffff00906713c: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067140: 00dc3691  add	x0, x0, #0xdb7
0xfffffff009067144: d4ffca97  bl	#0xfffffff008327094
0xfffffff009067148: f90300aa  mov	x25, x0
0xfffffff00906714c: c03400b4  cbz	x0, #0xfffffff0090677e4
0xfffffff009067150: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067154: 00203791  add	x0, x0, #0xdc8
0xfffffff009067158: cfffca97  bl	#0xfffffff008327094
0xfffffff00906715c: 403400b4  cbz	x0, #0xfffffff0090677e4
0xfffffff009067160: e02b00f9  str	x0, [sp, #0x50]
0xfffffff009067164: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067168: 00643791  add	x0, x0, #0xdd9
0xfffffff00906716c: caffca97  bl	#0xfffffff008327094
0xfffffff009067170: c03300b4  cbz	x0, #0xfffffff0090677e8
0xfffffff009067174: e02700f9  str	x0, [sp, #0x48]
0xfffffff009067178: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff00906717c: 00803791  add	x0, x0, #0xde0
0xfffffff009067180: c5ffca97  bl	#0xfffffff008327094
0xfffffff009067184: 403300b4  cbz	x0, #0xfffffff0090677ec
0xfffffff009067188: e02300f9  str	x0, [sp, #0x40]
0xfffffff00906718c: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067190: 009c3791  add	x0, x0, #0xde7
0xfffffff009067194: c0ffca97  bl	#0xfffffff008327094
0xfffffff009067198: c03200b4  cbz	x0, #0xfffffff0090677f0
0xfffffff00906719c: e01f00f9  str	x0, [sp, #0x38]
0xfffffff0090671a0: 401ffff0  adrp	x0, #0xfffffff007452000
