; Candidate 10076
; ADRP+ADD at VM 0xfffffff008c98bb4 (fileoff 0x1c94bb4): page=0x1fe6ba000 add_imm=0xde0

0xfffffff008c98b34: 881e7d39  ldrb	w8, [x20, #0xf47]
0xfffffff008c98b38: 68010034  cbz	w8, #0xfffffff008c98b64
0xfffffff008c98b3c: e00313aa  mov	x0, x19
0xfffffff008c98b40: f0c32a94  bl	#0xfffffff009749b00
0xfffffff008c98b44: 1f080071  cmp	w0, #2
0xfffffff008c98b48: e0000054  b.eq	#0xfffffff008c98b64
0xfffffff008c98b4c: 41008052  mov	w1, #2
0xfffffff008c98b50: 02000014  b	#0xfffffff008c98b58
0xfffffff008c98b54: 21008052  mov	w1, #1
0xfffffff008c98b58: e00313aa  mov	x0, x19
0xfffffff008c98b5c: e7c52a94  bl	#0xfffffff00974a2f8
0xfffffff008c98b60: 36008052  mov	w22, #1
0xfffffff008c98b64: e00314aa  mov	x0, x20
0xfffffff008c98b68: 61008052  mov	w1, #3
0xfffffff008c98b6c: 8a202b94  bl	#0xfffffff009760d94
0xfffffff008c98b70: 80020036  tbz	w0, #0, #0xfffffff008c98bc0
0xfffffff008c98b74: b6010034  cbz	w22, #0xfffffff008c98ba8
0xfffffff008c98b78: 700240f9  ldr	x16, [x19]
0xfffffff008c98b7c: f10313aa  mov	x17, x19
0xfffffff008c98b80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c98b84: 301ac1da  autda	x16, x17
0xfffffff008c98b88: 11ae80d2  mov	x17, #0x570
0xfffffff008c98b8c: 1002118b  add	x16, x16, x17
0xfffffff008c98b90: 080240f9  ldr	x8, [x16]
0xfffffff008c98b94: e90310aa  mov	x9, x16
0xfffffff008c98b98: e00313aa  mov	x0, x19
0xfffffff008c98b9c: f10309aa  mov	x17, x9
0xfffffff008c98ba0: 5162f0f2  movk	x17, #0x8312, lsl #48
0xfffffff008c98ba4: 11093fd7  blraa	x8, x17
0xfffffff008c98ba8: 16008052  mov	w22, #0
0xfffffff008c98bac: 88f27d39  ldrb	w8, [x20, #0xf7c]
0xfffffff008c98bb0: a8032036  tbz	w8, #4, #0xfffffff008c98c24
0xfffffff008c98bb4: c035ffd0  adrp	x0, #0xfffffff007352000
0xfffffff008c98bb8: 00803791  add	x0, x0, #0xde0
0xfffffff008c98bbc: 17000014  b	#0xfffffff008c98c18
0xfffffff008c98bc0: 700240f9  ldr	x16, [x19]
0xfffffff008c98bc4: f10313aa  mov	x17, x19
0xfffffff008c98bc8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c98bcc: 301ac1da  autda	x16, x17
0xfffffff008c98bd0: 11ae80d2  mov	x17, #0x570
0xfffffff008c98bd4: 1002118b  add	x16, x16, x17
0xfffffff008c98bd8: 080240f9  ldr	x8, [x16]
0xfffffff008c98bdc: e90310aa  mov	x9, x16
0xfffffff008c98be0: e00313aa  mov	x0, x19
0xfffffff008c98be4: f10309aa  mov	x17, x9
0xfffffff008c98be8: 5162f0f2  movk	x17, #0x8312, lsl #48
0xfffffff008c98bec: 11093fd7  blraa	x8, x17
0xfffffff008c98bf0: e00314aa  mov	x0, x20
0xfffffff008c98bf4: e10313aa  mov	x1, x19
0xfffffff008c98bf8: 02008052  mov	w2, #0
0xfffffff008c98bfc: ff262b94  bl	#0xfffffff0097627f8
0xfffffff008c98c00: 16008052  mov	w22, #0
0xfffffff008c98c04: 00010037  tbnz	w0, #0, #0xfffffff008c98c24
0xfffffff008c98c08: c035ffd0  adrp	x0, #0xfffffff007352000
0xfffffff008c98c0c: 00243691  add	x0, x0, #0xd89
0xfffffff008c98c10: 96578052  mov	w22, #0x2bc
0xfffffff008c98c14: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008c98c18: 88a27c39  ldrb	w8, [x20, #0xf28]
0xfffffff008c98c1c: e80300f9  str	x8, [sp]
0xfffffff008c98c20: 00f9da97  bl	#0xfffffff008357020
0xfffffff008c98c24: 75030034  cbz	w21, #0xfffffff008c98c90
0xfffffff008c98c28: 88e247f9  ldr	x8, [x20, #0xfc0]
0xfffffff008c98c2c: 480200b4  cbz	x8, #0xfffffff008c98c74
0xfffffff008c98c30: 700240f9  ldr	x16, [x19]
