; Candidate 1558
; ADRP+ADD at VM 0xfffffff0084975c4 (fileoff 0x14935c4): page=0x1febaf000 add_imm=0xe55

0xfffffff008497544: 1f050071  cmp	w8, #1
0xfffffff008497548: e1010054  b.ne	#0xfffffff008497584
0xfffffff00849754c: a92240a9  ldp	x9, x8, [x21]
0xfffffff008497550: 0a0109cb  sub	x10, x8, x9
0xfffffff008497554: eb5e1053  ubfx	w11, w23, #0x10, #8
0xfffffff008497558: ec220853  ubfx	w12, w23, #8, #1
0xfffffff00849755c: cd2b8052  mov	w13, #0x15e
0xfffffff008497560: 6e5dfff0  adrp	x14, #0xfffffff007046000
0xfffffff008497564: ce193291  add	x14, x14, #0xc86
0xfffffff008497568: ee3704a9  stp	x14, x13, [sp, #0x40]
0xfffffff00849756c: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008497570: ec2702a9  stp	x12, x9, [sp, #0x20]
0xfffffff008497574: eb5b01a9  stp	x11, x22, [sp, #0x10]
0xfffffff008497578: 605dfff0  adrp	x0, #0xfffffff007046000
0xfffffff00849757c: 00303791  add	x0, x0, #0xdcc
0xfffffff008497580: 13000014  b	#0xfffffff0084975cc
0xfffffff008497584: e00313aa  mov	x0, x19
0xfffffff008497588: 010080d2  mov	x1, #0
0xfffffff00849758c: 3f60e497  bl	#0xfffffff007daf688
0xfffffff008497590: a92240a9  ldp	x9, x8, [x21]
0xfffffff008497594: 0a0109cb  sub	x10, x8, x9
0xfffffff008497598: eb5e1053  ubfx	w11, w23, #0x10, #8
0xfffffff00849759c: ec220853  ubfx	w12, w23, #8, #1
0xfffffff0084975a0: 0d1440b9  ldr	w13, [x0, #0x14]
0xfffffff0084975a4: ef2c8052  mov	w15, #0x167
0xfffffff0084975a8: 6e5dfff0  adrp	x14, #0xfffffff007046000
0xfffffff0084975ac: ce193291  add	x14, x14, #0xc86
0xfffffff0084975b0: eebf04a9  stp	x14, x15, [sp, #0x48]
0xfffffff0084975b4: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff0084975b8: eca702a9  stp	x12, x9, [sp, #0x28]
0xfffffff0084975bc: f6b701a9  stp	x22, x13, [sp, #0x18]
0xfffffff0084975c0: eb0b00f9  str	x11, [sp, #0x10]
0xfffffff0084975c4: 605dfff0  adrp	x0, #0xfffffff007046000
0xfffffff0084975c8: 00543991  add	x0, x0, #0xe55
0xfffffff0084975cc: f32b00a9  stp	x19, x10, [sp]
0xfffffff0084975d0: cff3ff97  bl	#0xfffffff00849450c
0xfffffff0084975d4: 7f2303d5  pacibsp	
0xfffffff0084975d8: ff4301d1  sub	sp, sp, #0x50
0xfffffff0084975dc: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0084975e0: fd030191  add	x29, sp, #0x40
0xfffffff0084975e4: 09204129  ldp	w9, w8, [x0, #8]
0xfffffff0084975e8: 0a2c4029  ldp	w10, w11, [x0]
0xfffffff0084975ec: cd108052  mov	w13, #0x86
0xfffffff0084975f0: 6c5dfff0  adrp	x12, #0xfffffff007046000
0xfffffff0084975f4: 8c193291  add	x12, x12, #0xc86
0xfffffff0084975f8: ecb702a9  stp	x12, x13, [sp, #0x28]
0xfffffff0084975fc: e9af01a9  stp	x9, x11, [sp, #0x18]
0xfffffff008497600: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff008497604: 685dfff0  adrp	x8, #0xfffffff007046000
0xfffffff008497608: 08f93291  add	x8, x8, #0xcbe
0xfffffff00849760c: e00300f9  str	x0, [sp]
0xfffffff008497610: e00308aa  mov	x0, x8
0xfffffff008497614: bef3ff97  bl	#0xfffffff00849450c
0xfffffff008497618: 7f2303d5  pacibsp	
0xfffffff00849761c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008497620: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008497624: fd830091  add	x29, sp, #0x20
0xfffffff008497628: 88d038d5  mrs	x8, tpidr_el1
0xfffffff00849762c: e9118052  mov	w9, #0x8f
0xfffffff008497630: 6a5dfff0  adrp	x10, #0xfffffff007046000
0xfffffff008497634: 4a193291  add	x10, x10, #0xc86
0xfffffff008497638: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff00849763c: e02300a9  stp	x0, x8, [sp]
0xfffffff008497640: 605dfff0  adrp	x0, #0xfffffff007046000
