; Candidate 8648
; ADRP+ADD at VM 0xfffffff0088b98f4 (fileoff 0x18b58f4): page=0x1fe97c000 add_imm=0xde4

0xfffffff0088b9874: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b9878: 618afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b987c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b9880: 634dff90  adrp	x3, #0xfffffff007265000
0xfffffff0088b9884: 63202a91  add	x3, x3, #0xa88
0xfffffff0088b9888: 02008052  mov	w2, #0
0xfffffff0088b988c: 29e6e997  bl	#0xfffffff008333130
0xfffffff0088b9890: a81a40b9  ldr	w8, [x21, #0x18]
0xfffffff0088b9894: 1f090071  cmp	w8, #2
0xfffffff0088b9898: 61030054  b.ne	#0xfffffff0088b9904
0xfffffff0088b989c: 080300b9  str	w8, [x24]
0xfffffff0088b98a0: e00313aa  mov	x0, x19
0xfffffff0088b98a4: 41008052  mov	w1, #2
0xfffffff0088b98a8: 52e5ff97  bl	#0xfffffff0088b2df0
0xfffffff0088b98ac: f60300aa  mov	x22, x0
0xfffffff0088b98b0: 60230035  cbnz	w0, #0xfffffff0088b9d1c
0xfffffff0088b98b4: a0088052  mov	w0, #0x45
0xfffffff0088b98b8: e1008052  mov	w1, #7
0xfffffff0088b98bc: c507ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b98c0: a00a0034  cbz	w0, #0xfffffff0088b9a14
0xfffffff0088b98c4: a0088052  mov	w0, #0x45
0xfffffff0088b98c8: d407ff97  bl	#0xfffffff00887b818
0xfffffff0088b98cc: f70300aa  mov	x23, x0
0xfffffff0088b98d0: 37eaff97  bl	#0xfffffff0088b41ac
0xfffffff0088b98d4: f60300aa  mov	x22, x0
0xfffffff0088b98d8: e0008052  mov	w0, #7
0xfffffff0088b98dc: dd07ff97  bl	#0xfffffff00887b850
0xfffffff0088b98e0: b7070034  cbz	w23, #0xfffffff0088b99d4
0xfffffff0088b98e4: 080340b9  ldr	w8, [x24]
0xfffffff0088b98e8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b98ec: a8088052  mov	w8, #0x45
0xfffffff0088b98f0: f62300a9  stp	x22, x8, [sp]
0xfffffff0088b98f4: e04bff90  adrp	x0, #0xfffffff007235000
0xfffffff0088b98f8: 00903791  add	x0, x0, #0xde4
0xfffffff0088b98fc: d9f6d397  bl	#0xfffffff007db7460
0xfffffff0088b9900: 45000014  b	#0xfffffff0088b9a14
0xfffffff0088b9904: 1f0300b9  str	wzr, [x24]
0xfffffff0088b9908: e00313aa  mov	x0, x19
0xfffffff0088b990c: 01008052  mov	w1, #0
0xfffffff0088b9910: 38e5ff97  bl	#0xfffffff0088b2df0
0xfffffff0088b9914: f60300aa  mov	x22, x0
0xfffffff0088b9918: 20200035  cbnz	w0, #0xfffffff0088b9d1c
0xfffffff0088b991c: a0088052  mov	w0, #0x45
0xfffffff0088b9920: e1008052  mov	w1, #7
0xfffffff0088b9924: ab07ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b9928: e00b0034  cbz	w0, #0xfffffff0088b9aa4
0xfffffff0088b992c: a0088052  mov	w0, #0x45
0xfffffff0088b9930: ba07ff97  bl	#0xfffffff00887b818
0xfffffff0088b9934: f70300aa  mov	x23, x0
0xfffffff0088b9938: 1deaff97  bl	#0xfffffff0088b41ac
0xfffffff0088b993c: f60300aa  mov	x22, x0
0xfffffff0088b9940: e0008052  mov	w0, #7
0xfffffff0088b9944: c307ff97  bl	#0xfffffff00887b850
0xfffffff0088b9948: f7080034  cbz	w23, #0xfffffff0088b9a64
0xfffffff0088b994c: 080340b9  ldr	w8, [x24]
0xfffffff0088b9950: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b9954: a8088052  mov	w8, #0x45
0xfffffff0088b9958: f62300a9  stp	x22, x8, [sp]
0xfffffff0088b995c: e04bff90  adrp	x0, #0xfffffff007235000
0xfffffff0088b9960: 00903791  add	x0, x0, #0xde4
0xfffffff0088b9964: bff6d397  bl	#0xfffffff007db7460
0xfffffff0088b9968: 4f000014  b	#0xfffffff0088b9aa4
0xfffffff0088b996c: 10eaff97  bl	#0xfffffff0088b41ac
0xfffffff0088b9970: f50300aa  mov	x21, x0
