; Candidate 1205
; ADRP+ADD at VM 0xfffffff008294b0c (fileoff 0x1290b0c): page=0x1ff6e8000 add_imm=0xd30

0xfffffff008294a8c: e06fffb0  adrp	x0, #0xfffffff007091000
0xfffffff008294a90: 00143b91  add	x0, x0, #0xec5
0xfffffff008294a94: e16fffb0  adrp	x1, #0xfffffff007091000
0xfffffff008294a98: 21c03791  add	x1, x1, #0xdf0
0xfffffff008294a9c: 22378052  mov	w2, #0x1b9
0xfffffff008294aa0: 5d2b0894  bl	#0xfffffff00849f814
0xfffffff008294aa4: 7f2303d5  pacibsp	
0xfffffff008294aa8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008294aac: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008294ab0: fd430091  add	x29, sp, #0x10
0xfffffff008294ab4: 146840b9  ldr	w20, [x0, #0x68]
0xfffffff008294ab8: 88060071  subs	w8, w20, #1
0xfffffff008294abc: 086800b9  str	w8, [x0, #0x68]
0xfffffff008294ac0: e1020054  b.ne	#0xfffffff008294b1c
0xfffffff008294ac4: f30300aa  mov	x19, x0
0xfffffff008294ac8: 086c40b9  ldr	w8, [x0, #0x6c]
0xfffffff008294acc: 28010036  tbz	w8, #0, #0xfffffff008294af0
0xfffffff008294ad0: 694e40f9  ldr	x9, [x19, #0x98]
0xfffffff008294ad4: a90000b4  cbz	x9, #0xfffffff008294ae8
0xfffffff008294ad8: e00313aa  mov	x0, x19
0xfffffff008294adc: d15785d2  mov	x17, #0x2abe
0xfffffff008294ae0: 31093fd7  blraa	x9, x17
0xfffffff008294ae4: 686e40b9  ldr	w8, [x19, #0x6c]
0xfffffff008294ae8: 08791f12  and	w8, w8, #0xfffffffe
0xfffffff008294aec: 686e00b9  str	w8, [x19, #0x6c]
0xfffffff008294af0: 60420191  add	x0, x19, #0x50
0xfffffff008294af4: 01008052  mov	w1, #0
0xfffffff008294af8: 02028052  mov	w2, #0x10
0xfffffff008294afc: 31e0ea97  bl	#0xfffffff007d4cbc0
0xfffffff008294b00: 7f3a00f9  str	xzr, [x19, #0x70]
0xfffffff008294b04: 68b24139  ldrb	w8, [x19, #0x6c]
0xfffffff008294b08: a8001836  tbz	w8, #3, #0xfffffff008294b1c
0xfffffff008294b0c: 40b7ff90  adrp	x0, #0xfffffff00797c000
0xfffffff008294b10: 00c03491  add	x0, x0, #0xd30
0xfffffff008294b14: e10313aa  mov	x1, x19
0xfffffff008294b18: 3dd4ed97  bl	#0xfffffff007e09c0c
0xfffffff008294b1c: 9f060071  cmp	w20, #1
0xfffffff008294b20: e0179f1a  cset	w0, eq
0xfffffff008294b24: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008294b28: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008294b2c: ff0f5fd6  retab	
0xfffffff008294b30: 7f2303d5  pacibsp	
0xfffffff008294b34: ffc301d1  sub	sp, sp, #0x70
0xfffffff008294b38: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff008294b3c: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff008294b40: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008294b44: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008294b48: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008294b4c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008294b50: fd830191  add	x29, sp, #0x60
0xfffffff008294b54: d7028052  mov	w23, #0x16
0xfffffff008294b58: 1f100071  cmp	w0, #4
0xfffffff008294b5c: 0c0b0054  b.gt	#0xfffffff008294cbc
0xfffffff008294b60: f40304aa  mov	x20, x4
0xfffffff008294b64: c40a00b4  cbz	x4, #0xfffffff008294cbc
0xfffffff008294b68: f30303aa  mov	x19, x3
0xfffffff008294b6c: f60302aa  mov	x22, x2
0xfffffff008294b70: f50301aa  mov	x21, x1
0xfffffff008294b74: f80300aa  mov	x24, x0
0xfffffff008294b78: e00314aa  mov	x0, x20
0xfffffff008294b7c: 01008052  mov	w1, #0
0xfffffff008294b80: 02028052  mov	w2, #0x10
0xfffffff008294b84: 0fe0ea97  bl	#0xfffffff007d4cbc0
0xfffffff008294b88: d7028052  mov	w23, #0x16
