; Candidate 13427
; ADRP+ADD at VM 0xfffffff0092d00e4 (fileoff 0x22cc0e4): page=0x1fe20f000 add_imm=0xe26

0xfffffff0092d0064: 400300b4  cbz	x0, #0xfffffff0092d00cc
0xfffffff0092d0068: 700240f9  ldr	x16, [x19]
0xfffffff0092d006c: f10313aa  mov	x17, x19
0xfffffff0092d0070: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0074: 301ac1da  autda	x16, x17
0xfffffff0092d0078: 116e80d2  mov	x17, #0x370
0xfffffff0092d007c: 1002118b  add	x16, x16, x17
0xfffffff0092d0080: 080240f9  ldr	x8, [x16]
0xfffffff0092d0084: e90310aa  mov	x9, x16
0xfffffff0092d0088: e00313aa  mov	x0, x19
0xfffffff0092d008c: f10309aa  mov	x17, x9
0xfffffff0092d0090: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092d0094: 11093fd7  blraa	x8, x17
0xfffffff0092d0098: 100040f9  ldr	x16, [x0]
0xfffffff0092d009c: f10300aa  mov	x17, x0
0xfffffff0092d00a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d00a4: 301ac1da  autda	x16, x17
0xfffffff0092d00a8: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d00ac: 1002118b  add	x16, x16, x17
0xfffffff0092d00b0: 080240f9  ldr	x8, [x16]
0xfffffff0092d00b4: e90310aa  mov	x9, x16
0xfffffff0092d00b8: 010080d2  mov	x1, #0
0xfffffff0092d00bc: f10309aa  mov	x17, x9
0xfffffff0092d00c0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d00c4: 11093fd7  blraa	x8, x17
0xfffffff0092d00c8: 03000014  b	#0xfffffff0092d00d4
0xfffffff0092d00cc: 6010ffd0  adrp	x0, #0xfffffff0074de000
0xfffffff0092d00d0: 00102191  add	x0, x0, #0x844
0xfffffff0092d00d4: a8024079  ldrh	w8, [x21]
0xfffffff0092d00d8: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092d00dc: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092d00e0: f60300f9  str	x22, [sp]
0xfffffff0092d00e4: 6010fff0  adrp	x0, #0xfffffff0074df000
0xfffffff0092d00e8: 00983891  add	x0, x0, #0xe26
0xfffffff0092d00ec: cd1bc297  bl	#0xfffffff008357020
0xfffffff0092d00f0: 750a3a91  add	x21, x19, #0xe82
0xfffffff0092d00f4: 7410fff0  adrp	x20, #0xfffffff0074df000
0xfffffff0092d00f8: 94863391  add	x20, x20, #0xce1
0xfffffff0092d00fc: e00314aa  mov	x0, x20
0xfffffff0092d0100: e10315aa  mov	x1, x21
0xfffffff0092d0104: 42008052  mov	w2, #2
0xfffffff0092d0108: ac73c697  bl	#0xfffffff00846cfb8
0xfffffff0092d010c: c0070034  cbz	w0, #0xfffffff0092d0204
0xfffffff0092d0110: 700240f9  ldr	x16, [x19]
0xfffffff0092d0114: f10313aa  mov	x17, x19
0xfffffff0092d0118: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d011c: 301ac1da  autda	x16, x17
0xfffffff0092d0120: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d0124: 1002118b  add	x16, x16, x17
0xfffffff0092d0128: 080240f9  ldr	x8, [x16]
0xfffffff0092d012c: e90310aa  mov	x9, x16
0xfffffff0092d0130: e00313aa  mov	x0, x19
0xfffffff0092d0134: 010080d2  mov	x1, #0
0xfffffff0092d0138: f10309aa  mov	x17, x9
0xfffffff0092d013c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d0140: 11093fd7  blraa	x8, x17
0xfffffff0092d0144: f60300aa  mov	x22, x0
0xfffffff0092d0148: 700240f9  ldr	x16, [x19]
0xfffffff0092d014c: f10313aa  mov	x17, x19
0xfffffff0092d0150: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0154: 301ac1da  autda	x16, x17
0xfffffff0092d0158: 116e80d2  mov	x17, #0x370
0xfffffff0092d015c: 1002118b  add	x16, x16, x17
0xfffffff0092d0160: 080240f9  ldr	x8, [x16]
