; Candidate 10781
; ADRP+ADD at VM 0xfffffff008de66b8 (fileoff 0x1de26b8): page=0x1fe5de000 add_imm=0xe15

0xfffffff008de6638: e00315aa  mov	x0, x21
0xfffffff008de663c: bf4301d1  sub	sp, x29, #0x50
0xfffffff008de6640: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008de6644: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008de6648: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008de664c: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008de6650: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff008de6654: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff008de6658: ff0f5fd6  retab	
0xfffffff008de665c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de6660: 480a8152  mov	w8, #0x852
0xfffffff008de6664: c92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de6668: 29490d91  add	x9, x9, #0x352
0xfffffff008de666c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de6670: e82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de6674: 08493991  add	x8, x8, #0xe52
0xfffffff008de6678: ca2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de667c: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de6680: 38000014  b	#0xfffffff008de6760
0xfffffff008de6684: fc0300aa  mov	x28, x0
0xfffffff008de6688: 887f4093  sxtw	x8, w28
0xfffffff008de668c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de6690: 090b8152  mov	w9, #0x858
0xfffffff008de6694: ca2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de6698: 4a490d91  add	x10, x10, #0x352
0xfffffff008de669c: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de66a0: e92effd0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de66a4: 29493991  add	x9, x9, #0xe52
0xfffffff008de66a8: eb2effd0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de66ac: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de66b0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de66b4: eb0300f9  str	x11, [sp]
0xfffffff008de66b8: e02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de66bc: 00543891  add	x0, x0, #0xe15
0xfffffff008de66c0: 58c2d597  bl	#0xfffffff008357020
0xfffffff008de66c4: ffc30091  add	sp, sp, #0x30
0xfffffff008de66c8: c8088052  mov	w8, #0x46
0xfffffff008de66cc: f5031caa  mov	x21, x28
0xfffffff008de66d0: dca800b0  adrp	x28, #0xfffffff00a2ff000
0xfffffff008de66d4: 9c432c91  add	x28, x28, #0xb10
0xfffffff008de66d8: c3ffff17  b	#0xfffffff008de65e4
0xfffffff008de66dc: f50300aa  mov	x21, x0
0xfffffff008de66e0: 080c8152  mov	w8, #0x860
0xfffffff008de66e4: 02000014  b	#0xfffffff008de66ec
0xfffffff008de66e8: 880c8152  mov	w8, #0x864
0xfffffff008de66ec: dca800b0  adrp	x28, #0xfffffff00a2ff000
0xfffffff008de66f0: 9c432c91  add	x28, x28, #0xb10
0xfffffff008de66f4: a97e4093  sxtw	x9, w21
0xfffffff008de66f8: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de66fc: ca2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de6700: 4a490d91  add	x10, x10, #0x352
0xfffffff008de6704: eaa301a9  stp	x10, x8, [sp, #0x18]
0xfffffff008de6708: e82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de670c: 08493991  add	x8, x8, #0xe52
0xfffffff008de6710: eb2effd0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de6714: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de6718: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008de671c: eb0300f9  str	x11, [sp]
0xfffffff008de6720: e02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de6724: 00543891  add	x0, x0, #0xe15
0xfffffff008de6728: 3ec2d597  bl	#0xfffffff008357020
0xfffffff008de672c: ffc30091  add	sp, sp, #0x30
0xfffffff008de6730: c8088052  mov	w8, #0x46
0xfffffff008de6734: 9f020091  mov	sp, x20
