; Candidate 15475
; ADRP+ADD at VM 0xfffffff009bc37c8 (fileoff 0x2bbf7c8): page=0x1fe12a000 add_imm=0xeb8

0xfffffff009bc3748: 08a20791  add	x8, x16, #0x1e8
0xfffffff009bc374c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009bc3750: e00315aa  mov	x0, x21
0xfffffff009bc3754: 010080d2  mov	x1, #0
0xfffffff009bc3758: f10308aa  mov	x17, x8
0xfffffff009bc375c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009bc3760: 31093fd7  blraa	x9, x17
0xfffffff009bc3764: 880240b9  ldr	w8, [x20]
0xfffffff009bc3768: 690240b9  ldr	w9, [x19]
0xfffffff009bc376c: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff009bc3770: c8d3fef0  adrp	x8, #0xfffffff00763e000
0xfffffff009bc3774: 08f52891  add	x8, x8, #0xa3d
0xfffffff009bc3778: c9d3fef0  adrp	x9, #0xfffffff00763e000
0xfffffff009bc377c: 29e51891  add	x9, x9, #0x639
0xfffffff009bc3780: e88301a9  stp	x8, x0, [sp, #0x18]
0xfffffff009bc3784: f6a700a9  stp	x22, x9, [sp, #8]
0xfffffff009bc3788: f90300f9  str	x25, [sp]
0xfffffff009bc378c: c0d3feb0  adrp	x0, #0xfffffff00763c000
0xfffffff009bc3790: 00003191  add	x0, x0, #0xc40
0xfffffff009bc3794: 23d4fe90  adrp	x3, #0xfffffff007647000
0xfffffff009bc3798: 63b43991  add	x3, x3, #0xe6d
0xfffffff009bc379c: e10318aa  mov	x1, x24
0xfffffff009bc37a0: e20317aa  mov	x2, x23
0xfffffff009bc37a4: 63be9d97  bl	#0xfffffff008333130
0xfffffff009bc37a8: 00008052  mov	w0, #0
0xfffffff009bc37ac: 84ffff17  b	#0xfffffff009bc35bc
0xfffffff009bc37b0: 7f2303d5  pacibsp	
0xfffffff009bc37b4: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009bc37b8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009bc37bc: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009bc37c0: fd830091  add	x29, sp, #0x20
0xfffffff009bc37c4: f40300aa  mov	x20, x0
0xfffffff009bc37c8: 4009ffd0  adrp	x0, #0xfffffff007ced000
0xfffffff009bc37cc: 00e03a91  add	x0, x0, #0xeb8
0xfffffff009bc37d0: 01048052  mov	w1, #0x20
0xfffffff009bc37d4: 998f9c97  bl	#0xfffffff0082e7638
0xfffffff009bc37d8: f30300aa  mov	x19, x0
0xfffffff009bc37dc: b53f00f0  adrp	x21, #0xfffffff00a3ba000
0xfffffff009bc37e0: b5022191  add	x21, x21, #0x840
0xfffffff009bc37e4: e10315aa  mov	x1, x21
0xfffffff009bc37e8: e18f9c97  bl	#0xfffffff0082e776c
0xfffffff009bc37ec: 1009ff90  adrp	x16, #0xfffffff007ce3000
0xfffffff009bc37f0: 10a23b91  add	x16, x16, #0xee8
0xfffffff009bc37f4: 10420091  add	x16, x16, #0x10
0xfffffff009bc37f8: f10300aa  mov	x17, x0
0xfffffff009bc37fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009bc3800: 300ac1da  pacda	x16, x17
0xfffffff009bc3804: 100000f9  str	x16, [x0]
0xfffffff009bc3808: e00315aa  mov	x0, x21
0xfffffff009bc380c: 4a869c97  bl	#0xfffffff0082e5134
0xfffffff009bc3810: 700240f9  ldr	x16, [x19]
0xfffffff009bc3814: f10313aa  mov	x17, x19
0xfffffff009bc3818: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009bc381c: 301ac1da  autda	x16, x17
0xfffffff009bc3820: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff009bc3824: e90310aa  mov	x9, x16
0xfffffff009bc3828: e00313aa  mov	x0, x19
0xfffffff009bc382c: e10314aa  mov	x1, x20
0xfffffff009bc3830: f10309aa  mov	x17, x9
0xfffffff009bc3834: 510debf2  movk	x17, #0x586a, lsl #48
0xfffffff009bc3838: 11093fd7  blraa	x8, x17
0xfffffff009bc383c: 80010037  tbnz	w0, #0, #0xfffffff009bc386c
0xfffffff009bc3840: 700240f9  ldr	x16, [x19]
0xfffffff009bc3844: f10313aa  mov	x17, x19
