; Candidate 4472
; ADRP+ADD at VM 0xfffffff0087b38c0 (fileoff 0x17af8c0): page=0x1fe97e000 add_imm=0xd90

0xfffffff0087b3840: 4b468652  mov	w11, #0x3232
0xfffffff0087b3844: 8b06ae72  movk	w11, #0x7034, lsl #16
0xfffffff0087b3848: 5f010b6b  cmp	w10, w11
0xfffffff0087b384c: c0000054  b.eq	#0xfffffff0087b3864
0xfffffff0087b3850: 8b868652  mov	w11, #0x3434
0xfffffff0087b3854: 8b06ae72  movk	w11, #0x7034, lsl #16
0xfffffff0087b3858: 7b020014  b	#0xfffffff0087b4244
0xfffffff0087b385c: 09008052  mov	w9, #0
0xfffffff0087b3860: e8030aaa  mov	x8, x10
0xfffffff0087b3864: 693e0cb9  str	w9, [x19, #0xc3c]
0xfffffff0087b3868: f63700f9  str	x22, [sp, #0x68]
0xfffffff0087b386c: e97f40f9  ldr	x9, [sp, #0xf8]
0xfffffff0087b3870: ea7740f9  ldr	x10, [sp, #0xe8]
0xfffffff0087b3874: 37c12a8b  add	x23, x9, w10, sxtw
0xfffffff0087b3878: 02d10191  add	x2, x8, #0x74
0xfffffff0087b387c: 700240f9  ldr	x16, [x19]
0xfffffff0087b3880: f84300f9  str	x24, [sp, #0x80]
0xfffffff0087b3884: 101bc1da  autda	x16, x24
0xfffffff0087b3888: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff0087b388c: e90310aa  mov	x9, x16
0xfffffff0087b3890: e00313aa  mov	x0, x19
0xfffffff0087b3894: c1028052  mov	w1, #0x16
0xfffffff0087b3898: f10309aa  mov	x17, x9
0xfffffff0087b389c: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff0087b38a0: 11093fd7  blraa	x8, x17
0xfffffff0087b38a4: 68725fb9  ldr	w8, [x19, #0x1f70]
0xfffffff0087b38a8: 28020034  cbz	w8, #0xfffffff0087b38ec
0xfffffff0087b38ac: e80319aa  mov	x8, x25
0xfffffff0087b38b0: e80700f9  str	x8, [sp, #8]
0xfffffff0087b38b4: e84cffd0  adrp	x8, #0xfffffff007151000
0xfffffff0087b38b8: 08491591  add	x8, x8, #0x552
0xfffffff0087b38bc: e80300f9  str	x8, [sp]
0xfffffff0087b38c0: e04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087b38c4: 00403691  add	x0, x0, #0xd90
0xfffffff0087b38c8: 4192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b38cc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b38d0: c34cffb0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b38d4: 638c0191  add	x3, x3, #0x63
0xfffffff0087b38d8: 02008052  mov	w2, #0
0xfffffff0087b38dc: 15feed97  bl	#0xfffffff008333130
0xfffffff0087b38e0: e00313aa  mov	x0, x19
0xfffffff0087b38e4: d2feff97  bl	#0xfffffff0087b342c
0xfffffff0087b38e8: 7f721fb9  str	wzr, [x19, #0x1f70]
0xfffffff0087b38ec: f97f07a9  stp	x25, xzr, [sp, #0x70]
0xfffffff0087b38f0: 16008052  mov	w22, #0
0xfffffff0087b38f4: 15008052  mov	w21, #0
0xfffffff0087b38f8: ff7b00f9  str	xzr, [sp, #0xf0]
0xfffffff0087b38fc: 69623691  add	x9, x19, #0xd98
0xfffffff0087b3900: 68a23291  add	x8, x19, #0xca8
0xfffffff0087b3904: e85f0da9  stp	x8, x23, [sp, #0xd0]
0xfffffff0087b3908: 68223691  add	x8, x19, #0xd88
0xfffffff0087b390c: e83300f9  str	x8, [sp, #0x60]
0xfffffff0087b3910: 68f23691  add	x8, x19, #0xdbc
0xfffffff0087b3914: e82709a9  stp	x8, x9, [sp, #0x90]
0xfffffff0087b3918: 68023891  add	x8, x19, #0xe00
0xfffffff0087b391c: e84700f9  str	x8, [sp, #0x88]
0xfffffff0087b3920: f97f40f9  ldr	x25, [sp, #0xf8]
0xfffffff0087b3924: fa5b00f9  str	x26, [sp, #0xb0]
0xfffffff0087b3928: fbaf00b9  str	w27, [sp, #0xac]
0xfffffff0087b392c: f80315aa  mov	x24, x21
0xfffffff0087b3930: 75828cb9  ldrsw	x21, [x19, #0xc80]
0xfffffff0087b3934: 2803158b  add	x8, x25, x21
0xfffffff0087b3938: 1f0117eb  cmp	x8, x23
0xfffffff0087b393c: 68430054  b.hi	#0xfffffff0087b41a8
