; Candidate 16385
; ADRP+ADD at VM 0xfffffff009e80358 (fileoff 0x2e7c358): page=0x1fdeb6000 add_imm=0xdd8

0xfffffff009e802d8: e0031aaa  mov	x0, x26
0xfffffff009e802dc: e1031caa  mov	x1, x28
0xfffffff009e802e0: e20315aa  mov	x2, x21
0xfffffff009e802e4: 796b0394  bl	#0xfffffff009f5b0c8
0xfffffff009e802e8: 20520036  tbz	w0, #0, #0xfffffff009e80d2c
0xfffffff009e802ec: e1030291  add	x1, sp, #0x80
0xfffffff009e802f0: e00315aa  mov	x0, x21
0xfffffff009e802f4: e2031caa  mov	x2, x28
0xfffffff009e802f8: 246b0394  bl	#0xfffffff009f5af88
0xfffffff009e802fc: 01fc4cd3  lsr	x1, x0, #0xc
0xfffffff009e80300: e00314aa  mov	x0, x20
0xfffffff009e80304: 29a88197  bl	#0xfffffff007eea3a8
0xfffffff009e80308: c91240f9  ldr	x9, [x22, #0x20]
0xfffffff009e8030c: 28008052  mov	w8, #1
0xfffffff009e80310: 39030012  and	w25, w25, #1
0xfffffff009e80314: 6a0a44f9  ldr	x10, [x19, #0x810]
0xfffffff009e80318: 3f010aeb  cmp	x9, x10
0xfffffff009e8031c: e0070054  b.eq	#0xfffffff009e80418
0xfffffff009e80320: ff3700f9  str	xzr, [sp, #0x68]
0xfffffff009e80324: 699e40f9  ldr	x9, [x19, #0x138]
0xfffffff009e80328: 3f0100f1  cmp	x9, #0
0xfffffff009e8032c: 6902899a  csel	x9, x19, x9, eq
0xfffffff009e80330: 296140f9  ldr	x9, [x9, #0xc0]
0xfffffff009e80334: 29214439  ldrb	w9, [x9, #0x108]
0xfffffff009e80338: c9000037  tbnz	w9, #0, #0xfffffff009e80350
0xfffffff009e8033c: a80c0034  cbz	w8, #0xfffffff009e804d0
0xfffffff009e80340: e00314aa  mov	x0, x20
0xfffffff009e80344: fea28197  bl	#0xfffffff007ee8f3c
0xfffffff009e80348: e4a28197  bl	#0xfffffff007ee8ed8
0xfffffff009e8034c: a0100034  cbz	w0, #0xfffffff009e80560
0xfffffff009e80350: 150080d2  mov	x21, #0
0xfffffff009e80354: 1b008052  mov	w27, #0
0xfffffff009e80358: a0f5fed0  adrp	x0, #0xfffffff007d36000
0xfffffff009e8035c: 00603791  add	x0, x0, #0xdd8
0xfffffff009e80360: 65589397  bl	#0xfffffff0083564f4
0xfffffff009e80364: e00900b4  cbz	x0, #0xfffffff009e804a0
0xfffffff009e80368: fc0300aa  mov	x28, x0
0xfffffff009e8036c: a82a0090  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e80370: 08212a91  add	x8, x8, #0xa88
0xfffffff009e80374: 09078052  mov	w9, #0x38
0xfffffff009e80378: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009e8037c: 135401a9  stp	x19, x21, [x0, #0x10]
0xfffffff009e80380: e00314aa  mov	x0, x20
0xfffffff009e80384: eea28197  bl	#0xfffffff007ee8f3c
0xfffffff009e80388: 22a38197  bl	#0xfffffff007ee9010
0xfffffff009e8038c: c03a0035  cbnz	w0, #0xfffffff009e80ae4
0xfffffff009e80390: c84e40f9  ldr	x8, [x22, #0x98]
0xfffffff009e80394: 0920a0d2  mov	x9, #0x1000000
0xfffffff009e80398: 0940c0f2  movk	x9, #0x200, lsl #32
0xfffffff009e8039c: 3f0128ea  bics	xzr, x9, x8
0xfffffff009e803a0: 203a0054  b.eq	#0xfffffff009e80ae4
0xfffffff009e803a4: 08008052  mov	w8, #0
0xfffffff009e803a8: c91240f9  ldr	x9, [x22, #0x20]
0xfffffff009e803ac: 6a0a44f9  ldr	x10, [x19, #0x810]
0xfffffff009e803b0: 3f010aeb  cmp	x9, x10
0xfffffff009e803b4: c1000054  b.ne	#0xfffffff009e803cc
0xfffffff009e803b8: e93740f9  ldr	x9, [sp, #0x68]
0xfffffff009e803bc: 890000b4  cbz	x9, #0xfffffff009e803cc
0xfffffff009e803c0: e83740f9  ldr	x8, [sp, #0x68]
0xfffffff009e803c4: 08f14039  ldrb	w8, [x8, #0x3c]
0xfffffff009e803c8: 08110453  ubfx	w8, w8, #4, #1
0xfffffff009e803cc: d9380034  cbz	w25, #0xfffffff009e80ae4
0xfffffff009e803d0: a8380037  tbnz	w8, #0, #0xfffffff009e80ae4
0xfffffff009e803d4: 882a00f0  adrp	x8, #0xfffffff00a3d3000
