; Candidate 10514
; ADRP+ADD at VM 0xfffffff008d7ddcc (fileoff 0x1d79dcc): page=0x1580000 add_imm=0xec0

0xfffffff008d7dd4c: 00e01e91  add	x0, x0, #0x7b8
0xfffffff008d7dd50: 90add697  bl	#0xfffffff008329390
0xfffffff008d7dd54: 08ac00d0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d7dd58: 009501f9  str	x0, [x8, #0x328]
0xfffffff008d7dd5c: 8031ffd0  adrp	x0, #0xfffffff0073af000
0xfffffff008d7dd60: 002c1f91  add	x0, x0, #0x7cb
0xfffffff008d7dd64: 8badd697  bl	#0xfffffff008329390
0xfffffff008d7dd68: 08ac00d0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d7dd6c: 009901f9  str	x0, [x8, #0x330]
0xfffffff008d7dd70: 8031ffd0  adrp	x0, #0xfffffff0073af000
0xfffffff008d7dd74: 00841f91  add	x0, x0, #0x7e1
0xfffffff008d7dd78: 86add697  bl	#0xfffffff008329390
0xfffffff008d7dd7c: 08ac00d0  adrp	x8, #0xfffffff00a2ff000
0xfffffff008d7dd80: 009d01f9  str	x0, [x8, #0x338]
0xfffffff008d7dd84: 00ac0090  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d7dd88: 00003b91  add	x0, x0, #0xec0
0xfffffff008d7dd8c: 8131fff0  adrp	x1, #0xfffffff0073b0000
0xfffffff008d7dd90: 21f03791  add	x1, x1, #0xdfc
0xfffffff008d7dd94: a26affd0  adrp	x2, #0xfffffff007ad3000
0xfffffff008d7dd98: 42c042f9  ldr	x2, [x2, #0x580]
0xfffffff008d7dd9c: 03308052  mov	w3, #0x180
0xfffffff008d7dda0: 6697d597  bl	#0xfffffff0082e3b38
0xfffffff008d7dda4: f06affd0  adrp	x16, #0xfffffff007adb000
0xfffffff008d7dda8: 10622c91  add	x16, x16, #0xb18
0xfffffff008d7ddac: 10420091  add	x16, x16, #0x10
0xfffffff008d7ddb0: f10300aa  mov	x17, x0
0xfffffff008d7ddb4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d7ddb8: 300ac1da  pacda	x16, x17
0xfffffff008d7ddbc: 100000f9  str	x16, [x0]
0xfffffff008d7ddc0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d7ddc4: ff0f5fd6  retab	
0xfffffff008d7ddc8: 5f2403d5  bti	c
0xfffffff008d7ddcc: 00ac0090  adrp	x0, #0xfffffff00a2fd000
0xfffffff008d7ddd0: 00003b91  add	x0, x0, #0xec0
0xfffffff008d7ddd4: 489ad517  b	#0xfffffff0082e46f4
0xfffffff008d7ddd8: 7f2303d5  pacibsp	
0xfffffff008d7dddc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d7dde0: fd030091  mov	x29, sp
0xfffffff008d7dde4: c131ff90  adrp	x1, #0xfffffff0073b5000
0xfffffff008d7dde8: 21903891  add	x1, x1, #0xe24
0xfffffff008d7ddec: 02ac0090  adrp	x2, #0xfffffff00a2fd000
0xfffffff008d7ddf0: 42e01691  add	x2, x2, #0x5b8
0xfffffff008d7ddf4: 03068052  mov	w3, #0x30
0xfffffff008d7ddf8: 5097d597  bl	#0xfffffff0082e3b38
0xfffffff008d7ddfc: f06affd0  adrp	x16, #0xfffffff007adb000
0xfffffff008d7de00: 10e23291  add	x16, x16, #0xcb8
0xfffffff008d7de04: 10420091  add	x16, x16, #0x10
0xfffffff008d7de08: f10300aa  mov	x17, x0
0xfffffff008d7de0c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008d7de10: 300ac1da  pacda	x16, x17
0xfffffff008d7de14: 100000f9  str	x16, [x0]
0xfffffff008d7de18: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d7de1c: ff0f5fd6  retab	
0xfffffff008d7de20: 5f2403d5  bti	c
0xfffffff008d7de24: 349ad517  b	#0xfffffff0082e46f4
0xfffffff008d7de28: 7f2303d5  pacibsp	
0xfffffff008d7de2c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008d7de30: fd030091  mov	x29, sp
0xfffffff008d7de34: c144ff97  bl	#0xfffffff008d4f138
0xfffffff008d7de38: f06affd0  adrp	x16, #0xfffffff007adb000
0xfffffff008d7de3c: 10e22f91  add	x16, x16, #0xbf8
0xfffffff008d7de40: 10420091  add	x16, x16, #0x10
0xfffffff008d7de44: f10300aa  mov	x17, x0
0xfffffff008d7de48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
