; Candidate 12381
; ADRP+ADD at VM 0xfffffff009097de8 (fileoff 0x2093de8): page=0x1fe3c2000 add_imm=0xe24

0xfffffff009097d68: e92300a9  stp	x9, x8, [sp]
0xfffffff009097d6c: 401effb0  adrp	x0, #0xfffffff007460000
0xfffffff009097d70: 008c1091  add	x0, x0, #0x423
0xfffffff009097d74: abfcca97  bl	#0xfffffff008357020
0xfffffff009097d78: 681640f9  ldr	x8, [x19, #0x28]
0xfffffff009097d7c: 090140b9  ldr	w9, [x8]
0xfffffff009097d80: 3f510071  cmp	w9, #0x14
0xfffffff009097d84: a1140054  b.ne	#0xfffffff009098018
0xfffffff009097d88: 091140b9  ldr	w9, [x8, #0x10]
0xfffffff009097d8c: 29010032  orr	w9, w9, #1
0xfffffff009097d90: 091100b9  str	w9, [x8, #0x10]
0xfffffff009097d94: 600640f9  ldr	x0, [x19, #8]
0xfffffff009097d98: 080040b9  ldr	w8, [x0]
0xfffffff009097d9c: 1f1d0071  cmp	w8, #7
0xfffffff009097da0: a1000054  b.ne	#0xfffffff009097db4
0xfffffff009097da4: 680240f9  ldr	x8, [x19]
0xfffffff009097da8: 080d40f9  ldr	x8, [x8, #0x18]
0xfffffff009097dac: d15785d2  mov	x17, #0x2abe
0xfffffff009097db0: 11093fd7  blraa	x8, x17
0xfffffff009097db4: 14008052  mov	w20, #0
0xfffffff009097db8: 48018052  mov	w8, #0xa
0xfffffff009097dbc: e9024039  ldrb	w9, [x23]
0xfffffff009097dc0: 1f01096b  cmp	w8, w9
0xfffffff009097dc4: 83010054  b.lo	#0xfffffff009097df4
0xfffffff009097dc8: e80314aa  mov	x8, x20
0xfffffff009097dcc: 087d4093  sxtw	x8, w8
0xfffffff009097dd0: 491effb0  adrp	x9, #0xfffffff007460000
0xfffffff009097dd4: 290d0d91  add	x9, x9, #0x343
0xfffffff009097dd8: 2a1effd0  adrp	x10, #0xfffffff00745d000
0xfffffff009097ddc: 4a413c91  add	x10, x10, #0xf10
0xfffffff009097de0: ea2700a9  stp	x10, x9, [sp]
0xfffffff009097de4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009097de8: 001effd0  adrp	x0, #0xfffffff007459000
0xfffffff009097dec: 00903891  add	x0, x0, #0xe24
0xfffffff009097df0: 8cfcca97  bl	#0xfffffff008357020
0xfffffff009097df4: e00314aa  mov	x0, x20
0xfffffff009097df8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff009097dfc: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff009097e00: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff009097e04: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff009097e08: ff030291  add	sp, sp, #0x80
0xfffffff009097e0c: ff0f5fd6  retab	
0xfffffff009097e10: 08158052  mov	w8, #0xa8
0xfffffff009097e14: 491effb0  adrp	x9, #0xfffffff007460000
0xfffffff009097e18: 298d0391  add	x9, x9, #0xe3
0xfffffff009097e1c: e81300f9  str	x8, [sp, #0x20]
0xfffffff009097e20: 081effd0  adrp	x8, #0xfffffff007459000
0xfffffff009097e24: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009097e28: 4a1effb0  adrp	x10, #0xfffffff007460000
0xfffffff009097e2c: 4a790991  add	x10, x10, #0x25e
0xfffffff009097e30: 09000014  b	#0xfffffff009097e54
0xfffffff009097e34: 28158052  mov	w8, #0xa9
0xfffffff009097e38: 491effb0  adrp	x9, #0xfffffff007460000
0xfffffff009097e3c: 298d0391  add	x9, x9, #0xe3
0xfffffff009097e40: e81300f9  str	x8, [sp, #0x20]
0xfffffff009097e44: 081effd0  adrp	x8, #0xfffffff007459000
0xfffffff009097e48: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009097e4c: 4a1effb0  adrp	x10, #0xfffffff007460000
0xfffffff009097e50: 4a9d0d91  add	x10, x10, #0x367
0xfffffff009097e54: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009097e58: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff009097e5c: 001effd0  adrp	x0, #0xfffffff007459000
0xfffffff009097e60: 00d42c91  add	x0, x0, #0xb35
0xfffffff009097e64: 6ffcca97  bl	#0xfffffff008357020
