; Candidate 9542
; ADRP+ADD at VM 0xfffffff008a6edc0 (fileoff 0x1a6adc0): page=0x1fe841000 add_imm=0xd1f

0xfffffff008a6ed40: 007c2d91  add	x0, x0, #0xb5f
0xfffffff008a6ed44: b7a0e397  bl	#0xfffffff008357020
0xfffffff008a6ed48: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a6ed4c: 1f1d0071  cmp	w8, #7
0xfffffff008a6ed50: 830a0054  b.lo	#0xfffffff008a6eea0
0xfffffff008a6ed54: 680ac579  ldrsh	w8, [x19, #0x284]
0xfffffff008a6ed58: 147d8052  mov	w20, #0x3e8
0xfffffff008a6ed5c: 087d141b  mul	w8, w8, w20
0xfffffff008a6ed60: 35109052  mov	w21, #0x8081
0xfffffff008a6ed64: 1510b072  movk	w21, #0x8080, lsl #16
0xfffffff008a6ed68: 097d359b  smull	x9, w8, w21
0xfffffff008a6ed6c: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008a6ed70: 2801080b  add	w8, w9, w8
0xfffffff008a6ed74: 097d0713  asr	w9, w8, #7
0xfffffff008a6ed78: 287d480b  add	w8, w9, w8, lsr #31
0xfffffff008a6ed7c: 087d4093  sxtw	x8, w8
0xfffffff008a6ed80: e80300f9  str	x8, [sp]
0xfffffff008a6ed84: 0042ffb0  adrp	x0, #0xfffffff0072af000
0xfffffff008a6ed88: 007c3491  add	x0, x0, #0xd1f
0xfffffff008a6ed8c: a5a0e397  bl	#0xfffffff008357020
0xfffffff008a6ed90: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a6ed94: 1f1d0071  cmp	w8, #7
0xfffffff008a6ed98: 43080054  b.lo	#0xfffffff008a6eea0
0xfffffff008a6ed9c: 680ac579  ldrsh	w8, [x19, #0x284]
0xfffffff008a6eda0: 087d141b  mul	w8, w8, w20
0xfffffff008a6eda4: 097d359b  smull	x9, w8, w21
0xfffffff008a6eda8: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008a6edac: 2801080b  add	w8, w9, w8
0xfffffff008a6edb0: 097d0713  asr	w9, w8, #7
0xfffffff008a6edb4: 287d480b  add	w8, w9, w8, lsr #31
0xfffffff008a6edb8: 087d4093  sxtw	x8, w8
0xfffffff008a6edbc: e80300f9  str	x8, [sp]
0xfffffff008a6edc0: 0042ffb0  adrp	x0, #0xfffffff0072af000
0xfffffff008a6edc4: 007c3491  add	x0, x0, #0xd1f
0xfffffff008a6edc8: 96a0e397  bl	#0xfffffff008357020
0xfffffff008a6edcc: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a6edd0: 1f1d0071  cmp	w8, #7
0xfffffff008a6edd4: 63060054  b.lo	#0xfffffff008a6eea0
0xfffffff008a6edd8: 6812c579  ldrsh	w8, [x19, #0x288]
0xfffffff008a6eddc: 147d8052  mov	w20, #0x3e8
0xfffffff008a6ede0: 087d141b  mul	w8, w8, w20
0xfffffff008a6ede4: 35109052  mov	w21, #0x8081
0xfffffff008a6ede8: 1510b072  movk	w21, #0x8080, lsl #16
0xfffffff008a6edec: 097d359b  smull	x9, w8, w21
0xfffffff008a6edf0: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008a6edf4: 2801080b  add	w8, w9, w8
0xfffffff008a6edf8: 097d0713  asr	w9, w8, #7
0xfffffff008a6edfc: 287d480b  add	w8, w9, w8, lsr #31
0xfffffff008a6ee00: 087d4093  sxtw	x8, w8
0xfffffff008a6ee04: e80300f9  str	x8, [sp]
0xfffffff008a6ee08: 0042ffd0  adrp	x0, #0xfffffff0072b0000
0xfffffff008a6ee0c: 00042e91  add	x0, x0, #0xb81
0xfffffff008a6ee10: 84a0e397  bl	#0xfffffff008357020
0xfffffff008a6ee14: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff008a6ee18: 1f1d0071  cmp	w8, #7
0xfffffff008a6ee1c: 23040054  b.lo	#0xfffffff008a6eea0
0xfffffff008a6ee20: 6812c579  ldrsh	w8, [x19, #0x288]
0xfffffff008a6ee24: 087d141b  mul	w8, w8, w20
0xfffffff008a6ee28: 097d359b  smull	x9, w8, w21
0xfffffff008a6ee2c: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008a6ee30: 2801080b  add	w8, w9, w8
0xfffffff008a6ee34: 097d0713  asr	w9, w8, #7
0xfffffff008a6ee38: 287d480b  add	w8, w9, w8, lsr #31
0xfffffff008a6ee3c: 087d4093  sxtw	x8, w8
