; Candidate 5570
; ADRP+ADD at VM 0xfffffff0087f9174 (fileoff 0x17f5174): page=0x1fe9f0000 add_imm=0xe80

0xfffffff0087f90f4: 00050034  cbz	w0, #0xfffffff0087f9194
0xfffffff0087f90f8: 000f8052  mov	w0, #0x78
0xfffffff0087f90fc: c7090294  bl	#0xfffffff00887b818
0xfffffff0087f9100: f70300aa  mov	x23, x0
0xfffffff0087f9104: 2aec0294  bl	#0xfffffff0088b41ac
0xfffffff0087f9108: f60300aa  mov	x22, x0
0xfffffff0087f910c: e0008052  mov	w0, #7
0xfffffff0087f9110: d0090294  bl	#0xfffffff00887b850
0xfffffff0087f9114: 97010034  cbz	w23, #0xfffffff0087f9144
0xfffffff0087f9118: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff0087f911c: e850ffb0  adrp	x8, #0xfffffff007216000
0xfffffff0087f9120: 08413e91  add	x8, x8, #0xf90
0xfffffff0087f9124: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087f9128: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f912c: 080f8052  mov	w8, #0x78
0xfffffff0087f9130: e050ffb0  adrp	x0, #0xfffffff007216000
0xfffffff0087f9134: 00e03c91  add	x0, x0, #0xf38
0xfffffff0087f9138: f62300a9  stp	x22, x8, [sp]
0xfffffff0087f913c: c9f8d697  bl	#0xfffffff007db7460
0xfffffff0087f9140: 15000014  b	#0xfffffff0087f9194
0xfffffff0087f9144: 1aec0294  bl	#0xfffffff0088b41ac
0xfffffff0087f9148: f60300aa  mov	x22, x0
0xfffffff0087f914c: e0008052  mov	w0, #7
0xfffffff0087f9150: c0090294  bl	#0xfffffff00887b850
0xfffffff0087f9154: e80315aa  mov	x8, x21
0xfffffff0087f9158: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0087f915c: e850ffb0  adrp	x8, #0xfffffff007216000
0xfffffff0087f9160: 08413e91  add	x8, x8, #0xf90
0xfffffff0087f9164: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087f9168: 080f8052  mov	w8, #0x78
0xfffffff0087f916c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f9170: f60300f9  str	x22, [sp]
0xfffffff0087f9174: 804fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f9178: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f917c: 6190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f9180: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f9184: 4352ff90  adrp	x3, #0xfffffff007241000
0xfffffff0087f9188: 63e42091  add	x3, x3, #0x839
0xfffffff0087f918c: 02008052  mov	w2, #0
0xfffffff0087f9190: e8e7ec97  bl	#0xfffffff008333130
0xfffffff0087f9194: 780a40f9  ldr	x24, [x19, #0x10]
0xfffffff0087f9198: 994a40f9  ldr	x25, [x20, #0x90]
0xfffffff0087f919c: e00314aa  mov	x0, x20
0xfffffff0087f91a0: e10315aa  mov	x1, x21
0xfffffff0087f91a4: 47a50094  bl	#0xfffffff0088226c0
0xfffffff0087f91a8: e00314aa  mov	x0, x20
0xfffffff0087f91ac: e1d90094  bl	#0xfffffff00882f930
0xfffffff0087f91b0: 60620191  add	x0, x19, #0x58
0xfffffff0087f91b4: e10314aa  mov	x1, x20
0xfffffff0087f91b8: 9fda0094  bl	#0xfffffff00882fc34
0xfffffff0087f91bc: 162740f9  ldr	x22, [x24, #0x48]
0xfffffff0087f91c0: 771a40b9  ldr	w23, [x19, #0x18]
0xfffffff0087f91c4: 60008052  mov	w0, #3
0xfffffff0087f91c8: 574a0194  bl	#0xfffffff00884bb24
0xfffffff0087f91cc: e20300aa  mov	x2, x0
0xfffffff0087f91d0: 831240b9  ldr	w3, [x20, #0x10]
0xfffffff0087f91d4: 849641a9  ldp	x4, x5, [x20, #0x18]
0xfffffff0087f91d8: b90000b4  cbz	x25, #0xfffffff0087f91ec
0xfffffff0087f91dc: 28c740b9  ldr	w8, [x25, #0xc4]
0xfffffff0087f91e0: 89668b52  mov	w9, #0x5b34
0xfffffff0087f91e4: 296b69b8  ldr	w9, [x25, x9]
0xfffffff0087f91e8: 03000014  b	#0xfffffff0087f91f4
0xfffffff0087f91ec: 08008012  mov	w8, #-1
0xfffffff0087f91f0: 09008012  mov	w9, #-1
