; Candidate 5012
; ADRP+ADD at VM 0xfffffff0087d2098 (fileoff 0x17ce098): page=0x1fea17000 add_imm=0xe80

0xfffffff0087d2018: 63983791  add	x3, x3, #0xde6
0xfffffff0087d201c: fb2300a9  stp	x27, x8, [sp]
0xfffffff0087d2020: a050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d2024: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d2028: a191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d202c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d2030: 02008052  mov	w2, #0
0xfffffff0087d2034: 3f84ed97  bl	#0xfffffff008333130
0xfffffff0087d2038: 39000014  b	#0xfffffff0087d211c
0xfffffff0087d203c: 5c880394  bl	#0xfffffff0088b41ac
0xfffffff0087d2040: fa0300aa  mov	x26, x0
0xfffffff0087d2044: 80008052  mov	w0, #4
0xfffffff0087d2048: 02a60294  bl	#0xfffffff00887b850
0xfffffff0087d204c: 689240b9  ldr	w8, [x19, #0x90]
0xfffffff0087d2050: f66306a9  stp	x22, x24, [sp, #0x60]
0xfffffff0087d2054: e90317aa  mov	x9, x23
0xfffffff0087d2058: f52705a9  stp	x21, x9, [sp, #0x50]
0xfffffff0087d205c: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff0087d2060: e851fff0  adrp	x8, #0xfffffff007211000
0xfffffff0087d2064: 08210e91  add	x8, x8, #0x388
0xfffffff0087d2068: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0087d206c: a8398052  mov	w8, #0x1cd
0xfffffff0087d2070: e951fff0  adrp	x9, #0xfffffff007211000
0xfffffff0087d2074: 29050b91  add	x9, x9, #0x2c1
0xfffffff0087d2078: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d207c: e851ffd0  adrp	x8, #0xfffffff007210000
0xfffffff0087d2080: 08712591  add	x8, x8, #0x95c
0xfffffff0087d2084: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d2088: 080a8052  mov	w8, #0x50
0xfffffff0087d208c: 4353ff90  adrp	x3, #0xfffffff00723a000
0xfffffff0087d2090: 63d83891  add	x3, x3, #0xe36
0xfffffff0087d2094: fa2300a9  stp	x26, x8, [sp]
0xfffffff0087d2098: a050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d209c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d20a0: a191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d20a4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d20a8: 02008052  mov	w2, #0
0xfffffff0087d20ac: 2184ed97  bl	#0xfffffff008333130
0xfffffff0087d20b0: 3b000014  b	#0xfffffff0087d219c
0xfffffff0087d20b4: 3e880394  bl	#0xfffffff0088b41ac
0xfffffff0087d20b8: fa0300aa  mov	x26, x0
0xfffffff0087d20bc: c0008052  mov	w0, #6
0xfffffff0087d20c0: e4a50294  bl	#0xfffffff00887b850
0xfffffff0087d20c4: e80317aa  mov	x8, x23
0xfffffff0087d20c8: 699240b9  ldr	w9, [x19, #0x90]
0xfffffff0087d20cc: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff0087d20d0: 883b8052  mov	w8, #0x1dc
0xfffffff0087d20d4: e951fff0  adrp	x9, #0xfffffff007211000
0xfffffff0087d20d8: 29050b91  add	x9, x9, #0x2c1
0xfffffff0087d20dc: e8e702a9  stp	x8, x25, [sp, #0x28]
0xfffffff0087d20e0: e851ffd0  adrp	x8, #0xfffffff007210000
0xfffffff0087d20e4: 08712591  add	x8, x8, #0x95c
0xfffffff0087d20e8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d20ec: 080a8052  mov	w8, #0x50
0xfffffff0087d20f0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d20f4: fa0300f9  str	x26, [sp]
0xfffffff0087d20f8: a050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d20fc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d2100: a191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d2104: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d2108: 4353ff90  adrp	x3, #0xfffffff00723a000
0xfffffff0087d210c: 63683b91  add	x3, x3, #0xeda
0xfffffff0087d2110: 02008052  mov	w2, #0
0xfffffff0087d2114: 0784ed97  bl	#0xfffffff008333130
