; Candidate 16440
; ADRP+ADD at VM 0xfffffff009eab2c8 (fileoff 0x2ea72c8): page=0x1fd98d000 add_imm=0xdc2

0xfffffff009eab248: 412e0054  b.ne	#0xfffffff009eab810
0xfffffff009eab24c: ffff03a9  stp	xzr, xzr, [sp, #0x38]
0xfffffff009eab250: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff009eab254: 40f4fef0  adrp	x0, #0xfffffff007d36000
0xfffffff009eab258: 00603c91  add	x0, x0, #0xf18
0xfffffff009eab25c: a6ac9297  bl	#0xfffffff0083564f4
0xfffffff009eab260: c00100b4  cbz	x0, #0xfffffff009eab298
0xfffffff009eab264: 582900b0  adrp	x24, #0xfffffff00a3d4000
0xfffffff009eab268: 18232a91  add	x24, x24, #0xa88
0xfffffff009eab26c: 08048052  mov	w8, #0x20
0xfffffff009eab270: 080328f8  ldadd	x8, x8, [x24]
0xfffffff009eab274: 60560ff9  str	x0, [x19, #0x1ea8]
0xfffffff009eab278: 60f4fed0  adrp	x0, #0xfffffff007d39000
0xfffffff009eab27c: 00a03f91  add	x0, x0, #0xfe8
0xfffffff009eab280: 01138052  mov	w1, #0x98
0xfffffff009eab284: d3ae9297  bl	#0xfffffff008356dd0
0xfffffff009eab288: a00200b4  cbz	x0, #0xfffffff009eab2dc
0xfffffff009eab28c: 08138052  mov	w8, #0x98
0xfffffff009eab290: 080328f8  ldadd	x8, x8, [x24]
0xfffffff009eab294: 19000014  b	#0xfffffff009eab2f8
0xfffffff009eab298: 482900b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009eab29c: 08e12791  add	x8, x8, #0x9f8
0xfffffff009eab2a0: 29008052  mov	w9, #1
0xfffffff009eab2a4: 080129b8  ldadd	w9, w8, [x8]
0xfffffff009eab2a8: 482900b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009eab2ac: 09048052  mov	w9, #0x20
0xfffffff009eab2b0: 090105f9  str	x9, [x8, #0xa00]
0xfffffff009eab2b4: 7f560ff9  str	xzr, [x19, #0x1ea8]
0xfffffff009eab2b8: 68ccfeb0  adrp	x8, #0xfffffff007838000
0xfffffff009eab2bc: 088d3791  add	x8, x8, #0xde3
0xfffffff009eab2c0: 093b8d52  mov	w9, #0x69d8
0xfffffff009eab2c4: e82700a9  stp	x8, x9, [sp]
0xfffffff009eab2c8: 60ccfeb0  adrp	x0, #0xfffffff007838000
0xfffffff009eab2cc: 00083791  add	x0, x0, #0xdc2
0xfffffff009eab2d0: 64307c97  bl	#0xfffffff007db7460
0xfffffff009eab2d4: 96018052  mov	w22, #0xc
0xfffffff009eab2d8: 6d000014  b	#0xfffffff009eab48c
0xfffffff009eab2dc: 482900b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009eab2e0: 08e12791  add	x8, x8, #0x9f8
0xfffffff009eab2e4: 29008052  mov	w9, #1
0xfffffff009eab2e8: 080129b8  ldadd	w9, w8, [x8]
0xfffffff009eab2ec: 482900b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009eab2f0: 09138052  mov	w9, #0x98
0xfffffff009eab2f4: 090105f9  str	x9, [x8, #0xa00]
0xfffffff009eab2f8: 605a0ff9  str	x0, [x19, #0x1eb0]
0xfffffff009eab2fc: 68564ff9  ldr	x8, [x19, #0x1ea8]
0xfffffff009eab300: e80300b4  cbz	x8, #0xfffffff009eab37c
0xfffffff009eab304: 680650f9  ldr	x8, [x19, #0x2008]
0xfffffff009eab308: 1f0114eb  cmp	x8, x20
0xfffffff009eab30c: 80000054  b.eq	#0xfffffff009eab31c
0xfffffff009eab310: 08ff8352  mov	w8, #0x1ff8
0xfffffff009eab314: 6002088b  add	x0, x19, x8
0xfffffff009eab318: fc097c97  bl	#0xfffffff007dadb08
0xfffffff009eab31c: e1030191  add	x1, sp, #0x40
0xfffffff009eab320: e00313aa  mov	x0, x19
0xfffffff009eab324: 020080d2  mov	x2, #0
0xfffffff009eab328: 03008052  mov	w3, #0
0xfffffff009eab32c: 040080d2  mov	x4, #0
0xfffffff009eab330: eb2f0194  bl	#0xfffffff009ef72dc
0xfffffff009eab334: 60030034  cbz	w0, #0xfffffff009eab3a0
0xfffffff009eab338: f60300aa  mov	x22, x0
0xfffffff009eab33c: e80300aa  mov	x8, x0
0xfffffff009eab340: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009eab344: 68ccfeb0  adrp	x8, #0xfffffff007838000
