; Candidate 13587
; ADRP+ADD at VM 0xfffffff0093acae0 (fileoff 0x23a8ae0): page=0x1fe156000 add_imm=0xd20

0xfffffff0093aca60: b5622b91  add	x21, x21, #0xad8
0xfffffff0093aca64: e00315aa  mov	x0, x21
0xfffffff0093aca68: bcdfbc97  bl	#0xfffffff0082e4958
0xfffffff0093aca6c: 700240f9  ldr	x16, [x19]
0xfffffff0093aca70: f10313aa  mov	x17, x19
0xfffffff0093aca74: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093aca78: 301ac1da  autda	x16, x17
0xfffffff0093aca7c: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093aca80: e90310aa  mov	x9, x16
0xfffffff0093aca84: e00313aa  mov	x0, x19
0xfffffff0093aca88: f10309aa  mov	x17, x9
0xfffffff0093aca8c: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093aca90: 11093fd7  blraa	x8, x17
0xfffffff0093aca94: b1dfbc97  bl	#0xfffffff0082e4958
0xfffffff0093aca98: e00315aa  mov	x0, x21
0xfffffff0093aca9c: afdfbc97  bl	#0xfffffff0082e4958
0xfffffff0093acaa0: f50300aa  mov	x21, x0
0xfffffff0093acaa4: 700240f9  ldr	x16, [x19]
0xfffffff0093acaa8: f10313aa  mov	x17, x19
0xfffffff0093acaac: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093acab0: 301ac1da  autda	x16, x17
0xfffffff0093acab4: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093acab8: e90310aa  mov	x9, x16
0xfffffff0093acabc: e00313aa  mov	x0, x19
0xfffffff0093acac0: f10309aa  mov	x17, x9
0xfffffff0093acac4: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093acac8: 11093fd7  blraa	x8, x17
0xfffffff0093acacc: a3dfbc97  bl	#0xfffffff0082e4958
0xfffffff0093acad0: d60aff90  adrp	x22, #0xfffffff007504000
0xfffffff0093acad4: d68e0291  add	x22, x22, #0xa3
0xfffffff0093acad8: f68300a9  stp	x22, x0, [sp, #8]
0xfffffff0093acadc: f50300f9  str	x21, [sp]
0xfffffff0093acae0: a00affd0  adrp	x0, #0xfffffff007502000
0xfffffff0093acae4: 00803491  add	x0, x0, #0xd20
0xfffffff0093acae8: e140ffd0  adrp	x1, #0xfffffff007bca000
0xfffffff0093acaec: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093acaf0: c30aff90  adrp	x3, #0xfffffff007504000
0xfffffff0093acaf4: 636c2791  add	x3, x3, #0x9db
0xfffffff0093acaf8: 22008052  mov	w2, #1
0xfffffff0093acafc: 8d19be97  bl	#0xfffffff008333130
0xfffffff0093acb00: ff5f0079  strh	wzr, [sp, #0x2e]
0xfffffff0093acb04: e0c30091  add	x0, sp, #0x30
0xfffffff0093acb08: 01808052  mov	w1, #0x400
0xfffffff0093acb0c: 0d80a697  bl	#0xfffffff007d4cb40
0xfffffff0093acb10: 600e47f9  ldr	x0, [x19, #0xe18]
0xfffffff0093acb14: 100040f9  ldr	x16, [x0]
0xfffffff0093acb18: f10300aa  mov	x17, x0
0xfffffff0093acb1c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093acb20: 301ac1da  autda	x16, x17
0xfffffff0093acb24: f10310aa  mov	x17, x16
0xfffffff0093acb28: f147c1da  xpacd	x17
0xfffffff0093acb2c: 1f0211eb  cmp	x16, x17
0xfffffff0093acb30: 40000054  b.eq	#0xfffffff0093acb38
0xfffffff0093acb34: 408e38d4  brk	#0xc472
0xfffffff0093acb38: 08020b91  add	x8, x16, #0x2c0
0xfffffff0093acb3c: 096241f9  ldr	x9, [x16, #0x2c0]
0xfffffff0093acb40: e10313aa  mov	x1, x19
0xfffffff0093acb44: 02008052  mov	w2, #0
0xfffffff0093acb48: 030080d2  mov	x3, #0
0xfffffff0093acb4c: f10308aa  mov	x17, x8
0xfffffff0093acb50: 31a5e8f2  movk	x17, #0x4529, lsl #48
0xfffffff0093acb54: 31093fd7  blraa	x9, x17
0xfffffff0093acb58: c0200036  tbz	w0, #0, #0xfffffff0093acf70
0xfffffff0093acb5c: 600e47f9  ldr	x0, [x19, #0xe18]
