; Candidate 11888
; ADRP+ADD at VM 0xfffffff008fd0620 (fileoff 0x1fcc620): page=0x1fe455000 add_imm=0xdd7

0xfffffff008fd05a0: f50301aa  mov	x21, x1
0xfffffff008fd05a4: f60300aa  mov	x22, x0
0xfffffff008fd05a8: b627ff97  bl	#0xfffffff008f9a480
0xfffffff008fd05ac: 08cdff97  bl	#0xfffffff008fc39cc
0xfffffff008fd05b0: ffccff97  bl	#0xfffffff008fc39ac
0xfffffff008fd05b4: e803002a  mov	w8, w0
0xfffffff008fd05b8: c9888252  mov	w9, #0x1446
0xfffffff008fd05bc: aa22ffb0  adrp	x10, #0xfffffff007425000
0xfffffff008fd05c0: 4ad93891  add	x10, x10, #0xe36
0xfffffff008fd05c4: ea2703a9  stp	x10, x9, [sp, #0x30]
0xfffffff008fd05c8: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff008fd05cc: c822ffd0  adrp	x8, #0xfffffff00742a000
0xfffffff008fd05d0: 08150591  add	x8, x8, #0x145
0xfffffff008fd05d4: f75301a9  stp	x23, x20, [sp, #0x10]
0xfffffff008fd05d8: c022ffd0  adrp	x0, #0xfffffff00742a000
0xfffffff008fd05dc: 00ec0391  add	x0, x0, #0xfb
0xfffffff008fd05e0: e82700a9  stp	x8, x9, [sp]
0xfffffff008fd05e4: ca0fd397  bl	#0xfffffff00849450c
0xfffffff008fd05e8: 7f2303d5  pacibsp	
0xfffffff008fd05ec: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fd05f0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fd05f4: fdc30091  add	x29, sp, #0x30
0xfffffff008fd05f8: 088b8252  mov	w8, #0x1458
0xfffffff008fd05fc: a922ffb0  adrp	x9, #0xfffffff007425000
0xfffffff008fd0600: 29d93891  add	x9, x9, #0xe36
0xfffffff008fd0604: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fd0608: aa22ffd0  adrp	x10, #0xfffffff007426000
0xfffffff008fd060c: 4aa50891  add	x10, x10, #0x229
0xfffffff008fd0610: cb22ffd0  adrp	x11, #0xfffffff00742a000
0xfffffff008fd0614: 6b210691  add	x11, x11, #0x188
0xfffffff008fd0618: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008fd061c: eb0300f9  str	x11, [sp]
0xfffffff008fd0620: a022ffb0  adrp	x0, #0xfffffff007425000
0xfffffff008fd0624: 005c3791  add	x0, x0, #0xdd7
0xfffffff008fd0628: b90fd397  bl	#0xfffffff00849450c
0xfffffff008fd062c: 7f2303d5  pacibsp	
0xfffffff008fd0630: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fd0634: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fd0638: fdc30091  add	x29, sp, #0x30
0xfffffff008fd063c: c8958252  mov	w8, #0x14ae
0xfffffff008fd0640: a922ffb0  adrp	x9, #0xfffffff007425000
0xfffffff008fd0644: 29d93891  add	x9, x9, #0xe36
0xfffffff008fd0648: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fd064c: aa22ffd0  adrp	x10, #0xfffffff007426000
0xfffffff008fd0650: 4aa50891  add	x10, x10, #0x229
0xfffffff008fd0654: cb22ffd0  adrp	x11, #0xfffffff00742a000
0xfffffff008fd0658: 6bf10f91  add	x11, x11, #0x3fc
0xfffffff008fd065c: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008fd0660: eb0300f9  str	x11, [sp]
0xfffffff008fd0664: a022ffb0  adrp	x0, #0xfffffff007425000
0xfffffff008fd0668: 005c3791  add	x0, x0, #0xdd7
0xfffffff008fd066c: a80fd397  bl	#0xfffffff00849450c
0xfffffff008fd0670: 7f2303d5  pacibsp	
0xfffffff008fd0674: ff0301d1  sub	sp, sp, #0x40
0xfffffff008fd0678: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008fd067c: fdc30091  add	x29, sp, #0x30
0xfffffff008fd0680: a8968252  mov	w8, #0x14b5
0xfffffff008fd0684: a922ffb0  adrp	x9, #0xfffffff007425000
0xfffffff008fd0688: 29d93891  add	x9, x9, #0xe36
0xfffffff008fd068c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008fd0690: aa22ffd0  adrp	x10, #0xfffffff007426000
0xfffffff008fd0694: 4aa50891  add	x10, x10, #0x229
0xfffffff008fd0698: cb22ffd0  adrp	x11, #0xfffffff00742a000
0xfffffff008fd069c: 6bc51091  add	x11, x11, #0x431
