; Candidate 9694
; ADRP+ADD at VM 0xfffffff008ac6ed8 (fileoff 0x1ac2ed8): page=0x181a000 add_imm=0xea0

0xfffffff008ac6e58: b14af4f2  movk	x17, #0xa255, lsl #48
0xfffffff008ac6e5c: 11093fd7  blraa	x8, x17
0xfffffff008ac6e60: 804a40f9  ldr	x0, [x20, #0x90]
0xfffffff008ac6e64: 400100b4  cbz	x0, #0xfffffff008ac6e8c
0xfffffff008ac6e68: 100040f9  ldr	x16, [x0]
0xfffffff008ac6e6c: f10300aa  mov	x17, x0
0xfffffff008ac6e70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ac6e74: 301ac1da  autda	x16, x17
0xfffffff008ac6e78: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008ac6e7c: e90310aa  mov	x9, x16
0xfffffff008ac6e80: f10309aa  mov	x17, x9
0xfffffff008ac6e84: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008ac6e88: 11093fd7  blraa	x8, x17
0xfffffff008ac6e8c: 9f4a00f9  str	xzr, [x20, #0x90]
0xfffffff008ac6e90: 687dffd0  adrp	x8, #0xfffffff007a74000
0xfffffff008ac6e94: 088543f9  ldr	x8, [x8, #0x708]
0xfffffff008ac6e98: 02210b91  add	x2, x8, #0x2c8
0xfffffff008ac6e9c: 106541f9  ldr	x16, [x8, #0x2c8]
0xfffffff008ac6ea0: e00314aa  mov	x0, x20
0xfffffff008ac6ea4: e10313aa  mov	x1, x19
0xfffffff008ac6ea8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008ac6eac: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008ac6eb0: ff2303d5  autibsp	
0xfffffff008ac6eb4: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008ac6eb8: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008ac6ec0
0xfffffff008ac6ebc: 208e38d4  brk	#0xc471
0xfffffff008ac6ec0: f10302aa  mov	x17, x2
0xfffffff008ac6ec4: b110f6f2  movk	x17, #0xb085, lsl #48
0xfffffff008ac6ec8: 110a1fd7  braa	x16, x17
0xfffffff008ac6ecc: 5f2403d5  bti	c
0xfffffff008ac6ed0: 48008052  mov	w8, #2
0xfffffff008ac6ed4: 280000b9  str	w8, [x1]
0xfffffff008ac6ed8: c0c000d0  adrp	x0, #0xfffffff00a2e0000
0xfffffff008ac6edc: 00803a91  add	x0, x0, #0xea0
0xfffffff008ac6ee0: c0035fd6  ret	
0xfffffff008ac6ee4: 7f2303d5  pacibsp	
0xfffffff008ac6ee8: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008ac6eec: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008ac6ef0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008ac6ef4: fd830091  add	x29, sp, #0x20
0xfffffff008ac6ef8: f30303aa  mov	x19, x3
0xfffffff008ac6efc: f40302aa  mov	x20, x2
0xfffffff008ac6f00: f50301aa  mov	x21, x1
0xfffffff008ac6f04: 164840f9  ldr	x22, [x0, #0x90]
0xfffffff008ac6f08: 100040f9  ldr	x16, [x0]
0xfffffff008ac6f0c: f10300aa  mov	x17, x0
0xfffffff008ac6f10: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ac6f14: 301ac1da  autda	x16, x17
0xfffffff008ac6f18: 11af80d2  mov	x17, #0x578
0xfffffff008ac6f1c: 1002118b  add	x16, x16, x17
0xfffffff008ac6f20: 080240f9  ldr	x8, [x16]
0xfffffff008ac6f24: e90310aa  mov	x9, x16
0xfffffff008ac6f28: f00308aa  mov	x16, x8
0xfffffff008ac6f2c: f10309aa  mov	x17, x9
0xfffffff008ac6f30: 9156f1f2  movk	x17, #0x8ab4, lsl #48
0xfffffff008ac6f34: 3012c1da  autia	x16, x17
0xfffffff008ac6f38: f10310aa  mov	x17, x16
0xfffffff008ac6f3c: f143c1da  xpaci	x17
0xfffffff008ac6f40: 1f0211eb  cmp	x16, x17
0xfffffff008ac6f44: 40000054  b.eq	#0xfffffff008ac6f4c
0xfffffff008ac6f48: 008e38d4  brk	#0xc470
0xfffffff008ac6f4c: 31a897d2  mov	x17, #0xbd41
0xfffffff008ac6f50: 3002c1da  pacia	x16, x17
0xfffffff008ac6f54: e10310aa  mov	x1, x16
