; Candidate 10693
; ADRP+ADD at VM 0xfffffff008de3544 (fileoff 0x1ddf544): page=0x1fe5e1000 add_imm=0xe15

0xfffffff008de34c4: ea2700a9  stp	x10, x9, [sp]
0xfffffff008de34c8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de34cc: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de34d0: 00503591  add	x0, x0, #0xd54
0xfffffff008de34d4: d3ced597  bl	#0xfffffff008357020
0xfffffff008de34d8: e00313aa  mov	x0, x19
0xfffffff008de34dc: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008de34e0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008de34e4: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008de34e8: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008de34ec: ffc30191  add	sp, sp, #0x70
0xfffffff008de34f0: ff0f5fd6  retab	
0xfffffff008de34f4: 68b18052  mov	w8, #0x58b
0xfffffff008de34f8: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de34fc: 29490d91  add	x9, x9, #0x352
0xfffffff008de3500: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de3504: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3508: 08493991  add	x8, x8, #0xe52
0xfffffff008de350c: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de3510: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de3514: 19000014  b	#0xfffffff008de3578
0xfffffff008de3518: 687e4093  sxtw	x8, w19
0xfffffff008de351c: e9b18052  mov	w9, #0x58f
0xfffffff008de3520: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de3524: 4a490d91  add	x10, x10, #0x352
0xfffffff008de3528: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de352c: 092fffb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de3530: 29493991  add	x9, x9, #0xe52
0xfffffff008de3534: 0b2fffb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de3538: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de353c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de3540: eb0300f9  str	x11, [sp]
0xfffffff008de3544: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de3548: 00543891  add	x0, x0, #0xe15
0xfffffff008de354c: b5ced597  bl	#0xfffffff008357020
0xfffffff008de3550: c8088052  mov	w8, #0x46
0xfffffff008de3554: d3ffff17  b	#0xfffffff008de34a0
0xfffffff008de3558: 88b18052  mov	w8, #0x58c
0xfffffff008de355c: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de3560: 29490d91  add	x9, x9, #0x352
0xfffffff008de3564: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de3568: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de356c: 08493991  add	x8, x8, #0xe52
0xfffffff008de3570: ea2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de3574: 4ac90791  add	x10, x10, #0x1f2
0xfffffff008de3578: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de357c: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de3580: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de3584: 00543891  add	x0, x0, #0xe15
0xfffffff008de3588: a6ced597  bl	#0xfffffff008357020
0xfffffff008de358c: c8088052  mov	w8, #0x46
0xfffffff008de3590: 53008012  mov	w19, #-3
0xfffffff008de3594: c3ffff17  b	#0xfffffff008de34a0
0xfffffff008de3598: 7f2303d5  pacibsp	
0xfffffff008de359c: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff008de35a0: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008de35a4: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008de35a8: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008de35ac: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008de35b0: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008de35b4: fd430191  add	x29, sp, #0x50
0xfffffff008de35b8: 092e8252  mov	w9, #0x1170
0xfffffff008de35bc: 7068ffb0  adrp	x16, #0xfffffff007af0000
0xfffffff008de35c0: 108646f9  ldr	x16, [x16, #0xd08]
