; Candidate 14563
; ADRP+ADD at VM 0xfffffff00980e9d4 (fileoff 0x280a9d4): page=0x1fdda7000 add_imm=0xd74

0xfffffff00980e954: 11093fd7  blraa	x8, x17
0xfffffff00980e958: 14008052  mov	w20, #0
0xfffffff00980e95c: e00200f9  str	x0, [x23]
0xfffffff00980e960: c87240b9  ldr	w8, [x22, #0x70]
0xfffffff00980e964: 0809d59a  udiv	x8, x8, x21
0xfffffff00980e968: 680200b9  str	w8, [x19]
0xfffffff00980e96c: 1d000014  b	#0xfffffff00980e9e0
0xfffffff00980e970: 14008052  mov	w20, #0
0xfffffff00980e974: c82e40f9  ldr	x8, [x22, #0x58]
0xfffffff00980e978: e80200f9  str	x8, [x23]
0xfffffff00980e97c: c86240b9  ldr	w8, [x22, #0x60]
0xfffffff00980e980: 0809d59a  udiv	x8, x8, x21
0xfffffff00980e984: 680200b9  str	w8, [x19]
0xfffffff00980e988: 1f0300f9  str	xzr, [x24]
0xfffffff00980e98c: 15000014  b	#0xfffffff00980e9e0
0xfffffff00980e990: 43fd9a97  bl	#0xfffffff007ecde9c
0xfffffff00980e994: 887640f9  ldr	x8, [x20, #0xe8]
0xfffffff00980e998: 14598052  mov	w20, #0x2c8
0xfffffff00980e99c: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00980e9a0: 29edfef0  adrp	x9, #0xfffffff0075b5000
0xfffffff00980e9a4: 29613691  add	x9, x9, #0xd98
0xfffffff00980e9a8: 4aedfe90  adrp	x10, #0xfffffff0075b6000
0xfffffff00980e9ac: 4a710b91  add	x10, x10, #0x2dc
0xfffffff00980e9b0: e0000034  cbz	w0, #0xfffffff00980e9cc
0xfffffff00980e9b4: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff00980e9b8: e80300f9  str	x8, [sp]
0xfffffff00980e9bc: 20edfef0  adrp	x0, #0xfffffff0075b5000
0xfffffff00980e9c0: 00d03591  add	x0, x0, #0xd74
0xfffffff00980e9c4: 9721ad97  bl	#0xfffffff008357020
0xfffffff00980e9c8: 06000014  b	#0xfffffff00980e9e0
0xfffffff00980e9cc: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff00980e9d0: e80300f9  str	x8, [sp]
0xfffffff00980e9d4: 20edfef0  adrp	x0, #0xfffffff0075b5000
0xfffffff00980e9d8: 00d03591  add	x0, x0, #0xd74
0xfffffff00980e9dc: dd82b197  bl	#0xfffffff00846f550
0xfffffff00980e9e0: e00314aa  mov	x0, x20
0xfffffff00980e9e4: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00980e9e8: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00980e9ec: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00980e9f0: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00980e9f4: ff830191  add	sp, sp, #0x60
0xfffffff00980e9f8: ff0f5fd6  retab	
0xfffffff00980e9fc: 887640f9  ldr	x8, [x20, #0xe8]
0xfffffff00980ea00: 09108052  mov	w9, #0x80
0xfffffff00980ea04: 09000014  b	#0xfffffff00980ea28
0xfffffff00980ea08: 887640f9  ldr	x8, [x20, #0xe8]
0xfffffff00980ea0c: 29108052  mov	w9, #0x81
0xfffffff00980ea10: 06000014  b	#0xfffffff00980ea28
0xfffffff00980ea14: 887640f9  ldr	x8, [x20, #0xe8]
0xfffffff00980ea18: 49108052  mov	w9, #0x82
0xfffffff00980ea1c: 03000014  b	#0xfffffff00980ea28
0xfffffff00980ea20: 887640f9  ldr	x8, [x20, #0xe8]
0xfffffff00980ea24: 69108052  mov	w9, #0x83
0xfffffff00980ea28: 4aedfeb0  adrp	x10, #0xfffffff0075b7000
0xfffffff00980ea2c: 4a091591  add	x10, x10, #0x542
0xfffffff00980ea30: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff00980ea34: e80300f9  str	x8, [sp]
0xfffffff00980ea38: 20edfef0  adrp	x0, #0xfffffff0075b5000
0xfffffff00980ea3c: 00bc2291  add	x0, x0, #0x8af
0xfffffff00980ea40: b316b297  bl	#0xfffffff00849450c
0xfffffff00980ea44: 7f2303d5  pacibsp	
0xfffffff00980ea48: ff4302d1  sub	sp, sp, #0x90
0xfffffff00980ea4c: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff00980ea50: f85f05a9  stp	x24, x23, [sp, #0x50]
