; Candidate 8844
; ADRP+ADD at VM 0xfffffff0088db974 (fileoff 0x18d7974): page=0x1fe98f000 add_imm=0xd05

0xfffffff0088db8f4: f40300aa  mov	x20, x0
0xfffffff0088db8f8: 700240f9  ldr	x16, [x19]
0xfffffff0088db8fc: f10313aa  mov	x17, x19
0xfffffff0088db900: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088db904: 301ac1da  autda	x16, x17
0xfffffff0088db908: 113d80d2  mov	x17, #0x1e8
0xfffffff0088db90c: 1002118b  add	x16, x16, x17
0xfffffff0088db910: 080240f9  ldr	x8, [x16]
0xfffffff0088db914: e90310aa  mov	x9, x16
0xfffffff0088db918: e00313aa  mov	x0, x19
0xfffffff0088db91c: 010080d2  mov	x1, #0
0xfffffff0088db920: f10309aa  mov	x17, x9
0xfffffff0088db924: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088db928: 11093fd7  blraa	x8, x17
0xfffffff0088db92c: f50300aa  mov	x21, x0
0xfffffff0088db930: 700240f9  ldr	x16, [x19]
0xfffffff0088db934: f10313aa  mov	x17, x19
0xfffffff0088db938: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088db93c: 301ac1da  autda	x16, x17
0xfffffff0088db940: 118e80d2  mov	x17, #0x470
0xfffffff0088db944: 1002118b  add	x16, x16, x17
0xfffffff0088db948: 080240f9  ldr	x8, [x16]
0xfffffff0088db94c: e90310aa  mov	x9, x16
0xfffffff0088db950: e00313aa  mov	x0, x19
0xfffffff0088db954: e10314aa  mov	x1, x20
0xfffffff0088db958: f10309aa  mov	x17, x9
0xfffffff0088db95c: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff0088db960: 11093fd7  blraa	x8, x17
0xfffffff0088db964: 884cff90  adrp	x8, #0xfffffff00726b000
0xfffffff0088db968: 08351591  add	x8, x8, #0x54d
0xfffffff0088db96c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088db970: f50300f9  str	x21, [sp]
0xfffffff0088db974: 604cfff0  adrp	x0, #0xfffffff00726a000
0xfffffff0088db978: 00143491  add	x0, x0, #0xd05
0xfffffff0088db97c: a9ede997  bl	#0xfffffff008357020
0xfffffff0088db980: e2630091  add	x2, sp, #0x18
0xfffffff0088db984: e00313aa  mov	x0, x19
0xfffffff0088db988: 81138052  mov	w1, #0x9c
0xfffffff0088db98c: 23008052  mov	w3, #1
0xfffffff0088db990: 85f3ff97  bl	#0xfffffff0088d87a4
0xfffffff0088db994: a0070035  cbnz	w0, #0xfffffff0088dba88
0xfffffff0088db998: f40f40f9  ldr	x20, [sp, #0x18]
0xfffffff0088db99c: 700240f9  ldr	x16, [x19]
0xfffffff0088db9a0: f10313aa  mov	x17, x19
0xfffffff0088db9a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088db9a8: 301ac1da  autda	x16, x17
0xfffffff0088db9ac: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff0088db9b0: e90310aa  mov	x9, x16
0xfffffff0088db9b4: 614cfff0  adrp	x1, #0xfffffff00726a000
0xfffffff0088db9b8: 21683591  add	x1, x1, #0xd5a
0xfffffff0088db9bc: e00313aa  mov	x0, x19
0xfffffff0088db9c0: e20314aa  mov	x2, x20
0xfffffff0088db9c4: f10309aa  mov	x17, x9
0xfffffff0088db9c8: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff0088db9cc: 11093fd7  blraa	x8, x17
0xfffffff0088db9d0: 900240f9  ldr	x16, [x20]
0xfffffff0088db9d4: f10314aa  mov	x17, x20
0xfffffff0088db9d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088db9dc: 301ac1da  autda	x16, x17
0xfffffff0088db9e0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0088db9e4: e90310aa  mov	x9, x16
0xfffffff0088db9e8: e00314aa  mov	x0, x20
0xfffffff0088db9ec: f10309aa  mov	x17, x9
0xfffffff0088db9f0: f150e7f2  movk	x17, #0x3a87, lsl #48
