; Candidate 1220
; ADRP+ADD at VM 0xfffffff0082a68e0 (fileoff 0x12a28e0): page=0x1fedec000 add_imm=0xd16

0xfffffff0082a6860: 1f0100f1  cmp	x8, #0
0xfffffff0082a6864: 81250054  b.ne	#0xfffffff0082a6d14
0xfffffff0082a6868: 4ae31691  add	x10, x26, #0x5b8
0xfffffff0082a686c: 48df42f9  ldr	x8, [x26, #0x5b8]
0xfffffff0082a6870: 480100b4  cbz	x8, #0xfffffff0082a6898
0xfffffff0082a6874: e93f40f9  ldr	x9, [sp, #0x78]
0xfffffff0082a6878: 280100f9  str	x8, [x9]
0xfffffff0082a687c: e83f40f9  ldr	x8, [sp, #0x78]
0xfffffff0082a6880: 49df42f9  ldr	x9, [x26, #0x5b8]
0xfffffff0082a6884: 28ed00f9  str	x8, [x9, #0x1d8]
0xfffffff0082a6888: 48e342f9  ldr	x8, [x26, #0x5c0]
0xfffffff0082a688c: e83f00f9  str	x8, [sp, #0x78]
0xfffffff0082a6890: 5fdf02f9  str	xzr, [x26, #0x5b8]
0xfffffff0082a6894: 4ae302f9  str	x10, [x26, #0x5c0]
0xfffffff0082a6898: ea1700f9  str	x10, [sp, #0x28]
0xfffffff0082a689c: 56cb45b9  ldr	w22, [x26, #0x5c8]
0xfffffff0082a68a0: 5fcb05b9  str	wzr, [x26, #0x5c8]
0xfffffff0082a68a4: a81a44b9  ldr	w8, [x21, #0x418]
0xfffffff0082a68a8: 49c31691  add	x9, x26, #0x5b0
0xfffffff0082a68ac: e20308aa  mov	x2, x8
0xfffffff0082a68b0: 3ffda288  casl	w2, wzr, [x9]
0xfffffff0082a68b4: 5f00086b  cmp	w2, w8
0xfffffff0082a68b8: 81230054  b.ne	#0xfffffff0082a6d28
0xfffffff0082a68bc: f31b00f9  str	x19, [sp, #0x30]
0xfffffff0082a68c0: f93b40f9  ldr	x25, [sp, #0x70]
0xfffffff0082a68c4: 191700b5  cbnz	x25, #0xfffffff0082a6ba4
0xfffffff0082a68c8: 1a008052  mov	w26, #0
0xfffffff0082a68cc: 17008052  mov	w23, #0
0xfffffff0082a68d0: 5f03166b  cmp	w26, w22
0xfffffff0082a68d4: 61000054  b.ne	#0xfffffff0082a68e0
0xfffffff0082a68d8: d302176b  subs	w19, w22, w23
0xfffffff0082a68dc: 22300054  b.hs	#0xfffffff0082a6ee0
0xfffffff0082a68e0: 606fff90  adrp	x0, #0xfffffff007092000
0xfffffff0082a68e4: 00583491  add	x0, x0, #0xd16
0xfffffff0082a68e8: 616fff90  adrp	x1, #0xfffffff007092000
0xfffffff0082a68ec: 21902d91  add	x1, x1, #0xb64
0xfffffff0082a68f0: 62528252  mov	w2, #0x1293
0xfffffff0082a68f4: c8e30794  bl	#0xfffffff00849f814
0xfffffff0082a68f8: 170080d2  mov	x23, #0
0xfffffff0082a68fc: e8c30191  add	x8, sp, #0x70
0xfffffff0082a6900: 18610091  add	x24, x8, #0x18
0xfffffff0082a6904: b9b6fff0  adrp	x25, #0xfffffff00797d000
0xfffffff0082a6908: 39c30791  add	x25, x25, #0x1f0
0xfffffff0082a690c: f4a30191  add	x20, sp, #0x68
0xfffffff0082a6910: 0b000014  b	#0xfffffff0082a693c
0xfffffff0082a6914: a81a44b9  ldr	w8, [x21, #0x418]
0xfffffff0082a6918: 49230091  add	x9, x26, #8
0xfffffff0082a691c: e20308aa  mov	x2, x8
0xfffffff0082a6920: 3ffda288  casl	w2, wzr, [x9]
0xfffffff0082a6924: 5f00086b  cmp	w2, w8
0xfffffff0082a6928: 41120054  b.ne	#0xfffffff0082a6b70
0xfffffff0082a692c: f7060011  add	w23, w23, #1
0xfffffff0082a6930: 684a40f9  ldr	x8, [x19, #0x90]
0xfffffff0082a6934: 1f0117eb  cmp	x8, x23
0xfffffff0082a6938: 09200054  b.ls	#0xfffffff0082a6d38
0xfffffff0082a693c: 684640f9  ldr	x8, [x19, #0x88]
0xfffffff0082a6940: 694e40f9  ldr	x9, [x19, #0x98]
0xfffffff0082a6944: 3a21179b  madd	x26, x9, x23, x8
0xfffffff0082a6948: a81a44b9  ldr	w8, [x21, #0x418]
0xfffffff0082a694c: f60f0034  cbz	w22, #0xfffffff0082a6b48
0xfffffff0082a6950: 09008052  mov	w9, #0
0xfffffff0082a6954: 4a230091  add	x10, x26, #8
0xfffffff0082a6958: 487de988  casa	w9, w8, [x10]
0xfffffff0082a695c: 3f010071  cmp	w9, #0
