; Candidate 4807
; ADRP+ADD at VM 0xfffffff0087c7288 (fileoff 0x17c3288): page=0x1fea22000 add_imm=0xe80

0xfffffff0087c7208: fb0300aa  mov	x27, x0
0xfffffff0087c720c: e8b30394  bl	#0xfffffff0088b41ac
0xfffffff0087c7210: fa0300aa  mov	x26, x0
0xfffffff0087c7214: e0008052  mov	w0, #7
0xfffffff0087c7218: 8ed10294  bl	#0xfffffff00887b850
0xfffffff0087c721c: db010034  cbz	w27, #0xfffffff0087c7254
0xfffffff0087c7220: a8324fb9  ldr	w8, [x21, #0xf30]
0xfffffff0087c7224: 08011c4b  sub	w8, w8, w28
0xfffffff0087c7228: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0087c722c: 2a1f40b9  ldr	w10, [x25, #0x1c]
0xfffffff0087c7230: 2b1340b9  ldr	w11, [x25, #0x10]
0xfffffff0087c7234: ea2f03a9  stp	x10, x11, [sp, #0x30]
0xfffffff0087c7238: f62302a9  stp	x22, x8, [sp, #0x20]
0xfffffff0087c723c: e02701a9  stp	x0, x9, [sp, #0x10]
0xfffffff0087c7240: fa5f00a9  stp	x26, x23, [sp]
0xfffffff0087c7244: 2052fff0  adrp	x0, #0xfffffff00720e000
0xfffffff0087c7248: 006c0291  add	x0, x0, #0x9b
0xfffffff0087c724c: 85c0d797  bl	#0xfffffff007db7460
0xfffffff0087c7250: 16000014  b	#0xfffffff0087c72a8
0xfffffff0087c7254: d6b30394  bl	#0xfffffff0088b41ac
0xfffffff0087c7258: fa0300aa  mov	x26, x0
0xfffffff0087c725c: e0008052  mov	w0, #7
0xfffffff0087c7260: 7cd10294  bl	#0xfffffff00887b850
0xfffffff0087c7264: a8324fb9  ldr	w8, [x21, #0xf30]
0xfffffff0087c7268: 08011c4b  sub	w8, w8, w28
0xfffffff0087c726c: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0087c7270: 2a1f40b9  ldr	w10, [x25, #0x1c]
0xfffffff0087c7274: 2b1340b9  ldr	w11, [x25, #0x10]
0xfffffff0087c7278: ea2f03a9  stp	x10, x11, [sp, #0x30]
0xfffffff0087c727c: f62302a9  stp	x22, x8, [sp, #0x20]
0xfffffff0087c7280: e02701a9  stp	x0, x9, [sp, #0x10]
0xfffffff0087c7284: fa5f00a9  stp	x26, x23, [sp]
0xfffffff0087c7288: 0051ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c728c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c7290: 0192ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087c7294: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c7298: 02008052  mov	w2, #0
0xfffffff0087c729c: 8353ff90  adrp	x3, #0xfffffff007237000
0xfffffff0087c72a0: 63482591  add	x3, x3, #0x952
0xfffffff0087c72a4: a3afed97  bl	#0xfffffff008333130
0xfffffff0087c72a8: 382300b9  str	w24, [x25, #0x20]
0xfffffff0087c72ac: d6060091  add	x22, x22, #1
0xfffffff0087c72b0: a8424cb9  ldr	w8, [x21, #0xc40]
0xfffffff0087c72b4: a9464cb9  ldr	w9, [x21, #0xc44]
0xfffffff0087c72b8: 2801080b  add	w8, w9, w8
0xfffffff0087c72bc: df0208eb  cmp	x22, x8
0xfffffff0087c72c0: e3f7ff54  b.lo	#0xfffffff0087c71bc
0xfffffff0087c72c4: 686e4bb9  ldr	w8, [x19, #0xb6c]
0xfffffff0087c72c8: 14008052  mov	w20, #0
0xfffffff0087c72cc: 681e088b  add	x8, x19, x8, lsl #7
0xfffffff0087c72d0: 1aa10b91  add	x26, x8, #0x2e8
0xfffffff0087c72d4: b70f8052  mov	w23, #0x7d
0xfffffff0087c72d8: 1551ffd0  adrp	x21, #0xfffffff0071e9000
0xfffffff0087c72dc: b5023a91  add	x21, x21, #0xe80
0xfffffff0087c72e0: 1692ffb0  adrp	x22, #0xfffffff007a08000
0xfffffff0087c72e4: d62e42f9  ldr	x22, [x22, #0x458]
0xfffffff0087c72e8: 3852fff0  adrp	x24, #0xfffffff00720e000
0xfffffff0087c72ec: 18430591  add	x24, x24, #0x150
0xfffffff0087c72f0: 9953ff90  adrp	x25, #0xfffffff007237000
0xfffffff0087c72f4: 39d72791  add	x25, x25, #0x9f5
0xfffffff0087c72f8: 3a1000b4  cbz	x26, #0xfffffff0087c74fc
0xfffffff0087c72fc: 5b2340b9  ldr	w27, [x26, #0x20]
0xfffffff0087c7300: a00f8052  mov	w0, #0x7d
0xfffffff0087c7304: e1008052  mov	w1, #7
