; Candidate 6735
; ADRP+ADD at VM 0xfffffff00883db68 (fileoff 0x1839b68): page=0x1fe9ac000 add_imm=0xe80

0xfffffff00883dae8: 28318052  mov	w8, #0x189
0xfffffff00883daec: 294fffd0  adrp	x9, #0xfffffff007223000
0xfffffff00883daf0: 29813f91  add	x9, x9, #0xfe0
0xfffffff00883daf4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00883daf8: 284fffd0  adrp	x8, #0xfffffff007223000
0xfffffff00883dafc: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883db00: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00883db04: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00883db08: 680a8052  mov	w8, #0x53
0xfffffff00883db0c: 204ffff0  adrp	x0, #0xfffffff007224000
0xfffffff00883db10: 00580391  add	x0, x0, #0xd6
0xfffffff00883db14: f72300a9  stp	x23, x8, [sp]
0xfffffff00883db18: 52e6d597  bl	#0xfffffff007db7460
0xfffffff00883db1c: 38000014  b	#0xfffffff00883dbfc
0xfffffff00883db20: a3d90194  bl	#0xfffffff0088b41ac
0xfffffff00883db24: f60300aa  mov	x22, x0
0xfffffff00883db28: 80008052  mov	w0, #4
0xfffffff00883db2c: 49f70094  bl	#0xfffffff00887b850
0xfffffff00883db30: e80315aa  mov	x8, x21
0xfffffff00883db34: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff00883db38: 284ffff0  adrp	x8, #0xfffffff007224000
0xfffffff00883db3c: 088d0091  add	x8, x8, #0x23
0xfffffff00883db40: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00883db44: 082e8052  mov	w8, #0x170
0xfffffff00883db48: 294fffd0  adrp	x9, #0xfffffff007223000
0xfffffff00883db4c: 29813f91  add	x9, x9, #0xfe0
0xfffffff00883db50: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00883db54: 284fffd0  adrp	x8, #0xfffffff007223000
0xfffffff00883db58: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883db5c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883db60: 680a8052  mov	w8, #0x53
0xfffffff00883db64: f62300a9  stp	x22, x8, [sp]
0xfffffff00883db68: 604dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00883db6c: 00003a91  add	x0, x0, #0xe80
0xfffffff00883db70: 418efff0  adrp	x1, #0xfffffff007a08000
0xfffffff00883db74: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883db78: 8350ffd0  adrp	x3, #0xfffffff00724f000
0xfffffff00883db7c: 63f01291  add	x3, x3, #0x4bc
0xfffffff00883db80: 02008052  mov	w2, #0
0xfffffff00883db84: 6bd5eb97  bl	#0xfffffff008333130
0xfffffff00883db88: 167d8012  mov	w22, #-0x3e9
0xfffffff00883db8c: 79000014  b	#0xfffffff00883dd70
0xfffffff00883db90: 87d90194  bl	#0xfffffff0088b41ac
0xfffffff00883db94: f60300aa  mov	x22, x0
0xfffffff00883db98: 80008052  mov	w0, #4
0xfffffff00883db9c: 2df70094  bl	#0xfffffff00887b850
0xfffffff00883dba0: e80315aa  mov	x8, x21
0xfffffff00883dba4: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff00883dba8: 284ffff0  adrp	x8, #0xfffffff007224000
0xfffffff00883dbac: 08090191  add	x8, x8, #0x42
0xfffffff00883dbb0: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00883dbb4: 882e8052  mov	w8, #0x174
0xfffffff00883dbb8: 294fffd0  adrp	x9, #0xfffffff007223000
0xfffffff00883dbbc: 29813f91  add	x9, x9, #0xfe0
0xfffffff00883dbc0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00883dbc4: 284fffd0  adrp	x8, #0xfffffff007223000
0xfffffff00883dbc8: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883dbcc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883dbd0: 680a8052  mov	w8, #0x53
0xfffffff00883dbd4: f62300a9  stp	x22, x8, [sp]
0xfffffff00883dbd8: 604dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00883dbdc: 00003a91  add	x0, x0, #0xe80
0xfffffff00883dbe0: 418efff0  adrp	x1, #0xfffffff007a08000
0xfffffff00883dbe4: 212c42f9  ldr	x1, [x1, #0x458]
