; Candidate 1581
; ADRP+ADD at VM 0xfffffff0084a03dc (fileoff 0x149c3dc): page=0x1fec00000 add_imm=0xd5d

0xfffffff0084a035c: e95fff90  adrp	x9, #0xfffffff00709c000
0xfffffff0084a0360: 29b93891  add	x9, x9, #0xe2e
0xfffffff0084a0364: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0084a0368: e00b00a9  stp	x0, x2, [sp]
0xfffffff0084a036c: e05fff90  adrp	x0, #0xfffffff00709c000
0xfffffff0084a0370: 00383c91  add	x0, x0, #0xf0e
0xfffffff0084a0374: 66d0ff97  bl	#0xfffffff00849450c
0xfffffff0084a0378: 093c8052  mov	w9, #0x1e0
0xfffffff0084a037c: e85fff90  adrp	x8, #0xfffffff00709c000
0xfffffff0084a0380: 08b93891  add	x8, x8, #0xe2e
0xfffffff0084a0384: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0084a0388: e38b00a9  stp	x3, x2, [sp, #8]
0xfffffff0084a038c: e10300f9  str	x1, [sp]
0xfffffff0084a0390: e05fff90  adrp	x0, #0xfffffff00709c000
0xfffffff0084a0394: 00743d91  add	x0, x0, #0xf5d
0xfffffff0084a0398: 5dd0ff97  bl	#0xfffffff00849450c
0xfffffff0084a039c: 293b8052  mov	w9, #0x1d9
0xfffffff0084a03a0: ea5fff90  adrp	x10, #0xfffffff00709c000
0xfffffff0084a03a4: 4ab93891  add	x10, x10, #0xe2e
0xfffffff0084a03a8: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff0084a03ac: e80b00a9  stp	x8, x2, [sp]
0xfffffff0084a03b0: e05fff90  adrp	x0, #0xfffffff00709c000
0xfffffff0084a03b4: 002c3b91  add	x0, x0, #0xecb
0xfffffff0084a03b8: 55d0ff97  bl	#0xfffffff00849450c
0xfffffff0084a03bc: 7f2303d5  pacibsp	
0xfffffff0084a03c0: ff8300d1  sub	sp, sp, #0x20
0xfffffff0084a03c4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0084a03c8: fd430091  add	x29, sp, #0x10
0xfffffff0084a03cc: 0860ff90  adrp	x8, #0xfffffff0070a0000
0xfffffff0084a03d0: 08592f91  add	x8, x8, #0xbd6
0xfffffff0084a03d4: 896e8052  mov	w9, #0x374
0xfffffff0084a03d8: e82700a9  stp	x8, x9, [sp]
0xfffffff0084a03dc: 0060ff90  adrp	x0, #0xfffffff0070a0000
0xfffffff0084a03e0: 00743591  add	x0, x0, #0xd5d
0xfffffff0084a03e4: 4ad0ff97  bl	#0xfffffff00849450c
0xfffffff0084a03e8: 7f2303d5  pacibsp	
0xfffffff0084a03ec: ff0301d1  sub	sp, sp, #0x40
0xfffffff0084a03f0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0084a03f4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0084a03f8: fdc30091  add	x29, sp, #0x30
0xfffffff0084a03fc: ff7f01a9  stp	xzr, xzr, [sp, #0x10]
0xfffffff0084a0400: 4160ffb0  adrp	x1, #0xfffffff0070a9000
0xfffffff0084a0404: 21d42b91  add	x1, x1, #0xaf5
0xfffffff0084a0408: e2630091  add	x2, sp, #0x18
0xfffffff0084a040c: 000080d2  mov	x0, #0
0xfffffff0084a0410: ac30ff97  bl	#0xfffffff00846c6c0
0xfffffff0084a0414: e80300aa  mov	x8, x0
0xfffffff0084a0418: 000080d2  mov	x0, #0
0xfffffff0084a041c: 1f050071  cmp	w8, #1
0xfffffff0084a0420: 61030054  b.ne	#0xfffffff0084a048c
0xfffffff0084a0424: e00f40f9  ldr	x0, [sp, #0x18]
0xfffffff0084a0428: 68a6ffd0  adrp	x8, #0xfffffff00796e000
0xfffffff0084a042c: 040546f9  ldr	x4, [x8, #0xc08]
0xfffffff0084a0430: 68a6ffd0  adrp	x8, #0xfffffff00796e000
0xfffffff0084a0434: 080d46f9  ldr	x8, [x8, #0xc18]
0xfffffff0084a0438: 050104cb  sub	x5, x8, x4
0xfffffff0084a043c: 4160ffb0  adrp	x1, #0xfffffff0070a9000
0xfffffff0084a0440: 21e82f91  add	x1, x1, #0xbfa
0xfffffff0084a0444: e2430091  add	x2, sp, #0x10
0xfffffff0084a0448: e3330091  add	x3, sp, #0xc
0xfffffff0084a044c: 6431ff97  bl	#0xfffffff00846c9dc
0xfffffff0084a0450: 1f040071  cmp	w0, #1
0xfffffff0084a0454: a1010054  b.ne	#0xfffffff0084a0488
0xfffffff0084a0458: f30b40f9  ldr	x19, [sp, #0x10]
