; Candidate 5388
; ADRP+ADD at VM 0xfffffff0087ed5b4 (fileoff 0x17e95b4): page=0x1fe9fc000 add_imm=0xe80

0xfffffff0087ed534: b9380294  bl	#0xfffffff00887b818
0xfffffff0087ed538: fa0300aa  mov	x26, x0
0xfffffff0087ed53c: 1c1b0394  bl	#0xfffffff0088b41ac
0xfffffff0087ed540: f90300aa  mov	x25, x0
0xfffffff0087ed544: e0008052  mov	w0, #7
0xfffffff0087ed548: c2380294  bl	#0xfffffff00887b850
0xfffffff0087ed54c: ba010034  cbz	w26, #0xfffffff0087ed580
0xfffffff0087ed550: f76304a9  stp	x23, x24, [sp, #0x40]
0xfffffff0087ed554: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087ed558: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087ed55c: 2851fff0  adrp	x8, #0xfffffff007214000
0xfffffff0087ed560: 08551a91  add	x8, x8, #0x695
0xfffffff0087ed564: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ed568: 080f8052  mov	w8, #0x78
0xfffffff0087ed56c: 2051fff0  adrp	x0, #0xfffffff007214000
0xfffffff0087ed570: 00401d91  add	x0, x0, #0x750
0xfffffff0087ed574: f92300a9  stp	x25, x8, [sp]
0xfffffff0087ed578: ba27d797  bl	#0xfffffff007db7460
0xfffffff0087ed57c: 16000014  b	#0xfffffff0087ed5d4
0xfffffff0087ed580: 0b1b0394  bl	#0xfffffff0088b41ac
0xfffffff0087ed584: f90300aa  mov	x25, x0
0xfffffff0087ed588: e0008052  mov	w0, #7
0xfffffff0087ed58c: b1380294  bl	#0xfffffff00887b850
0xfffffff0087ed590: e80318aa  mov	x8, x24
0xfffffff0087ed594: f72304a9  stp	x23, x8, [sp, #0x40]
0xfffffff0087ed598: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087ed59c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087ed5a0: 2851fff0  adrp	x8, #0xfffffff007214000
0xfffffff0087ed5a4: 08551a91  add	x8, x8, #0x695
0xfffffff0087ed5a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ed5ac: 080f8052  mov	w8, #0x78
0xfffffff0087ed5b0: f92300a9  stp	x25, x8, [sp]
0xfffffff0087ed5b4: e04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ed5b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ed5bc: c190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ed5c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ed5c4: 8352ffb0  adrp	x3, #0xfffffff00723e000
0xfffffff0087ed5c8: 63a03d91  add	x3, x3, #0xf68
0xfffffff0087ed5cc: 02008052  mov	w2, #0
0xfffffff0087ed5d0: d816ed97  bl	#0xfffffff008333130
0xfffffff0087ed5d4: e00318aa  mov	x0, x24
0xfffffff0087ed5d8: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0087ed5dc: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0087ed5e0: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0087ed5e4: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0087ed5e8: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0087ed5ec: ffc30291  add	sp, sp, #0xb0
0xfffffff0087ed5f0: ff0f5fd6  retab	
0xfffffff0087ed5f4: 7f2303d5  pacibsp	
0xfffffff0087ed5f8: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0087ed5fc: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff0087ed600: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff0087ed604: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff0087ed608: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff0087ed60c: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff0087ed610: fd830291  add	x29, sp, #0xa0
0xfffffff0087ed614: f70304aa  mov	x23, x4
0xfffffff0087ed618: f50303aa  mov	x21, x3
0xfffffff0087ed61c: f60302aa  mov	x22, x2
0xfffffff0087ed620: f40301aa  mov	x20, x1
0xfffffff0087ed624: f30300aa  mov	x19, x0
0xfffffff0087ed628: 000f8052  mov	w0, #0x78
0xfffffff0087ed62c: e1008052  mov	w1, #7
0xfffffff0087ed630: 68380294  bl	#0xfffffff00887b7d0
