; Candidate 6188
; ADRP+ADD at VM 0xfffffff008819544 (fileoff 0x1815544): page=0x1fe9d0000 add_imm=0xe80

0xfffffff0088194c4: 1f01096b  cmp	w8, w9
0xfffffff0088194c8: 81080054  b.ne	#0xfffffff0088195d8
0xfffffff0088194cc: 19df35f9  str	x25, [x24, #0x6bb8]
0xfffffff0088194d0: e00313aa  mov	x0, x19
0xfffffff0088194d4: e10318aa  mov	x1, x24
0xfffffff0088194d8: 02008052  mov	w2, #0
0xfffffff0088194dc: 03008012  mov	w3, #-1
0xfffffff0088194e0: b3000094  bl	#0xfffffff0088197ac
0xfffffff0088194e4: 18008052  mov	w24, #0
0xfffffff0088194e8: 1ffdff17  b	#0xfffffff008818964
0xfffffff0088194ec: 306b0294  bl	#0xfffffff0088b41ac
0xfffffff0088194f0: f90300aa  mov	x25, x0
0xfffffff0088194f4: 80008052  mov	w0, #4
0xfffffff0088194f8: d6880194  bl	#0xfffffff00887b850
0xfffffff0088194fc: e80318aa  mov	x8, x24
0xfffffff008819500: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff008819504: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff008819508: e80316aa  mov	x8, x22
0xfffffff00881950c: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff008819510: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff008819514: a84ffff0  adrp	x8, #0xfffffff007210000
0xfffffff008819518: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881951c: 49298152  mov	w9, #0x94a
0xfffffff008819520: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008819524: 2850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff008819528: 08210091  add	x8, x8, #8
0xfffffff00881952c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008819530: 880e8052  mov	w8, #0x74
0xfffffff008819534: 8351ff90  adrp	x3, #0xfffffff007249000
0xfffffff008819538: 633c0691  add	x3, x3, #0x18f
0xfffffff00881953c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008819540: f90300f9  str	x25, [sp]
0xfffffff008819544: 804eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008819548: 00003a91  add	x0, x0, #0xe80
0xfffffff00881954c: 618ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008819550: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008819554: 02008052  mov	w2, #0
0xfffffff008819558: f666ec97  bl	#0xfffffff008333130
0xfffffff00881955c: f7fcff17  b	#0xfffffff008818938
0xfffffff008819560: 800e8052  mov	w0, #0x74
0xfffffff008819564: 81008052  mov	w1, #4
0xfffffff008819568: 9a880194  bl	#0xfffffff00887b7d0
0xfffffff00881956c: c0110034  cbz	w0, #0xfffffff0088197a4
0xfffffff008819570: 800e8052  mov	w0, #0x74
0xfffffff008819574: a9880194  bl	#0xfffffff00887b818
0xfffffff008819578: f90300aa  mov	x25, x0
0xfffffff00881957c: 0c6b0294  bl	#0xfffffff0088b41ac
0xfffffff008819580: f80300aa  mov	x24, x0
0xfffffff008819584: 80008052  mov	w0, #4
0xfffffff008819588: b2880194  bl	#0xfffffff00887b850
0xfffffff00881958c: f9090034  cbz	w25, #0xfffffff0088196c8
0xfffffff008819590: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008819594: f7ff05a9  stp	x23, xzr, [sp, #0x58]
0xfffffff008819598: e90316aa  mov	x9, x22
0xfffffff00881959c: e9d704a9  stp	x9, x21, [sp, #0x48]
0xfffffff0088195a0: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff0088195a4: 2850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff0088195a8: 08e51191  add	x8, x8, #0x479
0xfffffff0088195ac: 892c8152  mov	w9, #0x964
0xfffffff0088195b0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088195b4: 2850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff0088195b8: 08210091  add	x8, x8, #8
0xfffffff0088195bc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088195c0: e00b00f9  str	x0, [sp, #0x10]
