; Candidate 2200
; ADRP+ADD at VM 0xfffffff0085abcd8 (fileoff 0x15a7cd8): page=0x1ff40d000 add_imm=0xe30

0xfffffff0085abc58: 60e90090  adrp	x0, #0xfffffff00a2d7000
0xfffffff0085abc5c: 00e01091  add	x0, x0, #0x438
0xfffffff0085abc60: c0035fd6  ret	
0xfffffff0085abc64: 7f2303d5  pacibsp	
0xfffffff0085abc68: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0085abc6c: fd030091  mov	x29, sp
0xfffffff0085abc70: 415affd0  adrp	x1, #0xfffffff0070f5000
0xfffffff0085abc74: 21743e91  add	x1, x1, #0xf9d
0xfffffff0085abc78: 62e90090  adrp	x2, #0xfffffff00a2d7000
0xfffffff0085abc7c: 42a01491  add	x2, x2, #0x528
0xfffffff0085abc80: 032a8052  mov	w3, #0x150
0xfffffff0085abc84: addff497  bl	#0xfffffff0082e3b38
0xfffffff0085abc88: 50a0ff90  adrp	x16, #0xfffffff0079b3000
0xfffffff0085abc8c: 10222291  add	x16, x16, #0x888
0xfffffff0085abc90: 10420091  add	x16, x16, #0x10
0xfffffff0085abc94: f10300aa  mov	x17, x0
0xfffffff0085abc98: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085abc9c: 300ac1da  pacda	x16, x17
0xfffffff0085abca0: 100000f9  str	x16, [x0]
0xfffffff0085abca4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0085abca8: ff0f5fd6  retab	
0xfffffff0085abcac: 5f2403d5  bti	c
0xfffffff0085abcb0: 000080d2  mov	x0, #0
0xfffffff0085abcb4: c0035fd6  ret	
0xfffffff0085abcb8: 5f2403d5  bti	c
0xfffffff0085abcbc: e10300aa  mov	x1, x0
0xfffffff0085abcc0: 60a0ffb0  adrp	x0, #0xfffffff0079b8000
0xfffffff0085abcc4: 00c03891  add	x0, x0, #0xe30
0xfffffff0085abcc8: 5ceef417  b	#0xfffffff0082e7638
0xfffffff0085abccc: 5f2403d5  bti	c
0xfffffff0085abcd0: e20301aa  mov	x2, x1
0xfffffff0085abcd4: e10300aa  mov	x1, x0
0xfffffff0085abcd8: 60a0ffb0  adrp	x0, #0xfffffff0079b8000
0xfffffff0085abcdc: 00c03891  add	x0, x0, #0xe30
0xfffffff0085abce0: 6feef417  b	#0xfffffff0082e769c
0xfffffff0085abce4: 7f2303d5  pacibsp	
0xfffffff0085abce8: ff4301d1  sub	sp, sp, #0x50
0xfffffff0085abcec: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff0085abcf0: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0085abcf4: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0085abcf8: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0085abcfc: fd030191  add	x29, sp, #0x40
0xfffffff0085abd00: f30301aa  mov	x19, x1
0xfffffff0085abd04: f40300aa  mov	x20, x0
0xfffffff0085abd08: 48a0ffd0  adrp	x8, #0xfffffff0079b5000
0xfffffff0085abd0c: 08c13b91  add	x8, x8, #0xef0
0xfffffff0085abd10: 09010b91  add	x9, x8, #0x2c0
0xfffffff0085abd14: 086141f9  ldr	x8, [x8, #0x2c0]
0xfffffff0085abd18: f10309aa  mov	x17, x9
0xfffffff0085abd1c: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff0085abd20: 11093fd7  blraa	x8, x17
0xfffffff0085abd24: f50300aa  mov	x21, x0
0xfffffff0085abd28: 202c0034  cbz	w0, #0xfffffff0085ac2ac
0xfffffff0085abd2c: 08a0ffd0  adrp	x8, #0xfffffff0079ad000
0xfffffff0085abd30: 083d47f9  ldr	x8, [x8, #0xe78]
0xfffffff0085abd34: 010140f9  ldr	x1, [x8]
0xfffffff0085abd38: e00313aa  mov	x0, x19
0xfffffff0085abd3c: eedff497  bl	#0xfffffff0082e3cf4
0xfffffff0085abd40: 807e00f9  str	x0, [x20, #0xf8]
0xfffffff0085abd44: 402c00b4  cbz	x0, #0xfffffff0085ac2cc
0xfffffff0085abd48: 100040f9  ldr	x16, [x0]
0xfffffff0085abd4c: f10300aa  mov	x17, x0
0xfffffff0085abd50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085abd54: 301ac1da  autda	x16, x17
