; Candidate 6983
; ADRP+ADD at VM 0xfffffff00884e4f4 (fileoff 0x184a4f4): page=0x1fe99b000 add_imm=0xe80

0xfffffff00884e474: 37020034  cbz	w23, #0xfffffff00884e4b8
0xfffffff00884e478: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00884e47c: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00884e480: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00884e484: c84eff90  adrp	x8, #0xfffffff007226000
0xfffffff00884e488: 09b50c91  add	x9, x8, #0x32d
0xfffffff00884e48c: c84effb0  adrp	x8, #0xfffffff007227000
0xfffffff00884e490: 08811191  add	x8, x8, #0x460
0xfffffff00884e494: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884e498: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00884e49c: e80d8052  mov	w8, #0x6f
0xfffffff00884e4a0: 204eff90  adrp	x0, #0xfffffff007212000
0xfffffff00884e4a4: 000c2191  add	x0, x0, #0x843
0xfffffff00884e4a8: f62300a9  stp	x22, x8, [sp]
0xfffffff00884e4ac: eda3d597  bl	#0xfffffff007db7460
0xfffffff00884e4b0: 540300b5  cbnz	x20, #0xfffffff00884e518
0xfffffff00884e4b4: 48000014  b	#0xfffffff00884e5d4
0xfffffff00884e4b8: 3d970194  bl	#0xfffffff0088b41ac
0xfffffff00884e4bc: f60300aa  mov	x22, x0
0xfffffff00884e4c0: e0008052  mov	w0, #7
0xfffffff00884e4c4: e3b40094  bl	#0xfffffff00887b850
0xfffffff00884e4c8: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00884e4cc: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00884e4d0: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00884e4d4: c84eff90  adrp	x8, #0xfffffff007226000
0xfffffff00884e4d8: 09b50c91  add	x9, x8, #0x32d
0xfffffff00884e4dc: c84effb0  adrp	x8, #0xfffffff007227000
0xfffffff00884e4e0: 08811191  add	x8, x8, #0x460
0xfffffff00884e4e4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00884e4e8: e80d8052  mov	w8, #0x6f
0xfffffff00884e4ec: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00884e4f0: f60300f9  str	x22, [sp]
0xfffffff00884e4f4: c04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884e4f8: 00003a91  add	x0, x0, #0xe80
0xfffffff00884e4fc: c18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884e500: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884e504: 2350ff90  adrp	x3, #0xfffffff007252000
0xfffffff00884e508: 63640e91  add	x3, x3, #0x399
0xfffffff00884e50c: 02008052  mov	w2, #0
0xfffffff00884e510: 0893eb97  bl	#0xfffffff008333130
0xfffffff00884e514: 140600b4  cbz	x20, #0xfffffff00884e5d4
0xfffffff00884e518: f50500b4  cbz	x21, #0xfffffff00884e5d4
0xfffffff00884e51c: 990a40f9  ldr	x25, [x20, #0x10]
0xfffffff00884e520: 88224239  ldrb	w8, [x20, #0x88]
0xfffffff00884e524: 68091837  tbnz	w8, #3, #0xfffffff00884e650
0xfffffff00884e528: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff00884e52c: 1f0d0071  cmp	w8, #3
0xfffffff00884e530: a10d0054  b.ne	#0xfffffff00884e6e4
0xfffffff00884e534: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff00884e538: a26301d1  sub	x2, x29, #0x58
0xfffffff00884e53c: 01098052  mov	w1, #0x48
0xfffffff00884e540: cda60094  bl	#0xfffffff008878074
0xfffffff00884e544: 401d0034  cbz	w0, #0xfffffff00884e8ec
0xfffffff00884e548: f60300aa  mov	x22, x0
0xfffffff00884e54c: e00d8052  mov	w0, #0x6f
0xfffffff00884e550: 81008052  mov	w1, #4
0xfffffff00884e554: 9fb40094  bl	#0xfffffff00887b7d0
0xfffffff00884e558: 80140034  cbz	w0, #0xfffffff00884e7e8
0xfffffff00884e55c: e00d8052  mov	w0, #0x6f
0xfffffff00884e560: aeb40094  bl	#0xfffffff00887b818
0xfffffff00884e564: f80300aa  mov	x24, x0
0xfffffff00884e568: 11970194  bl	#0xfffffff0088b41ac
0xfffffff00884e56c: f70300aa  mov	x23, x0
0xfffffff00884e570: 80008052  mov	w0, #4
