; Candidate 12863
; ADRP+ADD at VM 0xfffffff00916cce4 (fileoff 0x2168ce4): page=0x1fe321000 add_imm=0xd06

0xfffffff00916cc64: e05f00f9  str	x0, [sp, #0xb8]
0xfffffff00916cc68: 68564639  ldrb	w8, [x19, #0x195]
0xfffffff00916cc6c: 02791f53  lsl	w2, w8, #1
0xfffffff00916cc70: e0c30291  add	x0, sp, #0xb0
0xfffffff00916cc74: e1030191  add	x1, sp, #0x40
0xfffffff00916cc78: 03008052  mov	w3, #0
0xfffffff00916cc7c: 9111c697  bl	#0xfffffff0082f12c0
0xfffffff00916cc80: f70300aa  mov	x23, x0
0xfffffff00916cc84: 600300b4  cbz	x0, #0xfffffff00916ccf0
0xfffffff00916cc88: 010340f9  ldr	x1, [x24]
0xfffffff00916cc8c: e00317aa  mov	x0, x23
0xfffffff00916cc90: 19dcc597  bl	#0xfffffff0082e3cf4
0xfffffff00916cc94: e20300aa  mov	x2, x0
0xfffffff00916cc98: 700240f9  ldr	x16, [x19]
0xfffffff00916cc9c: f10313aa  mov	x17, x19
0xfffffff00916cca0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00916cca4: 301ac1da  autda	x16, x17
0xfffffff00916cca8: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff00916ccac: e90310aa  mov	x9, x16
0xfffffff00916ccb0: 0119ffb0  adrp	x1, #0xfffffff00748d000
0xfffffff00916ccb4: 211c2191  add	x1, x1, #0x847
0xfffffff00916ccb8: e00313aa  mov	x0, x19
0xfffffff00916ccbc: f10309aa  mov	x17, x9
0xfffffff00916ccc0: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff00916ccc4: 11093fd7  blraa	x8, x17
0xfffffff00916ccc8: 68a641b9  ldr	w8, [x19, #0x1a4]
0xfffffff00916cccc: 1f090071  cmp	w8, #2
0xfffffff00916ccd0: 03010054  b.lo	#0xfffffff00916ccf0
0xfffffff00916ccd4: 408d00b0  adrp	x0, #0xfffffff00a315000
0xfffffff00916ccd8: 00602a91  add	x0, x0, #0xa98
0xfffffff00916ccdc: 1fdfc597  bl	#0xfffffff0082e4958
0xfffffff00916cce0: e06b00a9  stp	x0, x26, [sp]
0xfffffff00916cce4: 0019ffb0  adrp	x0, #0xfffffff00748d000
0xfffffff00916cce8: 00183491  add	x0, x0, #0xd06
0xfffffff00916ccec: cda8c797  bl	#0xfffffff008357020
0xfffffff00916ccf0: 180080d2  mov	x24, #0
0xfffffff00916ccf4: f9c30291  add	x25, sp, #0xb0
0xfffffff00916ccf8: 206b78f8  ldr	x0, [x25, x24]
0xfffffff00916ccfc: 400100b4  cbz	x0, #0xfffffff00916cd24
0xfffffff00916cd00: 100040f9  ldr	x16, [x0]
0xfffffff00916cd04: f10300aa  mov	x17, x0
0xfffffff00916cd08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00916cd0c: 301ac1da  autda	x16, x17
0xfffffff00916cd10: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00916cd14: e90310aa  mov	x9, x16
0xfffffff00916cd18: f10309aa  mov	x17, x9
0xfffffff00916cd1c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00916cd20: 11093fd7  blraa	x8, x17
0xfffffff00916cd24: 3f6b38f8  str	xzr, [x25, x24]
0xfffffff00916cd28: 18230091  add	x24, x24, #8
0xfffffff00916cd2c: 1fc301f1  cmp	x24, #0x70
0xfffffff00916cd30: 41feff54  b.ne	#0xfffffff00916ccf8
0xfffffff00916cd34: 180080d2  mov	x24, #0
0xfffffff00916cd38: f9030191  add	x25, sp, #0x40
0xfffffff00916cd3c: 206b78f8  ldr	x0, [x25, x24]
0xfffffff00916cd40: 400100b4  cbz	x0, #0xfffffff00916cd68
0xfffffff00916cd44: 100040f9  ldr	x16, [x0]
0xfffffff00916cd48: f10300aa  mov	x17, x0
0xfffffff00916cd4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00916cd50: 301ac1da  autda	x16, x17
0xfffffff00916cd54: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00916cd58: e90310aa  mov	x9, x16
0xfffffff00916cd5c: f10309aa  mov	x17, x9
0xfffffff00916cd60: f150e7f2  movk	x17, #0x3a87, lsl #48
