; Candidate 12523
; ADRP+ADD at VM 0xfffffff0090ae228 (fileoff 0x20aa228): page=0x1fe3ab000 add_imm=0xe24

0xfffffff0090ae1a8: 6042813c  stur	q0, [x19, #0x14]
0xfffffff0090ae1ac: 6042823c  stur	q0, [x19, #0x24]
0xfffffff0090ae1b0: 6042833c  stur	q0, [x19, #0x34]
0xfffffff0090ae1b4: 6042843c  stur	q0, [x19, #0x44]
0xfffffff0090ae1b8: 6042853c  stur	q0, [x19, #0x54]
0xfffffff0090ae1bc: 6042863c  stur	q0, [x19, #0x64]
0xfffffff0090ae1c0: 6042873c  stur	q0, [x19, #0x74]
0xfffffff0090ae1c4: 6042883c  stur	q0, [x19, #0x84]
0xfffffff0090ae1c8: 6042893c  stur	q0, [x19, #0x94]
0xfffffff0090ae1cc: 69920239  strb	w9, [x19, #0xa4]
0xfffffff0090ae1d0: e11f40f9  ldr	x1, [sp, #0x38]
0xfffffff0090ae1d4: a10000b4  cbz	x1, #0xfffffff0090ae1e8
0xfffffff0090ae1d8: 880000b4  cbz	x8, #0xfffffff0090ae1e8
0xfffffff0090ae1dc: e20308aa  mov	x2, x8
0xfffffff0090ae1e0: ec79b297  bl	#0xfffffff007d4c990
0xfffffff0090ae1e4: e21b40f9  ldr	x2, [sp, #0x30]
0xfffffff0090ae1e8: 14008052  mov	w20, #0
0xfffffff0090ae1ec: e11740f9  ldr	x1, [sp, #0x28]
0xfffffff0090ae1f0: 48018052  mov	w8, #0xa
0xfffffff0090ae1f4: c10000b4  cbz	x1, #0xfffffff0090ae20c
0xfffffff0090ae1f8: a20000b4  cbz	x2, #0xfffffff0090ae20c
0xfffffff0090ae1fc: 60120291  add	x0, x19, #0x84
0xfffffff0090ae200: e479b297  bl	#0xfffffff007d4c990
0xfffffff0090ae204: 14008052  mov	w20, #0
0xfffffff0090ae208: 48018052  mov	w8, #0xa
0xfffffff0090ae20c: 29034039  ldrb	w9, [x25]
0xfffffff0090ae210: 1f01096b  cmp	w8, w9
0xfffffff0090ae214: 03010054  b.lo	#0xfffffff0090ae234
0xfffffff0090ae218: e80314aa  mov	x8, x20
0xfffffff0090ae21c: 087d4093  sxtw	x8, w8
0xfffffff0090ae220: f85f00a9  stp	x24, x23, [sp]
0xfffffff0090ae224: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090ae228: 401dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090ae22c: 00903891  add	x0, x0, #0xe24
0xfffffff0090ae230: 7ca3ca97  bl	#0xfffffff008357020
0xfffffff0090ae234: e00314aa  mov	x0, x20
0xfffffff0090ae238: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0090ae23c: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0090ae240: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0090ae244: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0090ae248: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0090ae24c: ff830291  add	sp, sp, #0xa0
0xfffffff0090ae250: ff0f5fd6  retab	
0xfffffff0090ae254: e82c8052  mov	w8, #0x167
0xfffffff0090ae258: a91dfff0  adrp	x9, #0xfffffff007465000
0xfffffff0090ae25c: 29c13891  add	x9, x9, #0xe30
0xfffffff0090ae260: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090ae264: 481dfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090ae268: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090ae26c: ca1dff90  adrp	x10, #0xfffffff007466000
0xfffffff0090ae270: 4a150e91  add	x10, x10, #0x385
0xfffffff0090ae274: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090ae278: ea0300f9  str	x10, [sp]
0xfffffff0090ae27c: 401dfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090ae280: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090ae284: 67a3ca97  bl	#0xfffffff008357020
0xfffffff0090ae288: c8088052  mov	w8, #0x46
0xfffffff0090ae28c: 54008012  mov	w20, #-3
0xfffffff0090ae290: dfffff17  b	#0xfffffff0090ae20c
0xfffffff0090ae294: 082d8052  mov	w8, #0x168
0xfffffff0090ae298: a91dfff0  adrp	x9, #0xfffffff007465000
0xfffffff0090ae29c: 29c13891  add	x9, x9, #0xe30
0xfffffff0090ae2a0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090ae2a4: 481dfff0  adrp	x8, #0xfffffff007459000
