; Candidate 12405
; ADRP+ADD at VM 0xfffffff00909bcc4 (fileoff 0x2097cc4): page=0x1fe3be000 add_imm=0xe24

0xfffffff00909bc44: e00313aa  mov	x0, x19
0xfffffff00909bc48: 63140094  bl	#0xfffffff0090a0dd4
0xfffffff00909bc4c: 100040f9  ldr	x16, [x0]
0xfffffff00909bc50: f10300aa  mov	x17, x0
0xfffffff00909bc54: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00909bc58: 301ac1da  autda	x16, x17
0xfffffff00909bc5c: 115480d2  mov	x17, #0x2a0
0xfffffff00909bc60: 1002118b  add	x16, x16, x17
0xfffffff00909bc64: 080240f9  ldr	x8, [x16]
0xfffffff00909bc68: e90310aa  mov	x9, x16
0xfffffff00909bc6c: 01008052  mov	w1, #0
0xfffffff00909bc70: f10309aa  mov	x17, x9
0xfffffff00909bc74: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff00909bc78: 11093fd7  blraa	x8, x17
0xfffffff00909bc7c: 68034039  ldrb	w8, [x27]
0xfffffff00909bc80: 1f790071  cmp	w8, #0x1e
0xfffffff00909bc84: c8000054  b.hi	#0xfffffff00909bc9c
0xfffffff00909bc88: f9d300a9  stp	x25, x20, [sp, #8]
0xfffffff00909bc8c: fa0300f9  str	x26, [sp]
0xfffffff00909bc90: e01dfff0  adrp	x0, #0xfffffff00745a000
0xfffffff00909bc94: 00f01991  add	x0, x0, #0x67c
0xfffffff00909bc98: e2ecca97  bl	#0xfffffff008357020
0xfffffff00909bc9c: 17008052  mov	w23, #0
0xfffffff00909bca0: 7fc60039  strb	wzr, [x19, #0x31]
0xfffffff00909bca4: 48018052  mov	w8, #0xa
0xfffffff00909bca8: 69034039  ldrb	w9, [x27]
0xfffffff00909bcac: 1f01096b  cmp	w8, w9
0xfffffff00909bcb0: 03010054  b.lo	#0xfffffff00909bcd0
0xfffffff00909bcb4: e80317aa  mov	x8, x23
0xfffffff00909bcb8: 087d4093  sxtw	x8, w8
0xfffffff00909bcbc: fa6700a9  stp	x26, x25, [sp]
0xfffffff00909bcc0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00909bcc4: e01dffd0  adrp	x0, #0xfffffff007459000
0xfffffff00909bcc8: 00903891  add	x0, x0, #0xe24
0xfffffff00909bccc: d5ecca97  bl	#0xfffffff008357020
0xfffffff00909bcd0: e00317aa  mov	x0, x23
0xfffffff00909bcd4: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff00909bcd8: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff00909bcdc: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff00909bce0: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff00909bce4: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff00909bce8: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff00909bcec: ffc30291  add	sp, sp, #0xb0
0xfffffff00909bcf0: ff0f5fd6  retab	
0xfffffff00909bcf4: e82d8052  mov	w8, #0x16f
0xfffffff00909bcf8: 291effd0  adrp	x9, #0xfffffff007461000
0xfffffff00909bcfc: 29550c91  add	x9, x9, #0x315
0xfffffff00909bd00: e81300f9  str	x8, [sp, #0x20]
0xfffffff00909bd04: e81dffd0  adrp	x8, #0xfffffff007459000
0xfffffff00909bd08: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00909bd0c: 2a1effd0  adrp	x10, #0xfffffff007461000
0xfffffff00909bd10: 4aad2191  add	x10, x10, #0x86b
0xfffffff00909bd14: 09000014  b	#0xfffffff00909bd38
0xfffffff00909bd18: 282e8052  mov	w8, #0x171
0xfffffff00909bd1c: 291effd0  adrp	x9, #0xfffffff007461000
0xfffffff00909bd20: 29550c91  add	x9, x9, #0x315
0xfffffff00909bd24: e81300f9  str	x8, [sp, #0x20]
0xfffffff00909bd28: e81dffd0  adrp	x8, #0xfffffff007459000
0xfffffff00909bd2c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00909bd30: 2a1effd0  adrp	x10, #0xfffffff007461000
0xfffffff00909bd34: 4a092291  add	x10, x10, #0x882
0xfffffff00909bd38: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff00909bd3c: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff00909bd40: e01dffd0  adrp	x0, #0xfffffff007459000
