; Candidate 13838
; ADRP+ADD at VM 0xfffffff0095ad99c (fileoff 0x25a999c): page=0x1fe63f000 add_imm=0xe28

0xfffffff0095ad91c: e8079f1a  cset	w8, ne
0xfffffff0095ad920: 08611953  lsl	w8, w8, #7
0xfffffff0095ad924: e8630139  strb	w8, [sp, #0x58]
0xfffffff0095ad928: c8c64139  ldrb	w8, [x22, #0x71]
0xfffffff0095ad92c: e8670139  strb	w8, [sp, #0x59]
0xfffffff0095ad930: e81640f9  ldr	x8, [x23, #0x28]
0xfffffff0095ad934: e83700f9  str	x8, [sp, #0x68]
0xfffffff0095ad938: e83240b9  ldr	w8, [x23, #0x30]
0xfffffff0095ad93c: e8b70079  strh	w8, [sp, #0x5a]
0xfffffff0095ad940: a88a40b9  ldr	w8, [x21, #0x88]
0xfffffff0095ad944: a9018052  mov	w9, #0xd
0xfffffff0095ad948: 2a018052  mov	w10, #9
0xfffffff0095ad94c: 4101891a  csel	w1, w10, w9, eq
0xfffffff0095ad950: a96a40b9  ldr	w9, [x21, #0x68]
0xfffffff0095ad954: e8a70b29  stp	w8, w9, [sp, #0x5c]
0xfffffff0095ad958: e00313aa  mov	x0, x19
0xfffffff0095ad95c: 42008052  mov	w2, #2
0xfffffff0095ad960: 18e7ff97  bl	#0xfffffff0095a75c0
0xfffffff0095ad964: e02f00b9  str	w0, [sp, #0x2c]
0xfffffff0095ad968: ff7f07a9  stp	xzr, xzr, [sp, #0x70]
0xfffffff0095ad96c: ff0301f9  str	xzr, [sp, #0x200]
0xfffffff0095ad970: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0095ad974: e0030fad  stp	q0, q0, [sp, #0x1e0]
0xfffffff0095ad978: e0030ead  stp	q0, q0, [sp, #0x1c0]
0xfffffff0095ad97c: e0030dad  stp	q0, q0, [sp, #0x1a0]
0xfffffff0095ad980: e0030cad  stp	q0, q0, [sp, #0x180]
0xfffffff0095ad984: e0030bad  stp	q0, q0, [sp, #0x160]
0xfffffff0095ad988: e0030aad  stp	q0, q0, [sp, #0x140]
0xfffffff0095ad98c: e00309ad  stp	q0, q0, [sp, #0x120]
0xfffffff0095ad990: e047803d  str	q0, [sp, #0x110]
0xfffffff0095ad994: 684a41f9  ldr	x8, [x19, #0x290]
0xfffffff0095ad998: 179540f9  ldr	x23, [x8, #0x128]
0xfffffff0095ad99c: e031fff0  adrp	x0, #0xfffffff007bec000
0xfffffff0095ad9a0: 00a03891  add	x0, x0, #0xe28
0xfffffff0095ad9a4: d4a2b697  bl	#0xfffffff0083564f4
0xfffffff0095ad9a8: f90300aa  mov	x25, x0
0xfffffff0095ad9ac: a00000b4  cbz	x0, #0xfffffff0095ad9c0
0xfffffff0095ad9b0: e16e0090  adrp	x1, #0xfffffff00a389000
0xfffffff0095ad9b4: 21c00391  add	x1, x1, #0xf0
0xfffffff0095ad9b8: 00458052  mov	w0, #0x228
0xfffffff0095ad9bc: 45d6b497  bl	#0xfffffff0082e32d0
0xfffffff0095ad9c0: 21730091  add	x1, x25, #0x1c
0xfffffff0095ad9c4: e0630191  add	x0, sp, #0x58
0xfffffff0095ad9c8: bf71ff97  bl	#0xfffffff00958a0c4
0xfffffff0095ad9cc: a0010035  cbnz	w0, #0xfffffff0095ada00
0xfffffff0095ad9d0: e8430491  add	x8, sp, #0x110
0xfffffff0095ad9d4: e83b00f9  str	x8, [sp, #0x70]
0xfffffff0095ad9d8: 48fdfef0  adrp	x8, #0xfffffff007558000
0xfffffff0095ad9dc: 009940fd  ldr	d0, [x8, #0x130]
0xfffffff0095ad9e0: e03f00fd  str	d0, [sp, #0x78]
0xfffffff0095ad9e4: e2c30191  add	x2, sp, #0x70
0xfffffff0095ad9e8: e00317aa  mov	x0, x23
0xfffffff0095ad9ec: e10319aa  mov	x1, x25
0xfffffff0095ad9f0: 030080d2  mov	x3, #0
0xfffffff0095ad9f4: 040080d2  mov	x4, #0
0xfffffff0095ad9f8: f0f7fe97  bl	#0xfffffff00956b9b8
0xfffffff0095ad9fc: 40170034  cbz	w0, #0xfffffff0095adce4
0xfffffff0095ada00: fb0300aa  mov	x27, x0
0xfffffff0095ada04: ffff0429  stp	wzr, wzr, [sp, #0x24]
0xfffffff0095ada08: 17008052  mov	w23, #0
0xfffffff0095ada0c: 390100b4  cbz	x25, #0xfffffff0095ada30
0xfffffff0095ada10: e031fff0  adrp	x0, #0xfffffff007bec000
0xfffffff0095ada14: 00a03991  add	x0, x0, #0xe68
0xfffffff0095ada18: e10319aa  mov	x1, x25
