; Candidate 4072
; ADRP+ADD at VM 0xfffffff008790a20 (fileoff 0x178ca20): page=0x1fe9a1000 add_imm=0xd90

0xfffffff0087909a0: 400200b4  cbz	x0, #0xfffffff0087909e8
0xfffffff0087909a4: 4a6cd897  bl	#0xfffffff007dabacc
0xfffffff0087909a8: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff0087909ac: d1c8fe97  bl	#0xfffffff008742cf0
0xfffffff0087909b0: 00010034  cbz	w0, #0xfffffff0087909d0
0xfffffff0087909b4: 600e56f9  ldr	x0, [x19, #0x2c18]
0xfffffff0087909b8: 616fd897  bl	#0xfffffff007dac73c
0xfffffff0087909bc: 600e56f9  ldr	x0, [x19, #0x2c18]
0xfffffff0087909c0: 3b1bef97  bl	#0xfffffff0083576ac
0xfffffff0087909c4: 00008052  mov	w0, #0
0xfffffff0087909c8: 7f0e16f9  str	xzr, [x19, #0x2c18]
0xfffffff0087909cc: 07000014  b	#0xfffffff0087909e8
0xfffffff0087909d0: 686e40f9  ldr	x8, [x19, #0xd8]
0xfffffff0087909d4: 08b141b9  ldr	w8, [x8, #0x1b0]
0xfffffff0087909d8: 68922ab9  str	w8, [x19, #0x2a90]
0xfffffff0087909dc: 600e56f9  ldr	x0, [x19, #0x2c18]
0xfffffff0087909e0: 576fd897  bl	#0xfffffff007dac73c
0xfffffff0087909e4: 20008052  mov	w0, #1
0xfffffff0087909e8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0087909ec: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0087909f0: ff0f5fd6  retab	
0xfffffff0087909f4: 7f2303d5  pacibsp	
0xfffffff0087909f8: ffc300d1  sub	sp, sp, #0x30
0xfffffff0087909fc: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008790a00: fd830091  add	x29, sp, #0x20
0xfffffff008790a04: 3f800071  cmp	w1, #0x20
0xfffffff008790a08: e3010054  b.lo	#0xfffffff008790a44
0xfffffff008790a0c: 08048052  mov	w8, #0x20
0xfffffff008790a10: e1a300a9  stp	x1, x8, [sp, #8]
0xfffffff008790a14: 484efff0  adrp	x8, #0xfffffff00715b000
0xfffffff008790a18: 08890391  add	x8, x8, #0xe2
0xfffffff008790a1c: e80300f9  str	x8, [sp]
0xfffffff008790a20: 004dffb0  adrp	x0, #0xfffffff007131000
0xfffffff008790a24: 00403691  add	x0, x0, #0xd90
0xfffffff008790a28: 6193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008790a2c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008790a30: a34dffd0  adrp	x3, #0xfffffff007146000
0xfffffff008790a34: 63f80f91  add	x3, x3, #0x3fe
0xfffffff008790a38: 02008052  mov	w2, #0
0xfffffff008790a3c: bd89ee97  bl	#0xfffffff008333130
0xfffffff008790a40: 0f000014  b	#0xfffffff008790a7c
0xfffffff008790a44: 014001b9  str	w1, [x0, #0x140]
0xfffffff008790a48: 086c40f9  ldr	x8, [x0, #0xd8]
0xfffffff008790a4c: 087d40f9  ldr	x8, [x8, #0xf8]
0xfffffff008790a50: 680100b4  cbz	x8, #0xfffffff008790a7c
0xfffffff008790a54: 098e8552  mov	w9, #0x2c70
0xfffffff008790a58: 02686938  ldrb	w2, [x0, x9]
0xfffffff008790a5c: e00308aa  mov	x0, x8
0xfffffff008790a60: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008790a64: ffc30091  add	sp, sp, #0x30
0xfffffff008790a68: ff2303d5  autibsp	
0xfffffff008790a6c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008790a70: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008790a78
0xfffffff008790a74: 208e38d4  brk	#0xc471
0xfffffff008790a78: a97a0014  b	#0xfffffff0087af51c
0xfffffff008790a7c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008790a80: ffc30091  add	sp, sp, #0x30
0xfffffff008790a84: ff0f5fd6  retab	
0xfffffff008790a88: 7f2303d5  pacibsp	
0xfffffff008790a8c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008790a90: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008790a94: fd430091  add	x29, sp, #0x10
0xfffffff008790a98: f30301aa  mov	x19, x1
0xfffffff008790a9c: f40300aa  mov	x20, x0
