; Candidate 4095
; ADRP+ADD at VM 0xfffffff008791ddc (fileoff 0x178dddc): page=0x1fe9a0000 add_imm=0xd90

0xfffffff008791d5c: ff030191  add	sp, sp, #0x40
0xfffffff008791d60: ff0f5fd6  retab	
0xfffffff008791d64: 94578052  mov	w20, #0x2bc
0xfffffff008791d68: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008791d6c: 610300b4  cbz	x1, #0xfffffff008791dd8
0xfffffff008791d70: 820400b4  cbz	x2, #0xfffffff008791e00
0xfffffff008791d74: 280040f9  ldr	x8, [x1]
0xfffffff008791d78: e8fcffb4  cbz	x8, #0xfffffff008791d14
0xfffffff008791d7c: 687a00f9  str	x8, [x19, #0xf0]
0xfffffff008791d80: 280440f9  ldr	x8, [x1, #8]
0xfffffff008791d84: 88fcffb4  cbz	x8, #0xfffffff008791d14
0xfffffff008791d88: 687e00f9  str	x8, [x19, #0xf8]
0xfffffff008791d8c: 44fcffb4  cbz	x4, #0xfffffff008791d14
0xfffffff008791d90: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008791d94: 600209ad  stp	q0, q0, [x19, #0x120]
0xfffffff008791d98: 600208ad  stp	q0, q0, [x19, #0x100]
0xfffffff008791d9c: 800440ad  ldp	q0, q1, [x4]
0xfffffff008791da0: 820c41ad  ldp	q2, q3, [x4, #0x20]
0xfffffff008791da4: 620e09ad  stp	q2, q3, [x19, #0x120]
0xfffffff008791da8: 600608ad  stp	q0, q1, [x19, #0x100]
0xfffffff008791dac: 43fbffb4  cbz	x3, #0xfffffff008791d14
0xfffffff008791db0: 60020491  add	x0, x19, #0x100
0xfffffff008791db4: 637600f9  str	x3, [x19, #0xe8]
0xfffffff008791db8: 62224fa9  ldp	x2, x8, [x19, #0xf0]
0xfffffff008791dbc: e10303aa  mov	x1, x3
0xfffffff008791dc0: e30308aa  mov	x3, x8
0xfffffff008791dc4: bfb9f197  bl	#0xfffffff0084004c0
0xfffffff008791dc8: 14008052  mov	w20, #0
0xfffffff008791dcc: 28008052  mov	w8, #1
0xfffffff008791dd0: 684601b9  str	w8, [x19, #0x144]
0xfffffff008791dd4: deffff17  b	#0xfffffff008791d4c
0xfffffff008791dd8: f30300f9  str	x19, [sp]
0xfffffff008791ddc: 004dff90  adrp	x0, #0xfffffff007131000
0xfffffff008791de0: 00403691  add	x0, x0, #0xd90
0xfffffff008791de4: 6193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008791de8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008791dec: a34dffb0  adrp	x3, #0xfffffff007146000
0xfffffff008791df0: 632c1d91  add	x3, x3, #0x74b
0xfffffff008791df4: 02008052  mov	w2, #0
0xfffffff008791df8: ce84ee97  bl	#0xfffffff008333130
0xfffffff008791dfc: c6ffff17  b	#0xfffffff008791d14
0xfffffff008791e00: f30300f9  str	x19, [sp]
0xfffffff008791e04: 004dff90  adrp	x0, #0xfffffff007131000
0xfffffff008791e08: 00403691  add	x0, x0, #0xd90
0xfffffff008791e0c: 6193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008791e10: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008791e14: a34dffb0  adrp	x3, #0xfffffff007146000
0xfffffff008791e18: 63681e91  add	x3, x3, #0x79a
0xfffffff008791e1c: c584ee97  bl	#0xfffffff008333130
0xfffffff008791e20: bdffff17  b	#0xfffffff008791d14
0xfffffff008791e24: 7f2303d5  pacibsp	
0xfffffff008791e28: ff0302d1  sub	sp, sp, #0x80
0xfffffff008791e2c: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff008791e30: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008791e34: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008791e38: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008791e3c: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008791e40: fdc30191  add	x29, sp, #0x70
0xfffffff008791e44: 084441b9  ldr	w8, [x0, #0x144]
0xfffffff008791e48: 1f050071  cmp	w8, #1
0xfffffff008791e4c: 21070054  b.ne	#0xfffffff008791f30
0xfffffff008791e50: f40302aa  mov	x20, x2
0xfffffff008791e54: f50301aa  mov	x21, x1
0xfffffff008791e58: f30300aa  mov	x19, x0
