; Candidate 13779
; ADRP+ADD at VM 0xfffffff00957eefc (fileoff 0x257aefc): page=0x1fdfe0000 add_imm=0xed6

0xfffffff00957ee7c: 007c2f91  add	x0, x0, #0xbdf
0xfffffff00957ee80: e9ffff17  b	#0xfffffff00957ee24
0xfffffff00957ee84: 0f250035  cbnz	w15, #0xfffffff00957f324
0xfffffff00957ee88: 08014079  ldrh	w8, [x8]
0xfffffff00957ee8c: e9032b2a  mvn	w9, w11
0xfffffff00957ee90: 0801090b  add	w8, w8, w9
0xfffffff00957ee94: 093c4093  sxth	x9, w0
0xfffffff00957ee98: e92300a9  stp	x9, x8, [sp]
0xfffffff00957ee9c: 00fffe90  adrp	x0, #0xfffffff00755e000
0xfffffff00957eea0: 00203291  add	x0, x0, #0xc88
0xfffffff00957eea4: e0ffff17  b	#0xfffffff00957ee24
0xfffffff00957eea8: 6f250035  cbnz	w15, #0xfffffff00957f354
0xfffffff00957eeac: 08014079  ldrh	w8, [x8]
0xfffffff00957eeb0: e9032b2a  mvn	w9, w11
0xfffffff00957eeb4: 0801090b  add	w8, w8, w9
0xfffffff00957eeb8: e80300f9  str	x8, [sp]
0xfffffff00957eebc: 00fffe90  adrp	x0, #0xfffffff00755e000
0xfffffff00957eec0: 00b82891  add	x0, x0, #0xa2e
0xfffffff00957eec4: d8ffff17  b	#0xfffffff00957ee24
0xfffffff00957eec8: cf250035  cbnz	w15, #0xfffffff00957f380
0xfffffff00957eecc: 08014079  ldrh	w8, [x8]
0xfffffff00957eed0: e9032b2a  mvn	w9, w11
0xfffffff00957eed4: 0801090b  add	w8, w8, w9
0xfffffff00957eed8: e80300f9  str	x8, [sp]
0xfffffff00957eedc: 00fffe90  adrp	x0, #0xfffffff00755e000
0xfffffff00957eee0: 00f02a91  add	x0, x0, #0xabc
0xfffffff00957eee4: d0ffff17  b	#0xfffffff00957ee24
0xfffffff00957eee8: 2f260035  cbnz	w15, #0xfffffff00957f3ac
0xfffffff00957eeec: 08014079  ldrh	w8, [x8]
0xfffffff00957eef0: e9032b2a  mvn	w9, w11
0xfffffff00957eef4: 0801090b  add	w8, w8, w9
0xfffffff00957eef8: e80300f9  str	x8, [sp]
0xfffffff00957eefc: 00fffe90  adrp	x0, #0xfffffff00755e000
0xfffffff00957ef00: 00583b91  add	x0, x0, #0xed6
0xfffffff00957ef04: c8ffff17  b	#0xfffffff00957ee24
0xfffffff00957ef08: 8f260035  cbnz	w15, #0xfffffff00957f3d8
0xfffffff00957ef0c: 08014079  ldrh	w8, [x8]
0xfffffff00957ef10: e9032b2a  mvn	w9, w11
0xfffffff00957ef14: 0801090b  add	w8, w8, w9
0xfffffff00957ef18: e80300f9  str	x8, [sp]
0xfffffff00957ef1c: 00fffe90  adrp	x0, #0xfffffff00755e000
0xfffffff00957ef20: 00b43f91  add	x0, x0, #0xfed
0xfffffff00957ef24: c0ffff17  b	#0xfffffff00957ee24
0xfffffff00957ef28: ef260035  cbnz	w15, #0xfffffff00957f404
0xfffffff00957ef2c: 08014079  ldrh	w8, [x8]
0xfffffff00957ef30: e9032b2a  mvn	w9, w11
0xfffffff00957ef34: 0801090b  add	w8, w8, w9
0xfffffff00957ef38: e80300f9  str	x8, [sp]
0xfffffff00957ef3c: 00fffeb0  adrp	x0, #0xfffffff00755f000
0xfffffff00957ef40: 00b40191  add	x0, x0, #0x6d
0xfffffff00957ef44: b8ffff17  b	#0xfffffff00957ee24
0xfffffff00957ef48: 29796878  ldrh	w9, [x9, x8, lsl #1]
0xfffffff00957ef4c: ea164079  ldrh	w10, [x23, #0xa]
0xfffffff00957ef50: 6b1a40b9  ldr	w11, [x19, #0x18]
0xfffffff00957ef54: 6c2c8052  mov	w12, #0x163
0xfffffff00957ef58: 0dfffe90  adrp	x13, #0xfffffff00755e000
0xfffffff00957ef5c: ad2d1091  add	x13, x13, #0x40b
0xfffffff00957ef60: ed3302a9  stp	x13, x12, [sp, #0x20]
0xfffffff00957ef64: eb2b01a9  stp	x11, x10, [sp, #0x10]
0xfffffff00957ef68: e82700a9  stp	x8, x9, [sp]
0xfffffff00957ef6c: 00fffe90  adrp	x0, #0xfffffff00755e000
0xfffffff00957ef70: 00281691  add	x0, x0, #0x58a
0xfffffff00957ef74: 6655bc97  bl	#0xfffffff00849450c
0xfffffff00957ef78: 2a796c78  ldrh	w10, [x9, x12, lsl #1]
