; Candidate 13795
; ADRP+ADD at VM 0xfffffff00958c7b0 (fileoff 0x25887b0): page=0x1fe660000 add_imm=0xde8

0xfffffff00958c730: 7127b797  bl	#0xfffffff0083564f4
0xfffffff00958c734: f30300aa  mov	x19, x0
0xfffffff00958c738: a00000b4  cbz	x0, #0xfffffff00958c74c
0xfffffff00958c73c: e16f00b0  adrp	x1, #0xfffffff00a389000
0xfffffff00958c740: 21c00391  add	x1, x1, #0xf0
0xfffffff00958c744: 00458052  mov	w0, #0x228
0xfffffff00958c748: e25ab597  bl	#0xfffffff0082e32d0
0xfffffff00958c74c: 62720091  add	x2, x19, #0x1c
0xfffffff00958c750: e00315aa  mov	x0, x21
0xfffffff00958c754: e10314aa  mov	x1, x20
0xfffffff00958c758: 60fdff97  bl	#0xfffffff00958bcd8
0xfffffff00958c75c: e0000034  cbz	w0, #0xfffffff00958c778
0xfffffff00958c760: a8720d91  add	x8, x21, #0x35c
0xfffffff00958c764: f42300a9  stp	x20, x8, [sp]
0xfffffff00958c768: 80fefef0  adrp	x0, #0xfffffff00755f000
0xfffffff00958c76c: 00f83191  add	x0, x0, #0xc7e
0xfffffff00958c770: 3caba097  bl	#0xfffffff007db7460
0xfffffff00958c774: 0e000014  b	#0xfffffff00958c7ac
0xfffffff00958c778: c00e40f9  ldr	x0, [x22, #0x18]
0xfffffff00958c77c: 10000090  adrp	x16, #0xfffffff00958c000
0xfffffff00958c780: 10921f91  add	x16, x16, #0x7e4
0xfffffff00958c784: b19597d2  mov	x17, #0xbcad
0xfffffff00958c788: 3002c1da  pacia	x16, x17
0xfffffff00958c78c: e20310aa  mov	x2, x16
0xfffffff00958c790: e3430091  add	x3, sp, #0x10
0xfffffff00958c794: e10313aa  mov	x1, x19
0xfffffff00958c798: 6782ff97  bl	#0xfffffff00956d134
0xfffffff00958c79c: c00e40f9  ldr	x0, [x22, #0x18]
0xfffffff00958c7a0: 600000b4  cbz	x0, #0xfffffff00958c7ac
0xfffffff00958c7a4: 01008052  mov	w1, #0
0xfffffff00958c7a8: 1e550094  bl	#0xfffffff0095a1c20
0xfffffff00958c7ac: 330100b4  cbz	x19, #0xfffffff00958c7d0
0xfffffff00958c7b0: 0033ff90  adrp	x0, #0xfffffff007bec000
0xfffffff00958c7b4: 00a03791  add	x0, x0, #0xde8
0xfffffff00958c7b8: e10313aa  mov	x1, x19
0xfffffff00958c7bc: d427b797  bl	#0xfffffff00835670c
0xfffffff00958c7c0: e16f00b0  adrp	x1, #0xfffffff00a389000
0xfffffff00958c7c4: 21c00391  add	x1, x1, #0xf0
0xfffffff00958c7c8: e0448092  mov	x0, #-0x228
0xfffffff00958c7cc: c15ab597  bl	#0xfffffff0082e32d0
0xfffffff00958c7d0: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00958c7d4: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00958c7d8: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00958c7dc: ff430191  add	sp, sp, #0x50
0xfffffff00958c7e0: ff0f5fd6  retab	
0xfffffff00958c7e4: 7f2303d5  pacibsp	
0xfffffff00958c7e8: ff8300d1  sub	sp, sp, #0x20
0xfffffff00958c7ec: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00958c7f0: fd430091  add	x29, sp, #0x10
0xfffffff00958c7f4: 2800c079  ldrsh	w8, [x1]
0xfffffff00958c7f8: 1f090071  cmp	w8, #2
0xfffffff00958c7fc: 21010054  b.ne	#0xfffffff00958c820
0xfffffff00958c800: 28044079  ldrh	w8, [x1, #2]
0xfffffff00958c804: a8012837  tbnz	w8, #5, #0xfffffff00958c838
0xfffffff00958c808: 280840b9  ldr	w8, [x1, #8]
0xfffffff00958c80c: e80300f9  str	x8, [sp]
0xfffffff00958c810: 80fefef0  adrp	x0, #0xfffffff00755f000
0xfffffff00958c814: 00183d91  add	x0, x0, #0xf46
0xfffffff00958c818: 12aba097  bl	#0xfffffff007db7460
0xfffffff00958c81c: 0e000014  b	#0xfffffff00958c854
0xfffffff00958c820: e80300f9  str	x8, [sp]
0xfffffff00958c824: 80fefef0  adrp	x0, #0xfffffff00755f000
0xfffffff00958c828: 002c3c91  add	x0, x0, #0xf0b
0xfffffff00958c82c: 0daba097  bl	#0xfffffff007db7460
