; Candidate 6940
; ADRP+ADD at VM 0xfffffff00884b554 (fileoff 0x1847554): page=0x1fe99e000 add_imm=0xe80

0xfffffff00884b4d4: 08b12291  add	x8, x8, #0x8ac
0xfffffff00884b4d8: 094d8052  mov	w9, #0x268
0xfffffff00884b4dc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884b4e0: c84effd0  adrp	x8, #0xfffffff007225000
0xfffffff00884b4e4: 08112491  add	x8, x8, #0x904
0xfffffff00884b4e8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884b4ec: 28098052  mov	w8, #0x49
0xfffffff00884b4f0: f52300a9  stp	x21, x8, [sp]
0xfffffff00884b4f4: e04cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884b4f8: 00003a91  add	x0, x0, #0xe80
0xfffffff00884b4fc: e18dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00884b500: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884b504: 2350ffd0  adrp	x3, #0xfffffff007251000
0xfffffff00884b508: 631c2591  add	x3, x3, #0x947
0xfffffff00884b50c: 02008052  mov	w2, #0
0xfffffff00884b510: 089feb97  bl	#0xfffffff008333130
0xfffffff00884b514: 15008052  mov	w21, #0
0xfffffff00884b518: 35000014  b	#0xfffffff00884b5ec
0xfffffff00884b51c: 24a30194  bl	#0xfffffff0088b41ac
0xfffffff00884b520: f50300aa  mov	x21, x0
0xfffffff00884b524: 80008052  mov	w0, #4
0xfffffff00884b528: cac00094  bl	#0xfffffff00887b850
0xfffffff00884b52c: f35303a9  stp	x19, x20, [sp, #0x30]
0xfffffff00884b530: c84effd0  adrp	x8, #0xfffffff007225000
0xfffffff00884b534: 08c11691  add	x8, x8, #0x5b0
0xfffffff00884b538: 694d8052  mov	w9, #0x26b
0xfffffff00884b53c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884b540: c84effd0  adrp	x8, #0xfffffff007225000
0xfffffff00884b544: 08112491  add	x8, x8, #0x904
0xfffffff00884b548: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884b54c: 28098052  mov	w8, #0x49
0xfffffff00884b550: f52300a9  stp	x21, x8, [sp]
0xfffffff00884b554: e04cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884b558: 00003a91  add	x0, x0, #0xe80
0xfffffff00884b55c: e18dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00884b560: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884b564: 2350ffd0  adrp	x3, #0xfffffff007251000
0xfffffff00884b568: 63e42591  add	x3, x3, #0x979
0xfffffff00884b56c: 02008052  mov	w2, #0
0xfffffff00884b570: f09eeb97  bl	#0xfffffff008333130
0xfffffff00884b574: 15008052  mov	w21, #0
0xfffffff00884b578: 1d000014  b	#0xfffffff00884b5ec
0xfffffff00884b57c: 0ca30194  bl	#0xfffffff0088b41ac
0xfffffff00884b580: f40300aa  mov	x20, x0
0xfffffff00884b584: e0008052  mov	w0, #7
0xfffffff00884b588: b2c00094  bl	#0xfffffff00887b850
0xfffffff00884b58c: a8035cf8  ldur	x8, [x29, #-0x40]
0xfffffff00884b590: 692240b9  ldr	w9, [x19, #0x20]
0xfffffff00884b594: aa835cb8  ldur	w10, [x29, #-0x38]
0xfffffff00884b598: e82b05a9  stp	x8, x10, [sp, #0x50]
0xfffffff00884b59c: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00884b5a0: e80316aa  mov	x8, x22
0xfffffff00884b5a4: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff00884b5a8: 88508052  mov	w8, #0x284
0xfffffff00884b5ac: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00884b5b0: c84effd0  adrp	x8, #0xfffffff007225000
0xfffffff00884b5b4: 08112491  add	x8, x8, #0x904
0xfffffff00884b5b8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884b5bc: 28098052  mov	w8, #0x49
0xfffffff00884b5c0: 2350ffd0  adrp	x3, #0xfffffff007251000
0xfffffff00884b5c4: 63982691  add	x3, x3, #0x9a6
0xfffffff00884b5c8: f42300a9  stp	x20, x8, [sp]
0xfffffff00884b5cc: e04cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884b5d0: 00003a91  add	x0, x0, #0xe80
