; Candidate 16317
; ADRP+ADD at VM 0xfffffff009e57c08 (fileoff 0x2e53c08): page=0x1fdede000 add_imm=0xd58

0xfffffff009e57b88: f503801a  csel	w21, wzr, w0, eq
0xfffffff009e57b8c: bf0a0071  cmp	w21, #2
0xfffffff009e57b90: 40fdff54  b.eq	#0xfffffff009e57b38
0xfffffff009e57b94: 15010035  cbnz	w21, #0xfffffff009e57bb4
0xfffffff009e57b98: e00319aa  mov	x0, x25
0xfffffff009e57b9c: 21008052  mov	w1, #1
0xfffffff009e57ba0: e20314aa  mov	x2, x20
0xfffffff009e57ba4: e30318aa  mov	x3, x24
0xfffffff009e57ba8: a14d0294  bl	#0xfffffff009eeb22c
0xfffffff009e57bac: f50300aa  mov	x21, x0
0xfffffff009e57bb0: e2ffff17  b	#0xfffffff009e57b38
0xfffffff009e57bb4: 083e8452  mov	w8, #0x21f0
0xfffffff009e57bb8: 2803088b  add	x8, x25, x8
0xfffffff009e57bbc: f75702a9  stp	x23, x21, [sp, #0x20]
0xfffffff009e57bc0: 494b8052  mov	w9, #0x25a
0xfffffff009e57bc4: aacefed0  adrp	x10, #0xfffffff00782d000
0xfffffff009e57bc8: 4af10891  add	x10, x10, #0x23c
0xfffffff009e57bcc: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e57bd0: e85b01a9  stp	x8, x22, [sp, #0x10]
0xfffffff009e57bd4: a0cefed0  adrp	x0, #0xfffffff00782d000
0xfffffff009e57bd8: 00840791  add	x0, x0, #0x1e1
0xfffffff009e57bdc: 3a9f0094  bl	#0xfffffff009e7f8c4
0xfffffff009e57be0: d6ffff17  b	#0xfffffff009e57b38
0xfffffff009e57be4: 7f2303d5  pacibsp	
0xfffffff009e57be8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009e57bec: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009e57bf0: fd430091  add	x29, sp, #0x10
0xfffffff009e57bf4: 08b441f9  ldr	x8, [x0, #0x368]
0xfffffff009e57bf8: 680000b4  cbz	x8, #0xfffffff009e57c04
0xfffffff009e57bfc: 00008052  mov	w0, #0
0xfffffff009e57c00: 1f000014  b	#0xfffffff009e57c7c
0xfffffff009e57c04: f30300aa  mov	x19, x0
0xfffffff009e57c08: e0f6fed0  adrp	x0, #0xfffffff007d35000
0xfffffff009e57c0c: 00603591  add	x0, x0, #0xd58
0xfffffff009e57c10: 39fa9397  bl	#0xfffffff0083564f4
0xfffffff009e57c14: f40300aa  mov	x20, x0
0xfffffff009e57c18: 000200b4  cbz	x0, #0xfffffff009e57c58
0xfffffff009e57c1c: e82b00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e57c20: 08212a91  add	x8, x8, #0xa88
0xfffffff009e57c24: 09078052  mov	w9, #0x38
0xfffffff009e57c28: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009e57c2c: 9f0e00f9  str	xzr, [x20, #0x18]
0xfffffff009e57c30: e82b00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e57c34: 01c944f9  ldr	x1, [x8, #0x990]
0xfffffff009e57c38: e82b00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e57c3c: 02c544f9  ldr	x2, [x8, #0x988]
0xfffffff009e57c40: e00314aa  mov	x0, x20
0xfffffff009e57c44: 404f7d97  bl	#0xfffffff007dab944
0xfffffff009e57c48: 00008052  mov	w0, #0
0xfffffff009e57c4c: 9f620079  strh	wzr, [x20, #0x30]
0xfffffff009e57c50: 9f0a00f9  str	xzr, [x20, #0x10]
0xfffffff009e57c54: 09000014  b	#0xfffffff009e57c78
0xfffffff009e57c58: e82b00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e57c5c: 08e12791  add	x8, x8, #0x9f8
0xfffffff009e57c60: 29008052  mov	w9, #1
0xfffffff009e57c64: 080129b8  ldadd	w9, w8, [x8]
0xfffffff009e57c68: e82b00b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e57c6c: 09078052  mov	w9, #0x38
0xfffffff009e57c70: 090105f9  str	x9, [x8, #0xa00]
0xfffffff009e57c74: 80018052  mov	w0, #0xc
0xfffffff009e57c78: 74b601f9  str	x20, [x19, #0x368]
0xfffffff009e57c7c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009e57c80: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009e57c84: ff0f5fd6  retab	
