; Candidate 13322
; ADRP+ADD at VM 0xfffffff00928975c (fileoff 0x228575c): page=0x1fe233000 add_imm=0xcfa

0xfffffff0092896dc: 81058052  mov	w1, #0x2c
0xfffffff0092896e0: 992bc897  bl	#0xfffffff008494544
0xfffffff0092896e4: 7f2303d5  pacibsp	
0xfffffff0092896e8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092896ec: fd030091  mov	x29, sp
0xfffffff0092896f0: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff0092896f4: 00c02b91  add	x0, x0, #0xaf0
0xfffffff0092896f8: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff0092896fc: 42242e91  add	x2, x2, #0xb89
0xfffffff009289700: 41078052  mov	w1, #0x3a
0xfffffff009289704: 902bc897  bl	#0xfffffff008494544
0xfffffff009289708: 7f2303d5  pacibsp	
0xfffffff00928970c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009289710: fd030091  mov	x29, sp
0xfffffff009289714: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009289718: 00c02b91  add	x0, x0, #0xaf0
0xfffffff00928971c: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff009289720: 42a02d91  add	x2, x2, #0xb68
0xfffffff009289724: 81068052  mov	w1, #0x34
0xfffffff009289728: 872bc897  bl	#0xfffffff008494544
0xfffffff00928972c: 7f2303d5  pacibsp	
0xfffffff009289730: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009289734: fd030091  mov	x29, sp
0xfffffff009289738: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff00928973c: 00c02b91  add	x0, x0, #0xaf0
0xfffffff009289740: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff009289744: 42fc2c91  add	x2, x2, #0xb3f
0xfffffff009289748: 21068052  mov	w1, #0x31
0xfffffff00928974c: 7e2bc897  bl	#0xfffffff008494544
0xfffffff009289750: 7f2303d5  pacibsp	
0xfffffff009289754: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009289758: fd030091  mov	x29, sp
0xfffffff00928975c: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009289760: 00e83391  add	x0, x0, #0xcfa
0xfffffff009289764: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff009289768: 42143591  add	x2, x2, #0xd45
0xfffffff00928976c: a10a8052  mov	w1, #0x55
0xfffffff009289770: 752bc897  bl	#0xfffffff008494544
0xfffffff009289774: 7f2303d5  pacibsp	
0xfffffff009289778: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00928977c: fd030091  mov	x29, sp
0xfffffff009289780: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009289784: 00e83391  add	x0, x0, #0xcfa
0xfffffff009289788: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff00928978c: 42883591  add	x2, x2, #0xd62
0xfffffff009289790: 210b8052  mov	w1, #0x59
0xfffffff009289794: 6c2bc897  bl	#0xfffffff008494544
0xfffffff009289798: 7f2303d5  pacibsp	
0xfffffff00928979c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092897a0: fd030091  mov	x29, sp
0xfffffff0092897a4: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff0092897a8: 00e83391  add	x0, x0, #0xcfa
0xfffffff0092897ac: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff0092897b0: 42283691  add	x2, x2, #0xd8a
0xfffffff0092897b4: 210c8052  mov	w1, #0x61
0xfffffff0092897b8: 632bc897  bl	#0xfffffff008494544
0xfffffff0092897bc: 7f2303d5  pacibsp	
0xfffffff0092897c0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092897c4: fd030091  mov	x29, sp
0xfffffff0092897c8: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff0092897cc: 00e83391  add	x0, x0, #0xcfa
0xfffffff0092897d0: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff0092897d4: 423c3791  add	x2, x2, #0xdcf
0xfffffff0092897d8: a10c8052  mov	w1, #0x65
