; Candidate 939
; ADRP+ADD at VM 0xfffffff00810da68 (fileoff 0x1109a68): page=0x210a000 add_imm=0xdb8

0xfffffff00810d9e8: 31e23191  add	x17, x17, #0xc78
0xfffffff00810d9ec: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff00810d9f0: 11000010  adr	x17, #0xfffffff00810d9f0
0xfffffff00810d9f4: 3002108b  add	x16, x17, x16
0xfffffff00810d9f8: 00021fd6  br	x16
0xfffffff00810d9fc: 9f2403d5  bti	j
0xfffffff00810da00: 1fa70039  strb	wzr, [x24, #0x29]
0xfffffff00810da04: 1f5f0079  strh	wzr, [x24, #0x2e]
0xfffffff00810da08: 67000014  b	#0xfffffff00810dba4
0xfffffff00810da0c: 9f2403d5  bti	j
0xfffffff00810da10: 1fa70039  strb	wzr, [x24, #0x29]
0xfffffff00810da14: 1f5f0079  strh	wzr, [x24, #0x2e]
0xfffffff00810da18: 08e0a152  mov	w8, #0xf000000
0xfffffff00810da1c: e81700b9  str	w8, [sp, #0x14]
0xfffffff00810da20: 00e30091  add	x0, x24, #0x38
0xfffffff00810da24: e1530091  add	x1, sp, #0x14
0xfffffff00810da28: 82008052  mov	w2, #4
0xfffffff00810da2c: d9fbf097  bl	#0xfffffff007d4c990
0xfffffff00810da30: 5d000014  b	#0xfffffff00810dba4
0xfffffff00810da34: 9f2403d5  bti	j
0xfffffff00810da38: 080080d2  mov	x8, #0
0xfffffff00810da3c: 1fa70039  strb	wzr, [x24, #0x29]
0xfffffff00810da40: c90a40f9  ldr	x9, [x22, #0x10]
0xfffffff00810da44: 1f5f0079  strh	wzr, [x24, #0x2e]
0xfffffff00810da48: 3f3900b9  str	wzr, [x9, #0x38]
0xfffffff00810da4c: 94d038d5  mrs	x20, tpidr_el1
0xfffffff00810da50: 891a44b9  ldr	w9, [x20, #0x418]
0xfffffff00810da54: 580801d0  adrp	x24, #0xfffffff00a217000
0xfffffff00810da58: 18c33691  add	x24, x24, #0xdb0
0xfffffff00810da5c: 097fe8c8  casa	x8, x9, [x24]
0xfffffff00810da60: 1f0100f1  cmp	x8, #0
0xfffffff00810da64: 810d0054  b.ne	#0xfffffff00810dc14
0xfffffff00810da68: 400801d0  adrp	x0, #0xfffffff00a217000
0xfffffff00810da6c: 00e03691  add	x0, x0, #0xdb8
0xfffffff00810da70: e43ef197  bl	#0xfffffff007d5d600
0xfffffff00810da74: e10315aa  mov	x1, x21
0xfffffff00810da78: 2e050094  bl	#0xfffffff00810ef30
0xfffffff00810da7c: c00200f9  str	x0, [x22]
0xfffffff00810da80: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff00810da84: e20308aa  mov	x2, x8
0xfffffff00810da88: 1fffa288  casl	w2, wzr, [x24]
0xfffffff00810da8c: 5f00086b  cmp	w2, w8
0xfffffff00810da90: e10c0054  b.ne	#0xfffffff00810dc2c
0xfffffff00810da94: c80240f9  ldr	x8, [x22]
0xfffffff00810da98: 48f6ffb4  cbz	x8, #0xfffffff00810d960
0xfffffff00810da9c: 090140f9  ldr	x9, [x8]
0xfffffff00810daa0: 09f6ffb5  cbnz	x9, #0xfffffff00810d960
0xfffffff00810daa4: 081940b9  ldr	w8, [x8, #0x18]
0xfffffff00810daa8: c96240b9  ldr	w9, [x22, #0x60]
0xfffffff00810daac: 2801080b  add	w8, w9, w8
0xfffffff00810dab0: 3c000014  b	#0xfffffff00810dba0
0xfffffff00810dab4: 9f2403d5  bti	j
0xfffffff00810dab8: 1fa70039  strb	wzr, [x24, #0x29]
0xfffffff00810dabc: 08078052  mov	w8, #0x38
0xfffffff00810dac0: c81a00b9  str	w8, [x22, #0x18]
0xfffffff00810dac4: c86200b9  str	w8, [x22, #0x60]
0xfffffff00810dac8: c87a4039  ldrb	w8, [x22, #0x1e]
0xfffffff00810dacc: e8030037  tbnz	w8, #0, #0xfffffff00810db48
0xfffffff00810dad0: c8820391  add	x8, x22, #0xe0
0xfffffff00810dad4: 09248052  mov	w9, #0x120
0xfffffff00810dad8: 26000014  b	#0xfffffff00810db70
0xfffffff00810dadc: e1630191  add	x1, sp, #0x58
0xfffffff00810dae0: e00314aa  mov	x0, x20
0xfffffff00810dae4: e20318aa  mov	x2, x24
