; Candidate 13280
; ADRP+ADD at VM 0xfffffff009265254 (fileoff 0x2261254): page=0x1fe257000 add_imm=0xd85

0xfffffff0092651d4: 21a01b91  add	x1, x1, #0x6e8
0xfffffff0092651d8: 82008052  mov	w2, #4
0xfffffff0092651dc: 771fc897  bl	#0xfffffff00846cfb8
0xfffffff0092651e0: a012fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff0092651e4: 00c83291  add	x0, x0, #0xcb2
0xfffffff0092651e8: 018600d0  adrp	x1, #0xfffffff00a327000
0xfffffff0092651ec: 21b01b91  add	x1, x1, #0x6ec
0xfffffff0092651f0: 22008052  mov	w2, #1
0xfffffff0092651f4: 711fc897  bl	#0xfffffff00846cfb8
0xfffffff0092651f8: a012fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff0092651fc: 001c3391  add	x0, x0, #0xcc7
0xfffffff009265200: c18500d0  adrp	x1, #0xfffffff00a31f000
0xfffffff009265204: 21842991  add	x1, x1, #0xa61
0xfffffff009265208: 22008052  mov	w2, #1
0xfffffff00926520c: 6b1fc897  bl	#0xfffffff00846cfb8
0xfffffff009265210: a012fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009265214: 007c3391  add	x0, x0, #0xcdf
0xfffffff009265218: 018600d0  adrp	x1, #0xfffffff00a327000
0xfffffff00926521c: 21b41b91  add	x1, x1, #0x6ed
0xfffffff009265220: 22008052  mov	w2, #1
0xfffffff009265224: 651fc897  bl	#0xfffffff00846cfb8
0xfffffff009265228: 9619ad97  bl	#0xfffffff007dab880
0xfffffff00926522c: 188600d0  adrp	x24, #0xfffffff00a327000
0xfffffff009265230: 006f03f9  str	x0, [x24, #0x6d8]
0xfffffff009265234: 409800b4  cbz	x0, #0xfffffff00926653c
0xfffffff009265238: 8d19ad97  bl	#0xfffffff007dab86c
0xfffffff00926523c: 3118ad97  bl	#0xfffffff007dab300
0xfffffff009265240: 158600d0  adrp	x21, #0xfffffff00a327000
0xfffffff009265244: a07203f9  str	x0, [x21, #0x6e0]
0xfffffff009265248: 409800b4  cbz	x0, #0xfffffff009266550
0xfffffff00926524c: 3918ad97  bl	#0xfffffff007dab330
0xfffffff009265250: a17243f9  ldr	x1, [x21, #0x6e0]
0xfffffff009265254: a012fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009265258: 00143691  add	x0, x0, #0xd85
0xfffffff00926525c: 4418ad97  bl	#0xfffffff007dab36c
0xfffffff009265260: 178600d0  adrp	x23, #0xfffffff00a327000
0xfffffff009265264: e06a03f9  str	x0, [x23, #0x6d0]
0xfffffff009265268: 8849ffb0  adrp	x8, #0xfffffff007b96000
0xfffffff00926526c: 089546f9  ldr	x8, [x8, #0xd28]
0xfffffff009265270: 010140f9  ldr	x1, [x8]
0xfffffff009265274: e00314aa  mov	x0, x20
0xfffffff009265278: 9ffac197  bl	#0xfffffff0082e3cf4
0xfffffff00926527c: 604600f9  str	x0, [x19, #0x88]
0xfffffff009265280: a09400b4  cbz	x0, #0xfffffff009266514
0xfffffff009265284: 8849ffb0  adrp	x8, #0xfffffff007b96000
0xfffffff009265288: 08c546f9  ldr	x8, [x8, #0xd88]
0xfffffff00926528c: 09010b91  add	x9, x8, #0x2c0
0xfffffff009265290: 086141f9  ldr	x8, [x8, #0x2c0]
0xfffffff009265294: e00313aa  mov	x0, x19
0xfffffff009265298: e10314aa  mov	x1, x20
0xfffffff00926529c: f10309aa  mov	x17, x9
0xfffffff0092652a0: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff0092652a4: 11093fd7  blraa	x8, x17
0xfffffff0092652a8: 60930036  tbz	w0, #0, #0xfffffff009266514
0xfffffff0092652ac: a012fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff0092652b0: 00f03691  add	x0, x0, #0xdbc
0xfffffff0092652b4: 5bc7c397  bl	#0xfffffff008357020
0xfffffff0092652b8: 4e0c0094  bl	#0xfffffff0092683f0
0xfffffff0092652bc: 604a00f9  str	x0, [x19, #0x90]
0xfffffff0092652c0: 209500b4  cbz	x0, #0xfffffff009266564
0xfffffff0092652c4: 8849ffb0  adrp	x8, #0xfffffff007b96000
0xfffffff0092652c8: 08d546f9  ldr	x8, [x8, #0xda8]
0xfffffff0092652cc: 000140f9  ldr	x0, [x8]
0xfffffff0092652d0: 010080d2  mov	x1, #0
