; Candidate 16398
; ADRP+ADD at VM 0xfffffff009e84748 (fileoff 0x2e80748): page=0x1fd9b0000 add_imm=0xecc

0xfffffff009e846c8: 360500b4  cbz	x22, #0xfffffff009e8476c
0xfffffff009e846cc: c80240f9  ldr	x8, [x22]
0xfffffff009e846d0: 0c000014  b	#0xfffffff009e84700
0xfffffff009e846d4: ff1f00f9  str	xzr, [sp, #0x38]
0xfffffff009e846d8: 60220591  add	x0, x19, #0x148
0xfffffff009e846dc: f7e30091  add	x23, sp, #0x38
0xfffffff009e846e0: e3e30091  add	x3, sp, #0x38
0xfffffff009e846e4: a1008052  mov	w1, #5
0xfffffff009e846e8: 020080d2  mov	x2, #0
0xfffffff009e846ec: 04018052  mov	w4, #8
0xfffffff009e846f0: 9b570394  bl	#0xfffffff009f5a55c
0xfffffff009e846f4: 1f000071  cmp	w0, #0
0xfffffff009e846f8: e802969a  csel	x8, x23, x22, eq
0xfffffff009e846fc: 080140f9  ldr	x8, [x8]
0xfffffff009e84700: a80200f9  str	x8, [x21]
0xfffffff009e84704: 687200f9  str	x8, [x19, #0xe0]
0xfffffff009e84708: a80240f9  ldr	x8, [x21]
0xfffffff009e8470c: 03000014  b	#0xfffffff009e84718
0xfffffff009e84710: 687240f9  ldr	x8, [x19, #0xe0]
0xfffffff009e84714: a80200f9  str	x8, [x21]
0xfffffff009e84718: 09fd77d3  lsr	x9, x8, #0x37
0xfffffff009e8471c: c90100b4  cbz	x9, #0xfffffff009e84754
0xfffffff009e84720: 093e8452  mov	w9, #0x21f0
0xfffffff009e84724: 8902098b  add	x9, x20, x9
0xfffffff009e84728: 6a0640f9  ldr	x10, [x19, #8]
0xfffffff009e8472c: 0bf0ff92  mov	x11, #0x7fffffffffffff
0xfffffff009e84730: e82f02a9  stp	x8, x11, [sp, #0x20]
0xfffffff009e84734: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff009e84738: 88cdfe90  adrp	x8, #0xfffffff007834000
0xfffffff009e8473c: 083d3c91  add	x8, x8, #0xf0f
0xfffffff009e84740: e96e8552  mov	w9, #0x2b77
0xfffffff009e84744: e82700a9  stp	x8, x9, [sp]
0xfffffff009e84748: 80cdfe90  adrp	x0, #0xfffffff007834000
0xfffffff009e8474c: 00303b91  add	x0, x0, #0xecc
0xfffffff009e84750: 3cecff97  bl	#0xfffffff009e7f840
0xfffffff009e84754: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff009e84758: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff009e8475c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff009e84760: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff009e84764: ff030291  add	sp, sp, #0x80
0xfffffff009e84768: ff0f5fd6  retab	
0xfffffff009e8476c: bf0200f9  str	xzr, [x21]
0xfffffff009e84770: f9ffff17  b	#0xfffffff009e84754
0xfffffff009e84774: 7f2303d5  pacibsp	
0xfffffff009e84778: ff8302d1  sub	sp, sp, #0xa0
0xfffffff009e8477c: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff009e84780: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff009e84784: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff009e84788: fd430291  add	x29, sp, #0x90
0xfffffff009e8478c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009e84790: e00301ad  stp	q0, q0, [sp, #0x20]
0xfffffff009e84794: 420900b4  cbz	x2, #0xfffffff009e848bc
0xfffffff009e84798: f30302aa  mov	x19, x2
0xfffffff009e8479c: f50301aa  mov	x21, x1
0xfffffff009e847a0: f40300aa  mov	x20, x0
0xfffffff009e847a4: e00301aa  mov	x0, x1
0xfffffff009e847a8: 55000094  bl	#0xfffffff009e848fc
0xfffffff009e847ac: a10640f9  ldr	x1, [x21, #8]
0xfffffff009e847b0: e2830091  add	x2, sp, #0x20
0xfffffff009e847b4: e00314aa  mov	x0, x20
0xfffffff009e847b8: 7a3a0294  bl	#0xfffffff009f131a0
0xfffffff009e847bc: 40030034  cbz	w0, #0xfffffff009e84824
0xfffffff009e847c0: bf831df8  stur	xzr, [x29, #-0x28]
0xfffffff009e847c4: 837e40f9  ldr	x3, [x20, #0xf8]
