; Candidate 11141
; ADRP+ADD at VM 0xfffffff008e7a570 (fileoff 0x1e76570): page=0x1fe55f000 add_imm=0xe99

0xfffffff008e7a4f0: ca1640f9  ldr	x10, [x22, #0x28]
0xfffffff008e7a4f4: eb430091  add	x11, sp, #0x10
0xfffffff008e7a4f8: 6b017eb2  orr	x11, x11, #4
0xfffffff008e7a4fc: 2c0140b9  ldr	w12, [x9]
0xfffffff008e7a500: 6cc11fb8  stur	w12, [x11, #-4]
0xfffffff008e7a504: 4c0140b9  ldr	w12, [x10]
0xfffffff008e7a508: 8d150051  sub	w13, w12, #5
0xfffffff008e7a50c: bf150031  cmn	w13, #5
0xfffffff008e7a510: 69060054  b.ls	#0xfffffff008e7a5dc
0xfffffff008e7a514: 8c050051  sub	w12, w12, #1
0xfffffff008e7a518: ac4a6c38  ldrb	w12, [x21, w12, uxtw]
0xfffffff008e7a51c: 6c0501b8  str	w12, [x11], #0x10
0xfffffff008e7a520: 4a310091  add	x10, x10, #0xc
0xfffffff008e7a524: 29110091  add	x9, x9, #4
0xfffffff008e7a528: 080500f1  subs	x8, x8, #1
0xfffffff008e7a52c: 81feff54  b.ne	#0xfffffff008e7a4fc
0xfffffff008e7a530: d00240f9  ldr	x16, [x22]
0xfffffff008e7a534: f10316aa  mov	x17, x22
0xfffffff008e7a538: d105e3f2  movk	x17, #0x182e, lsl #48
0xfffffff008e7a53c: 301ac1da  autda	x16, x17
0xfffffff008e7a540: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008e7a544: e90310aa  mov	x9, x16
0xfffffff008e7a548: e00316aa  mov	x0, x22
0xfffffff008e7a54c: f10309aa  mov	x17, x9
0xfffffff008e7a550: b1ecf2f2  movk	x17, #0x9765, lsl #48
0xfffffff008e7a554: 11093fd7  blraa	x8, x17
0xfffffff008e7a558: e0430091  add	x0, sp, #0x10
0xfffffff008e7a55c: 41efff97  bl	#0xfffffff008e76260
0xfffffff008e7a560: f60300aa  mov	x22, x0
0xfffffff008e7a564: b60200b5  cbnz	x22, #0xfffffff008e7a5b8
0xfffffff008e7a568: 05000014  b	#0xfffffff008e7a57c
0xfffffff008e7a56c: f70300f9  str	x23, [sp]
0xfffffff008e7a570: e02afff0  adrp	x0, #0xfffffff0073d9000
0xfffffff008e7a574: 00643a91  add	x0, x0, #0xe99
0xfffffff008e7a578: aa72d397  bl	#0xfffffff008357020
0xfffffff008e7a57c: f75300a9  stp	x23, x20, [sp]
0xfffffff008e7a580: 002bff90  adrp	x0, #0xfffffff0073da000
0xfffffff008e7a584: 00f00591  add	x0, x0, #0x17c
0xfffffff008e7a588: a672d397  bl	#0xfffffff008357020
0xfffffff008e7a58c: 700240f9  ldr	x16, [x19]
0xfffffff008e7a590: f10313aa  mov	x17, x19
0xfffffff008e7a594: 9173e6f2  movk	x17, #0x339c, lsl #48
0xfffffff008e7a598: 301ac1da  autda	x16, x17
0xfffffff008e7a59c: 080e44f8  ldr	x8, [x16, #0x40]!
0xfffffff008e7a5a0: e90310aa  mov	x9, x16
0xfffffff008e7a5a4: e00313aa  mov	x0, x19
0xfffffff008e7a5a8: f10309aa  mov	x17, x9
0xfffffff008e7a5ac: 510cfff2  movk	x17, #0xf862, lsl #48
0xfffffff008e7a5b0: 11093fd7  blraa	x8, x17
0xfffffff008e7a5b4: f60300aa  mov	x22, x0
0xfffffff008e7a5b8: a00301d1  sub	x0, x29, #0x40
0xfffffff008e7a5bc: 63252b94  bl	#0xfffffff009943b48
0xfffffff008e7a5c0: e00316aa  mov	x0, x22
0xfffffff008e7a5c4: fd7b5aa9  ldp	x29, x30, [sp, #0x1a0]
0xfffffff008e7a5c8: f44f59a9  ldp	x20, x19, [sp, #0x190]
0xfffffff008e7a5cc: f65758a9  ldp	x22, x21, [sp, #0x180]
0xfffffff008e7a5d0: f85f57a9  ldp	x24, x23, [sp, #0x170]
0xfffffff008e7a5d4: ffc30691  add	sp, sp, #0x1b0
0xfffffff008e7a5d8: ff0f5fd6  retab	
0xfffffff008e7a5dc: 5a810194  bl	#0xfffffff008edab44
0xfffffff008e7a5e0: 5f2403d5  bti	c
0xfffffff008e7a5e4: 08404039  ldrb	w8, [x0, #0x10]
0xfffffff008e7a5e8: 09010032  orr	w9, w8, #1
0xfffffff008e7a5ec: 09400039  strb	w9, [x0, #0x10]
