; Candidate 11217
; ADRP+ADD at VM 0xfffffff008eb2328 (fileoff 0x1eae328): page=0x1fec5e000 add_imm=0xd40

0xfffffff008eb22a8: 1a01194b  sub	w26, w8, w25
0xfffffff008eb22ac: f77e4093  sxtw	x23, w23
0xfffffff008eb22b0: e00315aa  mov	x0, x21
0xfffffff008eb22b4: 291fc297  bl	#0xfffffff007f39f58
0xfffffff008eb22b8: fb0300aa  mov	x27, x0
0xfffffff008eb22bc: e00315aa  mov	x0, x21
0xfffffff008eb22c0: d71dc297  bl	#0xfffffff007f39a1c
0xfffffff008eb22c4: ff0300a9  stp	xzr, x0, [sp]
0xfffffff008eb22c8: 20008052  mov	w0, #1
0xfffffff008eb22cc: e10318aa  mov	x1, x24
0xfffffff008eb22d0: e20319aa  mov	x2, x25
0xfffffff008eb22d4: e3031aaa  mov	x3, x26
0xfffffff008eb22d8: e40317aa  mov	x4, x23
0xfffffff008eb22dc: 45008052  mov	w5, #2
0xfffffff008eb22e0: a6009052  mov	w6, #0x8005
0xfffffff008eb22e4: e7031baa  mov	x7, x27
0xfffffff008eb22e8: 680bc297  bl	#0xfffffff007f35088
0xfffffff008eb22ec: e00f40f9  ldr	x0, [sp, #0x18]
0xfffffff008eb22f0: 41008052  mov	w1, #2
0xfffffff008eb22f4: e20315aa  mov	x2, x21
0xfffffff008eb22f8: f27cc197  bl	#0xfffffff007f116c0
0xfffffff008eb22fc: 750000b4  cbz	x21, #0xfffffff008eb2308
0xfffffff008eb2300: e00315aa  mov	x0, x21
0xfffffff008eb2304: e91ec297  bl	#0xfffffff007f39ea8
0xfffffff008eb2308: 960000b4  cbz	x22, #0xfffffff008eb2318
0xfffffff008eb230c: e00316aa  mov	x0, x22
0xfffffff008eb2310: e10314aa  mov	x1, x20
0xfffffff008eb2314: 9b92d297  bl	#0xfffffff008356d80
0xfffffff008eb2318: 600240f9  ldr	x0, [x19]
0xfffffff008eb231c: 7f0200f9  str	xzr, [x19]
0xfffffff008eb2320: 0108a052  mov	w1, #0x400000
0xfffffff008eb2324: 9792d297  bl	#0xfffffff008356d80
0xfffffff008eb2328: e062ffd0  adrp	x0, #0xfffffff007b10000
0xfffffff008eb232c: 00003591  add	x0, x0, #0xd40
0xfffffff008eb2330: e10313aa  mov	x1, x19
0xfffffff008eb2334: 02048052  mov	w2, #0x20
0xfffffff008eb2338: ac92d297  bl	#0xfffffff008356de8
0xfffffff008eb233c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008eb2340: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008eb2344: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008eb2348: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008eb234c: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff008eb2350: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff008eb2354: ff030291  add	sp, sp, #0x80
0xfffffff008eb2358: ff0f5fd6  retab	
0xfffffff008eb235c: 5f2403d5  bti	c
0xfffffff008eb2360: 091040f9  ldr	x9, [x0, #0x20]
0xfffffff008eb2364: 28210091  add	x8, x9, #8
0xfffffff008eb2368: 081000f9  str	x8, [x0, #0x20]
0xfffffff008eb236c: 22050029  stp	w2, w1, [x9]
0xfffffff008eb2370: 090840f9  ldr	x9, [x0, #0x10]
0xfffffff008eb2374: 1f0109eb  cmp	x8, x9
0xfffffff008eb2378: 61000054  b.ne	#0xfffffff008eb2384
0xfffffff008eb237c: 080440f9  ldr	x8, [x0, #8]
0xfffffff008eb2380: 081000f9  str	x8, [x0, #0x20]
0xfffffff008eb2384: 0a0c40f9  ldr	x10, [x0, #0x18]
0xfffffff008eb2388: 5f0108eb  cmp	x10, x8
0xfffffff008eb238c: 40000054  b.eq	#0xfffffff008eb2394
0xfffffff008eb2390: c0035fd6  ret	
0xfffffff008eb2394: 08210091  add	x8, x8, #8
0xfffffff008eb2398: 080c00f9  str	x8, [x0, #0x18]
0xfffffff008eb239c: 1f0109eb  cmp	x8, x9
0xfffffff008eb23a0: 81ffff54  b.ne	#0xfffffff008eb2390
0xfffffff008eb23a4: 080440f9  ldr	x8, [x0, #8]
