; Candidate 822
; ADRP+ADD at VM 0xfffffff0080caf08 (fileoff 0x10c6f08): page=0x1fefab000 add_imm=0xe31

0xfffffff0080cae88: 08050051  sub	w8, w8, #1
0xfffffff0080cae8c: 088700b9  str	w8, [x24, #0x84]
0xfffffff0080cae90: 3cf9ffb4  cbz	x28, #0xfffffff0080cadb4
0xfffffff0080cae94: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff0080cae98: e20308aa  mov	x2, x8
0xfffffff0080cae9c: dffea288  casl	w2, wzr, [x22]
0xfffffff0080caea0: 5f00086b  cmp	w2, w8
0xfffffff0080caea4: 81010054  b.ne	#0xfffffff0080caed4
0xfffffff0080caea8: e00315aa  mov	x0, x21
0xfffffff0080caeac: d15785d2  mov	x17, #0x2abe
0xfffffff0080caeb0: 910b3fd7  blraa	x28, x17
0xfffffff0080caeb4: 080080d2  mov	x8, #0
0xfffffff0080caeb8: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff0080caebc: c97ee8c8  casa	x8, x9, [x22]
0xfffffff0080caec0: 1f0100f1  cmp	x8, #0
0xfffffff0080caec4: 21010054  b.ne	#0xfffffff0080caee8
0xfffffff0080caec8: e88240b9  ldr	w8, [x23, #0x80]
0xfffffff0080caecc: 48f7ff34  cbz	w8, #0xfffffff0080cadb4
0xfffffff0080caed0: a6ffff17  b	#0xfffffff0080cad68
0xfffffff0080caed4: a00b01f0  adrp	x0, #0xfffffff00a241000
0xfffffff0080caed8: 00c00191  add	x0, x0, #0x70
0xfffffff0080caedc: e10313aa  mov	x1, x19
0xfffffff0080caee0: 2186f397  bl	#0xfffffff007dac764
0xfffffff0080caee4: f1ffff17  b	#0xfffffff0080caea8
0xfffffff0080caee8: a00b01f0  adrp	x0, #0xfffffff00a241000
0xfffffff0080caeec: 00c00191  add	x0, x0, #0x70
0xfffffff0080caef0: e10313aa  mov	x1, x19
0xfffffff0080caef4: 02008052  mov	w2, #0
0xfffffff0080caef8: 0083f397  bl	#0xfffffff007dabaf8
0xfffffff0080caefc: e88240b9  ldr	w8, [x23, #0x80]
0xfffffff0080caf00: a8f5ff34  cbz	w8, #0xfffffff0080cadb4
0xfffffff0080caf04: 99ffff17  b	#0xfffffff0080cad68
0xfffffff0080caf08: 407dfff0  adrp	x0, #0xfffffff007075000
0xfffffff0080caf0c: 00c43891  add	x0, x0, #0xe31
0xfffffff0080caf10: 417dfff0  adrp	x1, #0xfffffff007075000
0xfffffff0080caf14: 21ac3991  add	x1, x1, #0xe6b
0xfffffff0080caf18: c20e8052  mov	w2, #0x76
0xfffffff0080caf1c: 3e520f94  bl	#0xfffffff00849f814
0xfffffff0080caf20: c90f8052  mov	w9, #0x7e
0xfffffff0080caf24: 02000014  b	#0xfffffff0080caf2c
0xfffffff0080caf28: e90f8052  mov	w9, #0x7f
0xfffffff0080caf2c: 4a7dfff0  adrp	x10, #0xfffffff007075000
0xfffffff0080caf30: 4a213891  add	x10, x10, #0xe08
0xfffffff0080caf34: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff0080caf38: e82700a9  stp	x8, x9, [sp]
0xfffffff0080caf3c: 607eff90  adrp	x0, #0xfffffff007096000
0xfffffff0080caf40: 00502c91  add	x0, x0, #0xb14
0xfffffff0080caf44: 72250f94  bl	#0xfffffff00849450c
0xfffffff0080caf48: c90f8052  mov	w9, #0x7e
0xfffffff0080caf4c: 02000014  b	#0xfffffff0080caf54
0xfffffff0080caf50: e90f8052  mov	w9, #0x7f
0xfffffff0080caf54: 4a7dfff0  adrp	x10, #0xfffffff007075000
0xfffffff0080caf58: 4a213891  add	x10, x10, #0xe08
0xfffffff0080caf5c: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff0080caf60: e82700a9  stp	x8, x9, [sp]
0xfffffff0080caf64: 607eff90  adrp	x0, #0xfffffff007096000
0xfffffff0080caf68: 00982b91  add	x0, x0, #0xae6
0xfffffff0080caf6c: 68250f94  bl	#0xfffffff00849450c
0xfffffff0080caf70: 407dfff0  adrp	x0, #0xfffffff007075000
0xfffffff0080caf74: 00c03a91  add	x0, x0, #0xeb0
0xfffffff0080caf78: 417dfff0  adrp	x1, #0xfffffff007075000
0xfffffff0080caf7c: 21ac3991  add	x1, x1, #0xe6b
0xfffffff0080caf80: 020f8052  mov	w2, #0x78
0xfffffff0080caf84: 24520f94  bl	#0xfffffff00849f814
