; Candidate 57
; ADRP+ADD at VM 0xfffffff007dbdee4 (fileoff 0xdb9ee4): page=0x1ff28a000 add_imm=0xe01

0xfffffff007dbde64: 682001f0  adrp	x8, #0xfffffff00a1cc000
0xfffffff007dbde68: 08810291  add	x8, x8, #0xa0
0xfffffff007dbde6c: 692001f0  adrp	x9, #0xfffffff00a1cc000
0xfffffff007dbde70: 29a10291  add	x9, x9, #0xa8
0xfffffff007dbde74: 1f080071  cmp	w0, #2
0xfffffff007dbde78: 0801899a  csel	x8, x8, x9, eq
0xfffffff007dbde7c: 080140f9  ldr	x8, [x8]
0xfffffff007dbde80: c02101f0  adrp	x0, #0xfffffff00a1f8000
0xfffffff007dbde84: 00c01091  add	x0, x0, #0x430
0xfffffff007dbde88: 880000b4  cbz	x8, #0xfffffff007dbde98
0xfffffff007dbde8c: 091540f9  ldr	x9, [x8, #0x28]
0xfffffff007dbde90: 3f0100f1  cmp	x9, #0
0xfffffff007dbde94: 0000889a  csel	x0, x0, x8, eq
0xfffffff007dbde98: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff007dbde9c: ff0f5fd6  retab	
0xfffffff007dbdea0: 7f2303d5  pacibsp	
0xfffffff007dbdea4: ffc300d1  sub	sp, sp, #0x30
0xfffffff007dbdea8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007dbdeac: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007dbdeb0: fd830091  add	x29, sp, #0x20
0xfffffff007dbdeb4: ff0f00b9  str	wzr, [sp, #0xc]
0xfffffff007dbdeb8: 94ddffb0  adrp	x20, #0xfffffff00796e000
0xfffffff007dbdebc: 88ca46f9  ldr	x8, [x20, #0xd90]
0xfffffff007dbdec0: 00b10191  add	x0, x8, #0x6c
0xfffffff007dbdec4: 4194ffd0  adrp	x1, #0xfffffff007047000
0xfffffff007dbdec8: 21ac3791  add	x1, x1, #0xdeb
0xfffffff007dbdecc: 421f01f0  adrp	x2, #0xfffffff00a1a8000
0xfffffff007dbded0: 42d01891  add	x2, x2, #0x634
0xfffffff007dbded4: 83008052  mov	w3, #4
0xfffffff007dbded8: 04008052  mov	w4, #0
0xfffffff007dbdedc: 40bc1a94  bl	#0xfffffff00846cfdc
0xfffffff007dbdee0: 60010035  cbnz	w0, #0xfffffff007dbdf0c
0xfffffff007dbdee4: 4094ffd0  adrp	x0, #0xfffffff007047000
0xfffffff007dbdee8: 00043891  add	x0, x0, #0xe01
0xfffffff007dbdeec: 411f01f0  adrp	x1, #0xfffffff00a1a8000
0xfffffff007dbdef0: 21d01891  add	x1, x1, #0x634
0xfffffff007dbdef4: 82008052  mov	w2, #4
0xfffffff007dbdef8: 16be1a94  bl	#0xfffffff00846d750
0xfffffff007dbdefc: 80000035  cbnz	w0, #0xfffffff007dbdf0c
0xfffffff007dbdf00: 481f01f0  adrp	x8, #0xfffffff00a1a8000
0xfffffff007dbdf04: 49028052  mov	w9, #0x12
0xfffffff007dbdf08: 093506b9  str	w9, [x8, #0x634]
0xfffffff007dbdf0c: 88ca46f9  ldr	x8, [x20, #0xd90]
0xfffffff007dbdf10: 00b10191  add	x0, x8, #0x6c
0xfffffff007dbdf14: 4194ffd0  adrp	x1, #0xfffffff007047000
0xfffffff007dbdf18: 21703891  add	x1, x1, #0xe1c
0xfffffff007dbdf1c: a21f0190  adrp	x2, #0xfffffff00a1b1000
0xfffffff007dbdf20: 42601291  add	x2, x2, #0x498
0xfffffff007dbdf24: 83008052  mov	w3, #4
0xfffffff007dbdf28: 04008052  mov	w4, #0
0xfffffff007dbdf2c: 2cbc1a94  bl	#0xfffffff00846cfdc
0xfffffff007dbdf30: 4094ffd0  adrp	x0, #0xfffffff007047000
0xfffffff007dbdf34: 009c3791  add	x0, x0, #0xde7
0xfffffff007dbdf38: b27dfe97  bl	#0xfffffff007d5d600
0xfffffff007dbdf3c: 02040091  add	x2, x0, #1
0xfffffff007dbdf40: 5fbc00f1  cmp	x2, #0x2f
0xfffffff007dbdf44: e8000054  b.hi	#0xfffffff007dbdf60
0xfffffff007dbdf48: a0220190  adrp	x0, #0xfffffff00a211000
0xfffffff007dbdf4c: 00300091  add	x0, x0, #0xc
0xfffffff007dbdf50: 4194ffd0  adrp	x1, #0xfffffff007047000
0xfffffff007dbdf54: 219c3791  add	x1, x1, #0xde7
0xfffffff007dbdf58: 8e3afe97  bl	#0xfffffff007d4c990
0xfffffff007dbdf5c: 09000014  b	#0xfffffff007dbdf80
0xfffffff007dbdf60: b3220190  adrp	x19, #0xfffffff00a211000
