; Candidate 9623
; ADRP+ADD at VM 0xfffffff008a83d8c (fileoff 0x1a7fd8c): page=0x1fe82f000 add_imm=0xd6a

0xfffffff008a83d0c: 700240f9  ldr	x16, [x19]
0xfffffff008a83d10: f10313aa  mov	x17, x19
0xfffffff008a83d14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a83d18: 301ac1da  autda	x16, x17
0xfffffff008a83d1c: 116e80d2  mov	x17, #0x370
0xfffffff008a83d20: 1002118b  add	x16, x16, x17
0xfffffff008a83d24: 080240f9  ldr	x8, [x16]
0xfffffff008a83d28: e90310aa  mov	x9, x16
0xfffffff008a83d2c: e00313aa  mov	x0, x19
0xfffffff008a83d30: f10309aa  mov	x17, x9
0xfffffff008a83d34: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a83d38: 11093fd7  blraa	x8, x17
0xfffffff008a83d3c: 100040f9  ldr	x16, [x0]
0xfffffff008a83d40: f10300aa  mov	x17, x0
0xfffffff008a83d44: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a83d48: 301ac1da  autda	x16, x17
0xfffffff008a83d4c: 113d80d2  mov	x17, #0x1e8
0xfffffff008a83d50: 1002118b  add	x16, x16, x17
0xfffffff008a83d54: 080240f9  ldr	x8, [x16]
0xfffffff008a83d58: e90310aa  mov	x9, x16
0xfffffff008a83d5c: 010080d2  mov	x1, #0
0xfffffff008a83d60: f10309aa  mov	x17, x9
0xfffffff008a83d64: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a83d68: 11093fd7  blraa	x8, x17
0xfffffff008a83d6c: 03000014  b	#0xfffffff008a83d78
0xfffffff008a83d70: 6041ffd0  adrp	x0, #0xfffffff0072b1000
0xfffffff008a83d74: 00481c91  add	x0, x0, #0x712
0xfffffff008a83d78: 880240b9  ldr	w8, [x20]
0xfffffff008a83d7c: 6941fff0  adrp	x9, #0xfffffff0072b2000
0xfffffff008a83d80: 29193691  add	x9, x9, #0xd86
0xfffffff008a83d84: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008a83d88: f52700a9  stp	x21, x9, [sp]
0xfffffff008a83d8c: 6041fff0  adrp	x0, #0xfffffff0072b2000
0xfffffff008a83d90: 00a83591  add	x0, x0, #0xd6a
0xfffffff008a83d94: a34ce397  bl	#0xfffffff008357020
0xfffffff008a83d98: 880240b9  ldr	w8, [x20]
0xfffffff008a83d9c: 091c8252  mov	w9, #0x10e0
0xfffffff008a83da0: 6102098b  add	x1, x19, x9
0xfffffff008a83da4: 68e210b9  str	w8, [x19, #0x10e0]
0xfffffff008a83da8: 606e48f9  ldr	x0, [x19, #0x10d8]
0xfffffff008a83dac: 100040f9  ldr	x16, [x0]
0xfffffff008a83db0: f10300aa  mov	x17, x0
0xfffffff008a83db4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a83db8: 301ac1da  autda	x16, x17
0xfffffff008a83dbc: 112180d2  mov	x17, #0x108
0xfffffff008a83dc0: 1002118b  add	x16, x16, x17
0xfffffff008a83dc4: 080240f9  ldr	x8, [x16]
0xfffffff008a83dc8: e30310aa  mov	x3, x16
0xfffffff008a83dcc: f00308aa  mov	x16, x8
0xfffffff008a83dd0: 02008052  mov	w2, #0
0xfffffff008a83dd4: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008a83dd8: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008a83ddc: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008a83de0: ff430191  add	sp, sp, #0x50
0xfffffff008a83de4: ff2303d5  autibsp	
0xfffffff008a83de8: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008a83dec: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008a83df4
0xfffffff008a83df0: 208e38d4  brk	#0xc471
0xfffffff008a83df4: f10303aa  mov	x17, x3
0xfffffff008a83df8: 916dfef2  movk	x17, #0xf36c, lsl #48
0xfffffff008a83dfc: 110a1fd7  braa	x16, x17
0xfffffff008a83e00: 7f2303d5  pacibsp	
0xfffffff008a83e04: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008a83e08: f44f01a9  stp	x20, x19, [sp, #0x10]
