; Candidate 12351
; ADRP+ADD at VM 0xfffffff00908cd2c (fileoff 0x2088d2c): page=0x1fe3cd000 add_imm=0xe24

0xfffffff00908ccac: 00583191  add	x0, x0, #0xc56
0xfffffff00908ccb0: dc28cb97  bl	#0xfffffff008357020
0xfffffff00908ccb4: 68a24439  ldrb	w8, [x19, #0x128]
0xfffffff00908ccb8: 68000034  cbz	w8, #0xfffffff00908ccc4
0xfffffff00908ccbc: 13008052  mov	w19, #0
0xfffffff00908ccc0: 0f000014  b	#0xfffffff00908ccfc
0xfffffff00908ccc4: 688640f9  ldr	x8, [x19, #0x108]
0xfffffff00908ccc8: a8ffffb4  cbz	x8, #0xfffffff00908ccbc
0xfffffff00908cccc: bfb31d38  sturb	wzr, [x29, #-0x25]
0xfffffff00908ccd0: a29700d1  sub	x2, x29, #0x25
0xfffffff00908ccd4: a39300d1  sub	x3, x29, #0x24
0xfffffff00908ccd8: a1008012  mov	w1, #-6
0xfffffff00908ccdc: b1fcff97  bl	#0xfffffff00908bfa0
0xfffffff00908cce0: 80030035  cbnz	w0, #0xfffffff00908cd50
0xfffffff00908cce4: b4b35d38  ldurb	w20, [x29, #-0x25]
0xfffffff00908cce8: e00313aa  mov	x0, x19
0xfffffff00908ccec: e10314aa  mov	x1, x20
0xfffffff00908ccf0: 32ffff97  bl	#0xfffffff00908c9b8
0xfffffff00908ccf4: f30300aa  mov	x19, x0
0xfffffff00908ccf8: 20060035  cbnz	w0, #0xfffffff00908cdbc
0xfffffff00908ccfc: 48018052  mov	w8, #0xa
0xfffffff00908cd00: a9024039  ldrb	w9, [x21]
0xfffffff00908cd04: 1f01096b  cmp	w8, w9
0xfffffff00908cd08: 83010054  b.lo	#0xfffffff00908cd38
0xfffffff00908cd0c: e80313aa  mov	x8, x19
0xfffffff00908cd10: 087d4093  sxtw	x8, w8
0xfffffff00908cd14: 891effb0  adrp	x9, #0xfffffff00745d000
0xfffffff00908cd18: 29693991  add	x9, x9, #0xe5a
0xfffffff00908cd1c: 8a1effb0  adrp	x10, #0xfffffff00745d000
0xfffffff00908cd20: 4a792f91  add	x10, x10, #0xbde
0xfffffff00908cd24: ea2700a9  stp	x10, x9, [sp]
0xfffffff00908cd28: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908cd2c: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908cd30: 00903891  add	x0, x0, #0xe24
0xfffffff00908cd34: bb28cb97  bl	#0xfffffff008357020
0xfffffff00908cd38: e00313aa  mov	x0, x19
0xfffffff00908cd3c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00908cd40: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00908cd44: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00908cd48: ff830191  add	sp, sp, #0x60
0xfffffff00908cd4c: ff0f5fd6  retab	
0xfffffff00908cd50: 087c4093  sxtw	x8, w0
0xfffffff00908cd54: 29328052  mov	w9, #0x191
0xfffffff00908cd58: 8a1effb0  adrp	x10, #0xfffffff00745d000
0xfffffff00908cd5c: 4aa12f91  add	x10, x10, #0xbe8
0xfffffff00908cd60: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff00908cd64: 691effb0  adrp	x9, #0xfffffff007459000
0xfffffff00908cd68: 29b92d91  add	x9, x9, #0xb6e
0xfffffff00908cd6c: 8b1eff90  adrp	x11, #0xfffffff00745c000
0xfffffff00908cd70: 6b151f91  add	x11, x11, #0x7c5
0xfffffff00908cd74: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00908cd78: eb0300f9  str	x11, [sp]
0xfffffff00908cd7c: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908cd80: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908cd84: a728cb97  bl	#0xfffffff008357020
0xfffffff00908cd88: a8024039  ldrb	w8, [x21]
0xfffffff00908cd8c: 1f190171  cmp	w8, #0x46
0xfffffff00908cd90: 28010054  b.hi	#0xfffffff00908cdb4
0xfffffff00908cd94: 881effb0  adrp	x8, #0xfffffff00745d000
0xfffffff00908cd98: 08693991  add	x8, x8, #0xe5a
0xfffffff00908cd9c: 891effb0  adrp	x9, #0xfffffff00745d000
0xfffffff00908cda0: 29792f91  add	x9, x9, #0xbde
0xfffffff00908cda4: e92300a9  stp	x9, x8, [sp]
0xfffffff00908cda8: 801effb0  adrp	x0, #0xfffffff00745d000
