; Candidate 9252
; ADRP+ADD at VM 0xfffffff008a15128 (fileoff 0x1a11128): page=0x1fe884000 add_imm=0xe40

0xfffffff008a150a8: 63082591  add	x3, x3, #0x942
0xfffffff008a150ac: 02008052  mov	w2, #0
0xfffffff008a150b0: 2078e497  bl	#0xfffffff008333130
0xfffffff008a150b4: b40240f9  ldr	x20, [x21]
0xfffffff008a150b8: 38000014  b	#0xfffffff008a15198
0xfffffff008a150bc: 700240f9  ldr	x16, [x19]
0xfffffff008a150c0: f10313aa  mov	x17, x19
0xfffffff008a150c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a150c8: 301ac1da  autda	x16, x17
0xfffffff008a150cc: 113d80d2  mov	x17, #0x1e8
0xfffffff008a150d0: 1002118b  add	x16, x16, x17
0xfffffff008a150d4: 080240f9  ldr	x8, [x16]
0xfffffff008a150d8: e90310aa  mov	x9, x16
0xfffffff008a150dc: e00313aa  mov	x0, x19
0xfffffff008a150e0: 010080d2  mov	x1, #0
0xfffffff008a150e4: f10309aa  mov	x17, x9
0xfffffff008a150e8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a150ec: 11093fd7  blraa	x8, x17
0xfffffff008a150f0: 700240f9  ldr	x16, [x19]
0xfffffff008a150f4: f10313aa  mov	x17, x19
0xfffffff008a150f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a150fc: 301ac1da  autda	x16, x17
0xfffffff008a15100: 113d80d2  mov	x17, #0x1e8
0xfffffff008a15104: 1002118b  add	x16, x16, x17
0xfffffff008a15108: 080240f9  ldr	x8, [x16]
0xfffffff008a1510c: e90310aa  mov	x9, x16
0xfffffff008a15110: e00313aa  mov	x0, x19
0xfffffff008a15114: 010080d2  mov	x1, #0
0xfffffff008a15118: f10309aa  mov	x17, x9
0xfffffff008a1511c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a15120: 11093fd7  blraa	x8, x17
0xfffffff008a15124: e00300f9  str	x0, [sp]
0xfffffff008a15128: 2044ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a1512c: 00003991  add	x0, x0, #0xe40
0xfffffff008a15130: a181ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a15134: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a15138: 4344ffd0  adrp	x3, #0xfffffff00729f000
0xfffffff008a1513c: 63542491  add	x3, x3, #0x915
0xfffffff008a15140: 02028052  mov	w2, #0x10
0xfffffff008a15144: fb77e497  bl	#0xfffffff008333130
0xfffffff008a15148: 700240f9  ldr	x16, [x19]
0xfffffff008a1514c: f10313aa  mov	x17, x19
0xfffffff008a15150: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a15154: 301ac1da  autda	x16, x17
0xfffffff008a15158: f10310aa  mov	x17, x16
0xfffffff008a1515c: f147c1da  xpacd	x17
0xfffffff008a15160: 1f0211eb  cmp	x16, x17
0xfffffff008a15164: 40000054  b.eq	#0xfffffff008a1516c
0xfffffff008a15168: 408e38d4  brk	#0xc472
0xfffffff008a1516c: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a15170: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a15174: e00313aa  mov	x0, x19
0xfffffff008a15178: 010080d2  mov	x1, #0
0xfffffff008a1517c: f10308aa  mov	x17, x8
0xfffffff008a15180: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a15184: 31093fd7  blraa	x9, x17
0xfffffff008a15188: e00300f9  str	x0, [sp]
0xfffffff008a1518c: 2044ffd0  adrp	x0, #0xfffffff00729b000
0xfffffff008a15190: 008c3a91  add	x0, x0, #0xea3
0xfffffff008a15194: a307e597  bl	#0xfffffff008357020
0xfffffff008a15198: e00314aa  mov	x0, x20
0xfffffff008a1519c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008a151a0: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008a151a4: f65741a9  ldp	x22, x21, [sp, #0x10]
