; Candidate 12990
; ADRP+ADD at VM 0xfffffff0091a9d14 (fileoff 0x21a5d14): page=0x1fe2ee000 add_imm=0xde9

0xfffffff0091a9c94: 08e21091  add	x8, x16, #0x438
0xfffffff0091a9c98: 091e42f9  ldr	x9, [x16, #0x438]
0xfffffff0091a9c9c: 10000090  adrp	x16, #0xfffffff0091a9000
0xfffffff0091a9ca0: 10122c91  add	x16, x16, #0xb04
0xfffffff0091a9ca4: 519a80d2  mov	x17, #0x4d2
0xfffffff0091a9ca8: 3002c1da  pacia	x16, x17
0xfffffff0091a9cac: e20310aa  mov	x2, x16
0xfffffff0091a9cb0: e30314aa  mov	x3, x20
0xfffffff0091a9cb4: 040080d2  mov	x4, #0
0xfffffff0091a9cb8: f10308aa  mov	x17, x8
0xfffffff0091a9cbc: f101f0f2  movk	x17, #0x800f, lsl #48
0xfffffff0091a9cc0: 31093fd7  blraa	x9, x17
0xfffffff0091a9cc4: 80f200f9  str	x0, [x20, #0x1e0]
0xfffffff0091a9cc8: f30200b4  cbz	x19, #0xfffffff0091a9d24
0xfffffff0091a9ccc: 700240f9  ldr	x16, [x19]
0xfffffff0091a9cd0: f10313aa  mov	x17, x19
0xfffffff0091a9cd4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091a9cd8: 301ac1da  autda	x16, x17
0xfffffff0091a9cdc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0091a9ce0: e10310aa  mov	x1, x16
0xfffffff0091a9ce4: f00308aa  mov	x16, x8
0xfffffff0091a9ce8: e00313aa  mov	x0, x19
0xfffffff0091a9cec: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0091a9cf0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0091a9cf4: ffc30091  add	sp, sp, #0x30
0xfffffff0091a9cf8: ff2303d5  autibsp	
0xfffffff0091a9cfc: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0091a9d00: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0091a9d08
0xfffffff0091a9d04: 208e38d4  brk	#0xc471
0xfffffff0091a9d08: f10301aa  mov	x17, x1
0xfffffff0091a9d0c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0091a9d10: 110a1fd7  braa	x16, x17
0xfffffff0091a9d14: 6017ffd0  adrp	x0, #0xfffffff007497000
0xfffffff0091a9d18: 00a43791  add	x0, x0, #0xde9
0xfffffff0091a9d1c: c1b4c697  bl	#0xfffffff008357020
0xfffffff0091a9d20: 73fdffb5  cbnz	x19, #0xfffffff0091a9ccc
0xfffffff0091a9d24: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0091a9d28: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0091a9d2c: ffc30091  add	sp, sp, #0x30
0xfffffff0091a9d30: ff0f5fd6  retab	
0xfffffff0091a9d34: 7f2303d5  pacibsp	
0xfffffff0091a9d38: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0091a9d3c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0091a9d40: fd430091  add	x29, sp, #0x10
0xfffffff0091a9d44: f40300aa  mov	x20, x0
0xfffffff0091a9d48: 00ec40f9  ldr	x0, [x0, #0x1d8]
0xfffffff0091a9d4c: a00400b4  cbz	x0, #0xfffffff0091a9de0
0xfffffff0091a9d50: 084effd0  adrp	x8, #0xfffffff007b6b000
0xfffffff0091a9d54: 080541f9  ldr	x8, [x8, #0x208]
0xfffffff0091a9d58: 020140f9  ldr	x2, [x8]
0xfffffff0091a9d5c: 100040f9  ldr	x16, [x0]
0xfffffff0091a9d60: f10300aa  mov	x17, x0
0xfffffff0091a9d64: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091a9d68: 301ac1da  autda	x16, x17
0xfffffff0091a9d6c: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff0091a9d70: e90310aa  mov	x9, x16
0xfffffff0091a9d74: 6117ffd0  adrp	x1, #0xfffffff007497000
0xfffffff0091a9d78: 21a03891  add	x1, x1, #0xe28
0xfffffff0091a9d7c: 63008052  mov	w3, #3
0xfffffff0091a9d80: f10309aa  mov	x17, x9
0xfffffff0091a9d84: 118debf2  movk	x17, #0x5c68, lsl #48
0xfffffff0091a9d88: 11093fd7  blraa	x8, x17
0xfffffff0091a9d8c: a00200b4  cbz	x0, #0xfffffff0091a9de0
0xfffffff0091a9d90: f30300aa  mov	x19, x0
