; Candidate 14706
; ADRP+ADD at VM 0xfffffff00988bc20 (fileoff 0x2887c20): page=0x1fdd40000 add_imm=0xd4d

0xfffffff00988bba0: e0e9feb0  adrp	x0, #0xfffffff0075c8000
0xfffffff00988bba4: 00c00b91  add	x0, x0, #0x2f0
0xfffffff00988bba8: 811effd0  adrp	x1, #0xfffffff007c5d000
0xfffffff00988bbac: 21c844f9  ldr	x1, [x1, #0x990]
0xfffffff00988bbb0: 03eafef0  adrp	x3, #0xfffffff0075ce000
0xfffffff00988bbb4: 63983391  add	x3, x3, #0xce6
0xfffffff00988bbb8: 22028052  mov	w2, #0x11
0xfffffff00988bbbc: 5d9daa97  bl	#0xfffffff008333130
0xfffffff00988bbc0: 48018052  mov	w8, #0xa
0xfffffff00988bbc4: 682205b9  str	w8, [x19, #0x520]
0xfffffff00988bbc8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00988bbcc: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00988bbd0: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00988bbd4: ff430191  add	sp, sp, #0x50
0xfffffff00988bbd8: ff0f5fd6  retab	
0xfffffff00988bbdc: f40302aa  mov	x20, x2
0xfffffff00988bbe0: 490c40b9  ldr	w9, [x2, #0xc]
0xfffffff00988bbe4: 082100d1  sub	x8, x8, #8
0xfffffff00988bbe8: 1f0109eb  cmp	x8, x9
0xfffffff00988bbec: 1631899a  csel	x22, x8, x9, lo
0xfffffff00988bbf0: d3060091  add	x19, x22, #1
0xfffffff00988bbf4: e00313aa  mov	x0, x19
0xfffffff00988bbf8: 3c2cab97  bl	#0xfffffff008356ce8
0xfffffff00988bbfc: f50300aa  mov	x21, x0
0xfffffff00988bc00: 81420091  add	x1, x20, #0x10
0xfffffff00988bc04: e20316aa  mov	x2, x22
0xfffffff00988bc08: e30313aa  mov	x3, x19
0xfffffff00988bc0c: 25509897  bl	#0xfffffff007e9fca0
0xfffffff00988bc10: bf6a3638  strb	wzr, [x21, x22]
0xfffffff00988bc14: 880a40b9  ldr	w8, [x20, #8]
0xfffffff00988bc18: a8000035  cbnz	w8, #0xfffffff00988bc2c
0xfffffff00988bc1c: f50300f9  str	x21, [sp]
0xfffffff00988bc20: 00eafe90  adrp	x0, #0xfffffff0075cb000
0xfffffff00988bc24: 00343591  add	x0, x0, #0xd4d
0xfffffff00988bc28: 4a8eaf97  bl	#0xfffffff00846f550
0xfffffff00988bc2c: e00315aa  mov	x0, x21
0xfffffff00988bc30: e10313aa  mov	x1, x19
0xfffffff00988bc34: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00988bc38: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00988bc3c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00988bc40: ff430191  add	sp, sp, #0x50
0xfffffff00988bc44: ff2303d5  autibsp	
0xfffffff00988bc48: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00988bc4c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00988bc54
0xfffffff00988bc50: 208e38d4  brk	#0xc471
0xfffffff00988bc54: 4b2cab17  b	#0xfffffff008356d80
0xfffffff00988bc58: 9e219997  bl	#0xfffffff007ed42d0
0xfffffff00988bc5c: e10315aa  mov	x1, x21
0xfffffff00988bc60: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00988bc64: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00988bc68: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00988bc6c: ff430191  add	sp, sp, #0x50
0xfffffff00988bc70: ff2303d5  autibsp	
0xfffffff00988bc74: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00988bc78: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00988bc80
0xfffffff00988bc7c: 208e38d4  brk	#0xc471
0xfffffff00988bc80: f0229917  b	#0xfffffff007ed4840
0xfffffff00988bc84: 7f2303d5  pacibsp	
0xfffffff00988bc88: ff0302d1  sub	sp, sp, #0x80
0xfffffff00988bc8c: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff00988bc90: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00988bc94: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00988bc98: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00988bc9c: fd7b07a9  stp	x29, x30, [sp, #0x70]
